game,2013,4,20130929,201309290rai,was,"Washington Redskins",24,rai,"Oakland Raiders",14
player,201309290rai,rai,JoneTa00,rush_yds,19,,,,,
player,201309290rai,rai,JoneTa00,rush_td,0,,,,,
player,201309290rai,rai,JoneTa00,rush_long,19,,,,,
player,201309290rai,rai,JoneTa00,targets,0,,,,,
player,201309290rai,rai,JoneTa00,rec,0,,,,,
player,201309290rai,rai,JoneTa00,rec_yds,0,,,,,
player,201309290rai,rai,JoneTa00,rec_td,0,,,,,
player,201309290rai,rai,JoneTa00,rec_long,0,,,,,
player,201309290rai,rai,JoneTa00,fumbles,0,,,,,
player,201309290rai,rai,JoneTa00,fumbles_lost,0,,,,,
player,201309290rai,rai,OlawJa00,pass_cmp,0,,,,,
player,201309290rai,rai,OlawJa00,pass_att,0,,,,,
player,201309290rai,rai,OlawJa00,pass_yds,0,,,,,
player,201309290rai,rai,OlawJa00,pass_td,0,,,,,
player,201309290rai,rai,OlawJa00,pass_int,0,,,,,
player,201309290rai,rai,OlawJa00,pass_sacked,,,,,,
player,201309290rai,rai,OlawJa00,pass_sacked_yds,0,,,,,
player,201309290rai,rai,OlawJa00,pass_long,0,,,,,
player,201309290rai,rai,OlawJa00,pass_rating,,,,,,
player,201309290rai,rai,OlawJa00,rush_att,2,,,,,
player,201309290rai,rai,OlawJa00,rush_yds,4,,,,,
player,201309290rai,rai,OlawJa00,rush_td,0,,,,,
player,201309290rai,rai,OlawJa00,rush_long,4,,,,,
player,201309290rai,rai,OlawJa00,targets,1,,,,,
player,201309290rai,rai,OlawJa00,rec,1,,,,,
player,201309290rai,rai,OlawJa00,rec_yds,11,,,,,
player,201309290rai,rai,OlawJa00,rec_td,0,,,,,
player,201309290rai,rai,OlawJa00,rec_long,11,,,,,
player,201309290rai,rai,OlawJa00,fumbles,0,,,,,
player,201309290rai,rai,OlawJa00,fumbles_lost,0,,,,,
player,201309290rai,rai,FordJa01,pass_cmp,0,,,,,
player,201309290rai,rai,FordJa01,pass_att,0,,,,,
player,201309290rai,rai,FordJa01,pass_yds,0,,,,,
player,201309290rai,rai,FordJa01,pass_td,0,,,,,
player,201309290rai,rai,FordJa01,pass_int,0,,,,,
player,201309290rai,rai,FordJa01,pass_sacked,,,,,,
player,201309290rai,rai,FordJa01,pass_sacked_yds,0,,,,,
player,201309290rai,rai,FordJa01,pass_long,0,,,,,
player,201309290rai,rai,FordJa01,pass_rating,,,,,,
player,201309290rai,rai,FordJa01,rush_att,1,,,,,
player,201309290rai,rai,FordJa01,rush_yds,3,,,,,
player,201309290rai,rai,FordJa01,rush_td,0,,,,,
player,201309290rai,rai,FordJa01,rush_long,3,,,,,
player,201309290rai,rai,FordJa01,targets,0,,,,,
player,201309290rai,rai,FordJa01,rec,0,,,,,
player,201309290rai,rai,FordJa01,rec_yds,0,,,,,
player,201309290rai,rai,FordJa01,rec_td,0,,,,,
player,201309290rai,rai,FordJa01,rec_long,0,,,,,
player,201309290rai,rai,FordJa01,fumbles,0,,,,,
player,201309290rai,rai,FordJa01,fumbles_lost,0,,,,,
