game,2013,6,20131013,201310130nwe,nor,"New Orleans Saints",27,nwe,"New England Patriots",30
player,201310130nwe,nwe,ArriKy00,tackles_assists,2,,,,,
player,201310130nwe,nwe,ArriKy00,tackles_loss,0,,,,,
player,201310130nwe,nwe,ArriKy00,qb_hits,0,,,,,
player,201310130nwe,nwe,ArriKy00,fumbles_rec,0,,,,,
player,201310130nwe,nwe,ArriKy00,fumbles_rec_yds,0,,,,,
player,201310130nwe,nwe,ArriKy00,fumbles_rec_td,0,,,,,
player,201310130nwe,nwe,ArriKy00,fumbles_forced,0,,,,,
player,201310130nwe,nwe,JoneCh03,def_int,0,,,,,
player,201310130nwe,nwe,JoneCh03,def_int_yds,0,,,,,
player,201310130nwe,nwe,JoneCh03,def_int_td,0,,,,,
player,201310130nwe,nwe,JoneCh03,def_int_long,0,,,,,
player,201310130nwe,nwe,JoneCh03,pass_defended,0,,,,,
player,201310130nwe,nwe,JoneCh03,sacks,1.0,,,,,
player,201310130nwe,nwe,JoneCh03,tackles_combined,7,,,,,
player,201310130nwe,nwe,JoneCh03,tackles_solo,2,,,,,
player,201310130nwe,nwe,JoneCh03,tackles_assists,5,,,,,
