game,2013,17,20131229,201312290sdg,kan,"Kansas City Chiefs",24,sdg,"San Diego Chargers",27
player,201312290sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201312290sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201312290sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201312290sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201312290sdg,sdg,AlleKe00,rush_long,0,,,,,
player,201312290sdg,sdg,AlleKe00,targets,8,,,,,
player,201312290sdg,sdg,AlleKe00,rec,5,,,,,
player,201312290sdg,sdg,AlleKe00,rec_yds,89,,,,,
player,201312290sdg,sdg,AlleKe00,rec_td,0,,,,,
player,201312290sdg,sdg,AlleKe00,rec_long,38,,,,,
player,201312290sdg,sdg,AlleKe00,fumbles,0,,,,,
player,201312290sdg,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_att,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_td,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_int,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_long,0,,,,,
player,201312290sdg,sdg,GateAn00,pass_rating,,,,,,
player,201312290sdg,sdg,GateAn00,rush_att,0,,,,,
player,201312290sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201312290sdg,sdg,GateAn00,rush_td,0,,,,,
player,201312290sdg,sdg,GateAn00,rush_long,0,,,,,
player,201312290sdg,sdg,GateAn00,targets,5,,,,,
player,201312290sdg,sdg,GateAn00,rec,4,,,,,
player,201312290sdg,sdg,GateAn00,rec_yds,31,,,,,
player,201312290sdg,sdg,GateAn00,rec_td,1,,,,,
player,201312290sdg,sdg,GateAn00,rec_long,16,,,,,
player,201312290sdg,sdg,GateAn00,fumbles,0,,,,,
player,201312290sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_cmp,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_att,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_yds,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_td,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_int,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_sacked,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_long,0,,,,,
player,201312290sdg,sdg,GreeLa00,pass_rating,,,,,,
player,201312290sdg,sdg,GreeLa00,rush_att,0,,,,,
player,201312290sdg,sdg,GreeLa00,rush_yds,0,,,,,
player,201312290sdg,sdg,GreeLa00,rush_td,0,,,,,
player,201312290sdg,sdg,GreeLa00,rush_long,0,,,,,
player,201312290sdg,sdg,GreeLa00,targets,2,,,,,
player,201312290sdg,sdg,GreeLa00,rec,1,,,,,
player,201312290sdg,sdg,GreeLa00,rec_yds,22,,,,,
player,201312290sdg,sdg,GreeLa00,rec_td,1,,,,,
player,201312290sdg,sdg,GreeLa00,rec_long,22,,,,,
player,201312290sdg,sdg,GreeLa00,fumbles,0,,,,,
player,201312290sdg,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_cmp,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_att,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_yds,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_td,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_int,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_sacked,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_long,0,,,,,
player,201312290sdg,sdg,BrowVi00,pass_rating,,,,,,
player,201312290sdg,sdg,BrowVi00,rush_att,0,,,,,
player,201312290sdg,sdg,BrowVi00,rush_yds,0,,,,,
player,201312290sdg,sdg,BrowVi00,rush_td,0,,,,,
player,201312290sdg,sdg,BrowVi00,rush_long,0,,,,,
player,201312290sdg,sdg,BrowVi00,targets,1,,,,,
player,201312290sdg,sdg,BrowVi00,rec,0,,,,,
player,201312290sdg,sdg,BrowVi00,rec_yds,0,,,,,
player,201312290sdg,sdg,BrowVi00,rec_td,0,,,,,
player,201312290sdg,sdg,BrowVi00,rec_long,0,,,,,
player,201312290sdg,sdg,BrowVi00,fumbles,0,,,,,
player,201312290sdg,sdg,BrowVi00,fumbles_lost,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_cmp,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_att,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_yds,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_td,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_int,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_sacked,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_sacked_yds,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_long,0,,,,,
player,201312290sdg,sdg,AjirSe00,pass_rating,,,,,,
player,201312290sdg,sdg,AjirSe00,rush_att,0,,,,,
player,201312290sdg,sdg,AjirSe00,rush_yds,0,,,,,
player,201312290sdg,sdg,AjirSe00,rush_td,0,,,,,
player,201312290sdg,sdg,AjirSe00,rush_long,0,,,,,
player,201312290sdg,sdg,AjirSe00,targets,1,,,,,
player,201312290sdg,sdg,AjirSe00,rec,0,,,,,
player,201312290sdg,sdg,AjirSe00,rec_yds,0,,,,,
player,201312290sdg,sdg,AjirSe00,rec_td,0,,,,,
player,201312290sdg,sdg,AjirSe00,rec_long,0,,,,,
player,201312290sdg,sdg,AjirSe00,fumbles,0,,,,,
player,201312290sdg,sdg,AjirSe00,fumbles_lost,0,,,,,
player,201312290sdg,kan,ParkRo01,def_int,1,,,,,
player,201312290sdg,kan,ParkRo01,def_int_yds,14,,,,,
player,201312290sdg,kan,ParkRo01,def_int_td,0,,,,,
player,201312290sdg,kan,ParkRo01,def_int_long,14,,,,,
player,201312290sdg,kan,ParkRo01,pass_defended,2,,,,,
player,201312290sdg,kan,ParkRo01,sacks,0.0,,,,,
player,201312290sdg,kan,ParkRo01,tackles_combined,6,,,,,
player,201312290sdg,kan,ParkRo01,tackles_solo,6,,,,,
player,201312290sdg,kan,ParkRo01,tackles_assists,0,,,,,
player,201312290sdg,kan,ParkRo01,tackles_loss,0,,,,,
player,201312290sdg,kan,ParkRo01,qb_hits,0,,,,,
player,201312290sdg,kan,ParkRo01,fumbles_rec,0,,,,,
player,201312290sdg,kan,ParkRo01,fumbles_rec_yds,0,,,,,
player,201312290sdg,kan,ParkRo01,fumbles_rec_td,0,,,,,
player,201312290sdg,kan,ParkRo01,fumbles_forced,0,,,,,
player,201312290sdg,kan,JohnJa04,def_int,0,,,,,
player,201312290sdg,kan,JohnJa04,def_int_yds,0,,,,,
player,201312290sdg,kan,JohnJa04,def_int_td,0,,,,,
player,201312290sdg,kan,JohnJa04,def_int_long,0,,,,,
player,201312290sdg,kan,JohnJa04,pass_defended,0,,,,,
player,201312290sdg,kan,JohnJa04,sacks,1.0,,,,,
player,201312290sdg,kan,JohnJa04,tackles_combined,6,,,,,
player,201312290sdg,kan,JohnJa04,tackles_solo,6,,,,,
player,201312290sdg,kan,JohnJa04,tackles_assists,0,,,,,
player,201312290sdg,kan,JohnJa04,tackles_loss,1,,,,,
player,201312290sdg,kan,JohnJa04,qb_hits,1,,,,,
