game,2013,6,20131013,201310130min,car,"Carolina Panthers",35,min,"Minnesota Vikings",10
player,201310130min,car,BlacCh21,pass_defended,0,,,,,
player,201310130min,car,BlacCh21,sacks,0.0,,,,,
player,201310130min,car,BlacCh21,tackles_combined,3,,,,,
player,201310130min,car,BlacCh21,tackles_solo,2,,,,,
player,201310130min,car,BlacCh21,tackles_assists,1,,,,,
player,201310130min,car,BlacCh21,tackles_loss,1,,,,,
player,201310130min,car,BlacCh21,qb_hits,0,,,,,
player,201310130min,car,BlacCh21,fumbles_rec,0,,,,,
player,201310130min,car,BlacCh21,fumbles_rec_yds,0,,,,,
player,201310130min,car,BlacCh21,fumbles_rec_td,0,,,,,
player,201310130min,car,BlacCh21,fumbles_forced,0,,,,,
player,201310130min,car,FlorDr20,def_int,0,,,,,
