game,2013,8,20131027,201310270den,was,"Washington Redskins",21,den,"Denver Broncos",45
player,201310270den,den,BallMo00,pass_rating,,,,,,
player,201310270den,den,BallMo00,rush_att,12,,,,,
player,201310270den,den,BallMo00,rush_yds,38,,,,,
player,201310270den,den,BallMo00,rush_td,1,,,,,
player,201310270den,den,BallMo00,rush_long,8,,,,,
player,201310270den,den,BallMo00,targets,1,,,,,
player,201310270den,den,BallMo00,rec,0,,,,,
player,201310270den,den,BallMo00,rec_yds,0,,,,,
player,201310270den,den,BallMo00,rec_td,0,,,,,
player,201310270den,den,BallMo00,rec_long,0,,,,,
player,201310270den,den,BallMo00,fumbles,0,,,,,
player,201310270den,den,BallMo00,fumbles_lost,0,,,,,
player,201310270den,den,AndeC.00,pass_cmp,0,,,,,
player,201310270den,den,AndeC.00,pass_att,0,,,,,
player,201310270den,den,AndeC.00,pass_yds,0,,,,,
player,201310270den,den,AndeC.00,pass_td,0,,,,,
player,201310270den,den,AndeC.00,pass_int,0,,,,,
player,201310270den,den,AndeC.00,pass_sacked,0,,,,,
player,201310270den,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201310270den,den,AndeC.00,pass_long,0,,,,,
player,201310270den,den,AndeC.00,pass_rating,,,,,,
player,201310270den,den,AndeC.00,rush_att,4,,,,,
player,201310270den,den,AndeC.00,rush_yds,22,,,,,
player,201310270den,den,AndeC.00,rush_td,0,,,,,
player,201310270den,den,AndeC.00,rush_long,11,,,,,
player,201310270den,den,AndeC.00,targets,0,,,,,
player,201310270den,den,AndeC.00,rec,0,,,,,
player,201310270den,den,AndeC.00,rec_yds,0,,,,,
player,201310270den,den,AndeC.00,rec_td,0,,,,,
player,201310270den,den,AndeC.00,rec_long,0,,,,,
player,201310270den,den,AndeC.00,fumbles,0,,,,,
player,201310270den,den,AndeC.00,fumbles_lost,0,,,,,
player,201310270den,den,HollTr00,pass_cmp,0,,,,,
player,201310270den,den,HollTr00,pass_att,0,,,,,
player,201310270den,den,HollTr00,pass_yds,0,,,,,
player,201310270den,den,HollTr00,pass_td,0,,,,,
player,201310270den,den,HollTr00,pass_int,0,,,,,
player,201310270den,den,HollTr00,pass_sacked,0,,,,,
player,201310270den,den,HollTr00,pass_sacked_yds,0,,,,,
player,201310270den,den,HollTr00,pass_long,0,,,,,
player,201310270den,den,HollTr00,pass_rating,,,,,,
player,201310270den,den,HollTr00,rush_att,1,,,,,
player,201310270den,den,HollTr00,rush_yds,7,,,,,
player,201310270den,den,HollTr00,rush_td,0,,,,,
player,201310270den,den,HollTr00,rush_long,7,,,,,
player,201310270den,den,HollTr00,targets,0,,,,,
player,201310270den,den,HollTr00,rec,0,,,,,
player,201310270den,den,HollTr00,rec_yds,0,,,,,
player,201310270den,den,HollTr00,rec_td,0,,,,,
player,201310270den,den,HollTr00,rec_long,0,,,,,
player,201310270den,den,HollTr00,fumbles,0,,,,,
player,201310270den,den,HollTr00,fumbles_lost,0,,,,,
player,201310270den,den,WelkWe00,pass_cmp,0,,,,,
player,201310270den,den,WelkWe00,pass_att,0,,,,,
player,201310270den,den,WelkWe00,pass_yds,0,,,,,
player,201310270den,den,WelkWe00,pass_td,0,,,,,
player,201310270den,den,WelkWe00,pass_int,0,,,,,
player,201310270den,den,WelkWe00,pass_sacked,0,,,,,
player,201310270den,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201310270den,den,WelkWe00,pass_long,0,,,,,
player,201310270den,den,WelkWe00,pass_rating,,,,,,
player,201310270den,den,WelkWe00,rush_att,0,,,,,
player,201310270den,den,WelkWe00,rush_yds,0,,,,,
player,201310270den,den,WelkWe00,rush_td,0,,,,,
player,201310270den,den,WelkWe00,rush_long,0,,,,,
player,201310270den,den,WelkWe00,targets,10,,,,,
player,201310270den,den,WelkWe00,rec,6,,,,,
player,201310270den,den,WelkWe00,rec_yds,81,,,,,
player,201310270den,den,WelkWe00,rec_td,1,,,,,
player,201310270den,den,WelkWe00,rec_long,24,,,,,
player,201310270den,den,WelkWe00,fumbles,0,,,,,
player,201310270den,den,WelkWe00,fumbles_lost,0,,,,,
player,201310270den,den,ThomDe03,pass_cmp,0,,,,,
