game,2013,7,20131020,201310200car,ram,"St. Louis Rams",15,car,"Carolina Panthers",30
player,201310200car,car,WillDe02,pass_sacked,0,,,,,
player,201310200car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201310200car,car,WillDe02,pass_long,0,,,,,
player,201310200car,car,WillDe02,pass_rating,,,,,,
player,201310200car,car,WillDe02,rush_att,15,,,,,
player,201310200car,car,WillDe02,rush_yds,40,,,,,
player,201310200car,car,WillDe02,rush_td,0,,,,,
player,201310200car,car,WillDe02,rush_long,12,,,,,
player,201310200car,car,WillDe02,targets,1,,,,,
player,201310200car,car,WillDe02,rec,1,,,,,
player,201310200car,car,WillDe02,rec_yds,19,,,,,
player,201310200car,car,WillDe02,rec_td,0,,,,,
player,201310200car,car,WillDe02,rec_long,19,,,,,
player,201310200car,car,WillDe02,fumbles,0,,,,,
player,201310200car,car,WillDe02,fumbles_lost,0,,,,,
player,201310200car,car,TolbMi00,pass_cmp,0,,,,,
player,201310200car,car,TolbMi00,pass_att,0,,,,,
player,201310200car,car,TolbMi00,pass_yds,0,,,,,
player,201310200car,car,TolbMi00,pass_td,0,,,,,
player,201310200car,car,TolbMi00,pass_int,0,,,,,
player,201310200car,car,TolbMi00,pass_sacked,0,,,,,
player,201310200car,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201310200car,car,TolbMi00,pass_long,0,,,,,
player,201310200car,car,TolbMi00,pass_rating,,,,,,
player,201310200car,car,TolbMi00,rush_att,13,,,,,
player,201310200car,car,TolbMi00,rush_yds,36,,,,,
player,201310200car,car,TolbMi00,rush_td,1,,,,,
player,201310200car,car,TolbMi00,rush_long,8,,,,,
player,201310200car,car,TolbMi00,targets,0,,,,,
player,201310200car,car,TolbMi00,rec,0,,,,,
player,201310200car,car,TolbMi00,rec_yds,0,,,,,
player,201310200car,car,TolbMi00,rec_td,0,,,,,
player,201310200car,car,TolbMi00,rec_long,0,,,,,
player,201310200car,car,TolbMi00,fumbles,0,,,,,
player,201310200car,car,TolbMi00,fumbles_lost,0,,,,,
player,201310200car,car,SmitSt01,pass_cmp,0,,,,,
player,201310200car,car,SmitSt01,pass_att,0,,,,,
player,201310200car,car,SmitSt01,pass_yds,0,,,,,
player,201310200car,car,SmitSt01,pass_td,0,,,,,
player,201310200car,car,SmitSt01,pass_int,0,,,,,
player,201310200car,car,SmitSt01,pass_sacked,0,,,,,
player,201310200car,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201310200car,car,SmitSt01,pass_long,0,,,,,
player,201310200car,car,SmitSt01,pass_rating,,,,,,
player,201310200car,car,SmitSt01,rush_att,0,,,,,
player,201310200car,car,SmitSt01,rush_yds,0,,,,,
player,201310200car,car,SmitSt01,rush_td,0,,,,,
player,201310200car,car,SmitSt01,rush_long,0,,,,,
player,201310200car,car,SmitSt01,targets,6,,,,,
player,201310200car,car,SmitSt01,rec,5,,,,,
player,201310200car,car,SmitSt01,rec_yds,69,,,,,
player,201310200car,car,SmitSt01,rec_td,1,,,,,
player,201310200car,car,SmitSt01,rec_long,19,,,,,
player,201310200car,car,SmitSt01,fumbles,0,,,,,
player,201310200car,car,SmitSt01,fumbles_lost,0,,,,,
player,201310200car,car,OlseGr00,pass_cmp,0,,,,,
player,201310200car,car,OlseGr00,pass_att,0,,,,,
player,201310200car,car,OlseGr00,pass_yds,0,,,,,
player,201310200car,car,OlseGr00,pass_td,0,,,,,
player,201310200car,car,OlseGr00,pass_int,0,,,,,
player,201310200car,car,OlseGr00,pass_sacked,0,,,,,
player,201310200car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201310200car,car,OlseGr00,pass_long,0,,,,,
player,201310200car,car,OlseGr00,pass_rating,,,,,,
player,201310200car,car,OlseGr00,rush_att,0,,,,,
player,201310200car,car,OlseGr00,rush_yds,0,,,,,
player,201310200car,car,OlseGr00,rush_td,0,,,,,
player,201310200car,car,OlseGr00,rush_long,0,,,,,
player,201310200car,car,OlseGr00,targets,4,,,,,
player,201310200car,car,OlseGr00,rec,4,,,,,
player,201310200car,car,OlseGr00,rec_yds,47,,,,,
player,201310200car,car,OlseGr00,rec_td,0,,,,,
player,201310200car,car,OlseGr00,rec_long,25,,,,,
player,201310200car,car,OlseGr00,fumbles,0,,,,,
player,201310200car,car,OlseGr00,fumbles_lost,0,,,,,
player,201310200car,car,LaFeBr00,pass_cmp,0,,,,,
player,201310200car,car,LaFeBr00,pass_att,0,,,,,
player,201310200car,car,LaFeBr00,pass_yds,0,,,,,
player,201310200car,car,LaFeBr00,pass_td,0,,,,,
player,201310200car,car,LaFeBr00,pass_int,0,,,,,
player,201310200car,car,LaFeBr00,pass_sacked,0,,,,,
player,201310200car,car,LaFeBr00,pass_sacked_yds,0,,,,,
player,201310200car,car,LaFeBr00,pass_long,0,,,,,
player,201310200car,car,LaFeBr00,pass_rating,,,,,,
player,201310200car,car,LaFeBr00,rush_att,0,,,,,
player,201310200car,car,LaFeBr00,rush_yds,0,,,,,
player,201310200car,car,LaFeBr00,rush_td,0,,,,,
player,201310200car,car,LaFeBr00,rush_long,0,,,,,
player,201310200car,car,LaFeBr00,targets,4,,,,,
player,201310200car,car,LaFeBr00,rec,3,,,,,
player,201310200car,car,LaFeBr00,rec_yds,35,,,,,
player,201310200car,car,LaFeBr00,rec_td,0,,,,,
player,201310200car,car,LaFeBr00,rec_long,18,,,,,
player,201310200car,car,LaFeBr00,fumbles,0,,,,,
player,201310200car,car,LaFeBr00,fumbles_lost,0,,,,,
player,201310200car,car,GinnTe00,pass_cmp,0,,,,,
player,201310200car,car,GinnTe00,pass_att,0,,,,,
player,201310200car,car,GinnTe00,pass_yds,0,,,,,
player,201310200car,car,GinnTe00,pass_td,0,,,,,
player,201310200car,car,GinnTe00,pass_int,0,,,,,
player,201310200car,car,GinnTe00,pass_sacked,0,,,,,
player,201310200car,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201310200car,car,GinnTe00,pass_long,0,,,,,
player,201310200car,car,GinnTe00,pass_rating,,,,,,
player,201310200car,car,GinnTe00,rush_att,0,,,,,
player,201310200car,car,GinnTe00,rush_yds,0,,,,,
player,201310200car,car,GinnTe00,rush_td,0,,,,,
player,201310200car,car,GinnTe00,rush_long,0,,,,,
player,201310200car,car,GinnTe00,targets,2,,,,,
player,201310200car,car,GinnTe00,rec,2,,,,,
player,201310200car,car,GinnTe00,rec_yds,34,,,,,
player,201310200car,car,GinnTe00,rec_td,0,,,,,
player,201310200car,car,GinnTe00,rec_long,22,,,,,
player,201310200car,car,GinnTe00,fumbles,0,,,,,
player,201310200car,car,GinnTe00,fumbles_lost,0,,,,,
player,201310200car,ram,LaurJa99,def_int,0,,,,,
player,201310200car,ram,LaurJa99,def_int_yds,0,,,,,
player,201310200car,ram,LaurJa99,def_int_td,0,,,,,
player,201310200car,ram,LaurJa99,def_int_long,0,,,,,
player,201310200car,ram,LaurJa99,pass_defended,0,,,,,
player,201310200car,ram,LaurJa99,sacks,1.0,,,,,
player,201310200car,ram,LaurJa99,tackles_combined,11,,,,,
player,201310200car,ram,LaurJa99,tackles_solo,7,,,,,
player,201310200car,ram,LaurJa99,tackles_assists,4,,,,,
player,201310200car,ram,LaurJa99,tackles_loss,1,,,,,
player,201310200car,ram,LaurJa99,qb_hits,1,,,,,
player,201310200car,ram,LaurJa99,fumbles_rec,0,,,,,
player,201310200car,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201310200car,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201310200car,ram,LaurJa99,fumbles_forced,0,,,,,
player,201310200car,ram,QuinRo00,def_int,0,,,,,
player,201310200car,ram,QuinRo00,def_int_yds,0,,,,,
player,201310200car,ram,QuinRo00,def_int_td,0,,,,,
player,201310200car,ram,QuinRo00,def_int_long,0,,,,,
player,201310200car,ram,QuinRo00,pass_defended,0,,,,,
player,201310200car,ram,QuinRo00,sacks,1.0,,,,,
player,201310200car,ram,QuinRo00,tackles_combined,3,,,,,
player,201310200car,ram,QuinRo00,tackles_solo,3,,,,,
player,201310200car,ram,QuinRo00,tackles_assists,0,,,,,
player,201310200car,ram,QuinRo00,tackles_loss,3,,,,,
player,201310200car,ram,QuinRo00,qb_hits,1,,,,,
player,201310200car,ram,QuinRo00,fumbles_rec,0,,,,,
player,201310200car,ram,QuinRo00,fumbles_rec_yds,0,,,,,
player,201310200car,ram,QuinRo00,fumbles_rec_td,0,,,,,
player,201310200car,ram,QuinRo00,fumbles_forced,0,,,,,
player,201310200car,ram,JohnTr05,def_int,0,,,,,
player,201310200car,ram,JohnTr05,def_int_yds,0,,,,,
player,201310200car,ram,JohnTr05,def_int_td,0,,,,,
player,201310200car,ram,JohnTr05,def_int_long,0,,,,,
player,201310200car,ram,JohnTr05,pass_defended,0,,,,,
player,201310200car,ram,JohnTr05,sacks,0.0,,,,,
player,201310200car,ram,JohnTr05,tackles_combined,9,,,,,
player,201310200car,ram,JohnTr05,tackles_solo,8,,,,,
player,201310200car,ram,JohnTr05,tackles_assists,1,,,,,
player,201310200car,ram,JohnTr05,tackles_loss,1,,,,,
player,201310200car,ram,JohnTr05,qb_hits,0,,,,,
player,201310200car,ram,JohnTr05,fumbles_rec,0,,,,,
player,201310200car,ram,JohnTr05,fumbles_rec_yds,0,,,,,
player,201310200car,ram,JohnTr05,fumbles_rec_td,0,,,,,
player,201310200car,ram,JohnTr05,fumbles_forced,0,,,,,
player,201310200car,ram,OgleAl00,def_int,0,,,,,
player,201310200car,ram,OgleAl00,def_int_yds,0,,,,,
player,201310200car,ram,OgleAl00,def_int_td,0,,,,,
player,201310200car,ram,OgleAl00,def_int_long,0,,,,,
player,201310200car,ram,OgleAl00,pass_defended,0,,,,,
player,201310200car,ram,OgleAl00,sacks,0.0,,,,,
player,201310200car,ram,OgleAl00,tackles_combined,5,,,,,
player,201310200car,ram,OgleAl00,tackles_solo,3,,,,,
player,201310200car,ram,OgleAl00,tackles_assists,2,,,,,
player,201310200car,ram,OgleAl00,tackles_loss,1,,,,,
player,201310200car,ram,OgleAl00,qb_hits,0,,,,,
player,201310200car,ram,OgleAl00,fumbles_rec,0,,,,,
player,201310200car,ram,OgleAl00,fumbles_rec_yds,0,,,,,
player,201310200car,ram,OgleAl00,fumbles_rec_td,0,,,,,
player,201310200car,ram,OgleAl00,fumbles_forced,0,,,,,
player,201310200car,ram,SimsEu99,def_int,0,,,,,
player,201310200car,ram,SimsEu99,def_int_yds,0,,,,,
player,201310200car,ram,SimsEu99,def_int_td,0,,,,,
player,201310200car,ram,SimsEu99,def_int_long,0,,,,,
player,201310200car,ram,SimsEu99,pass_defended,0,,,,,
player,201310200car,ram,SimsEu99,sacks,0.0,,,,,
player,201310200car,ram,SimsEu99,tackles_combined,5,,,,,
player,201310200car,ram,SimsEu99,tackles_solo,2,,,,,
player,201310200car,ram,SimsEu99,tackles_assists,3,,,,,
player,201310200car,ram,SimsEu99,tackles_loss,1,,,,,
player,201310200car,ram,SimsEu99,qb_hits,0,,,,,
player,201310200car,ram,SimsEu99,fumbles_rec,0,,,,,
player,201310200car,ram,SimsEu99,fumbles_rec_yds,0,,,,,
player,201310200car,ram,SimsEu99,fumbles_rec_td,0,,,,,
player,201310200car,ram,SimsEu99,fumbles_forced,0,,,,,
player,201310200car,ram,StewDa00,def_int,0,,,,,
player,201310200car,ram,StewDa00,def_int_yds,0,,,,,
player,201310200car,ram,StewDa00,def_int_td,0,,,,,
player,201310200car,ram,StewDa00,def_int_long,0,,,,,
player,201310200car,ram,StewDa00,pass_defended,0,,,,,
player,201310200car,ram,StewDa00,sacks,0.0,,,,,
player,201310200car,ram,StewDa00,tackles_combined,5,,,,,
player,201310200car,ram,StewDa00,tackles_solo,4,,,,,
player,201310200car,ram,StewDa00,tackles_assists,1,,,,,
player,201310200car,ram,StewDa00,tackles_loss,0,,,,,
player,201310200car,ram,StewDa00,qb_hits,0,,,,,
player,201310200car,ram,StewDa00,fumbles_rec,0,,,,,
player,201310200car,ram,StewDa00,fumbles_rec_yds,0,,,,,
