game,2013,7,20131020,201310200oti,sfo,"San Francisco 49ers",31,oti,"Tennessee Titans",17
player,201310200oti,sfo,CoxxPe99,fumbles_rec,0,,,,,
player,201310200oti,sfo,CoxxPe99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,CoxxPe99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,CoxxPe99,fumbles_forced,0,,,,,
player,201310200oti,sfo,DorsGl99,def_int,0,,,,,
player,201310200oti,sfo,DorsGl99,def_int_yds,0,,,,,
player,201310200oti,sfo,DorsGl99,def_int_td,0,,,,,
player,201310200oti,sfo,DorsGl99,def_int_long,0,,,,,
player,201310200oti,sfo,DorsGl99,pass_defended,0,,,,,
player,201310200oti,sfo,DorsGl99,sacks,0.0,,,,,
player,201310200oti,sfo,DorsGl99,tackles_combined,1,,,,,
player,201310200oti,sfo,DorsGl99,tackles_solo,1,,,,,
player,201310200oti,sfo,DorsGl99,tackles_assists,0,,,,,
player,201310200oti,sfo,DorsGl99,tackles_loss,0,,,,,
player,201310200oti,sfo,DorsGl99,qb_hits,0,,,,,
player,201310200oti,sfo,DorsGl99,fumbles_rec,0,,,,,
player,201310200oti,sfo,DorsGl99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,DorsGl99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,DorsGl99,fumbles_forced,0,,,,,
player,201310200oti,sfo,McDoRa99,def_int,0,,,,,
player,201310200oti,sfo,McDoRa99,def_int_yds,0,,,,,
player,201310200oti,sfo,McDoRa99,def_int_td,0,,,,,
player,201310200oti,sfo,McDoRa99,def_int_long,0,,,,,
player,201310200oti,sfo,McDoRa99,pass_defended,0,,,,,
player,201310200oti,sfo,McDoRa99,sacks,0.0,,,,,
player,201310200oti,sfo,McDoRa99,tackles_combined,1,,,,,
player,201310200oti,sfo,McDoRa99,tackles_solo,1,,,,,
player,201310200oti,sfo,McDoRa99,tackles_assists,0,,,,,
player,201310200oti,sfo,McDoRa99,tackles_loss,0,,,,,
player,201310200oti,sfo,McDoRa99,qb_hits,1,,,,,
player,201310200oti,sfo,McDoRa99,fumbles_rec,0,,,,,
player,201310200oti,sfo,McDoRa99,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,McDoRa99,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,McDoRa99,fumbles_forced,0,,,,,
player,201310200oti,sfo,VentRa20,def_int,0,,,,,
player,201310200oti,sfo,VentRa20,def_int_yds,0,,,,,
player,201310200oti,sfo,VentRa20,def_int_td,0,,,,,
player,201310200oti,sfo,VentRa20,def_int_long,0,,,,,
player,201310200oti,sfo,VentRa20,pass_defended,0,,,,,
player,201310200oti,sfo,VentRa20,sacks,0.0,,,,,
player,201310200oti,sfo,VentRa20,tackles_combined,1,,,,,
player,201310200oti,sfo,VentRa20,tackles_solo,0,,,,,
player,201310200oti,sfo,VentRa20,tackles_assists,1,,,,,
player,201310200oti,sfo,VentRa20,tackles_loss,0,,,,,
player,201310200oti,sfo,VentRa20,qb_hits,0,,,,,
player,201310200oti,sfo,VentRa20,fumbles_rec,0,,,,,
player,201310200oti,sfo,VentRa20,fumbles_rec_yds,0,,,,,
player,201310200oti,sfo,VentRa20,fumbles_rec_td,0,,,,,
player,201310200oti,sfo,VentRa20,fumbles_forced,0,,,,,
