game,2013,6,20131013,201310130sfo,crd,"Arizona Cardinals",20,sfo,"San Francisco 49ers",32
player,201310130sfo,sfo,DixoAn00,rec_yds,3,,,,,
player,201310130sfo,sfo,DixoAn00,rec_td,0,,,,,
player,201310130sfo,sfo,DixoAn00,rec_long,3,,,,,
player,201310130sfo,sfo,DixoAn00,fumbles,0,,,,,
player,201310130sfo,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201310130sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201310130sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201310130sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201310130sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201310130sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201310130sfo,sfo,DaviVe00,targets,11,,,,,
player,201310130sfo,sfo,DaviVe00,rec,8,,,,,
player,201310130sfo,sfo,DaviVe00,rec_yds,180,,,,,
player,201310130sfo,sfo,DaviVe00,rec_td,2,,,,,
player,201310130sfo,sfo,DaviVe00,rec_long,61,,,,,
player,201310130sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201310130sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201310130sfo,sfo,BoldAn00,pass_long,0,,,,,
