game,2013,10,20131110,201311100atl,sea,"Seattle Seahawks",33,atl,"Atlanta Falcons",10
player,201311100atl,atl,DougHa00,rush_long,0,,,,,
player,201311100atl,atl,DougHa00,targets,8,,,,,
player,201311100atl,atl,DougHa00,rec,7,,,,,
player,201311100atl,atl,DougHa00,rec_yds,49,,,,,
player,201311100atl,atl,DougHa00,rec_td,0,,,,,
player,201311100atl,atl,DougHa00,rec_long,31,,,,,
player,201311100atl,atl,DougHa00,fumbles,1,,,,,
player,201311100atl,atl,DougHa00,fumbles_lost,1,,,,,
player,201311100atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201311100atl,atl,GonzTo00,pass_att,0,,,,,
player,201311100atl,atl,GonzTo00,pass_yds,0,,,,,
player,201311100atl,atl,GonzTo00,pass_td,0,,,,,
player,201311100atl,atl,GonzTo00,pass_int,0,,,,,
player,201311100atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201311100atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,GonzTo00,pass_long,0,,,,,
player,201311100atl,atl,GonzTo00,pass_rating,,,,,,
player,201311100atl,atl,GonzTo00,rush_att,0,,,,,
player,201311100atl,atl,GonzTo00,rush_yds,0,,,,,
player,201311100atl,atl,GonzTo00,rush_td,0,,,,,
player,201311100atl,atl,GonzTo00,rush_long,0,,,,,
player,201311100atl,atl,GonzTo00,targets,5,,,,,
player,201311100atl,atl,GonzTo00,rec,3,,,,,
player,201311100atl,atl,GonzTo00,rec_yds,29,,,,,
player,201311100atl,atl,GonzTo00,rec_td,0,,,,,
player,201311100atl,atl,GonzTo00,rec_long,12,,,,,
player,201311100atl,atl,GonzTo00,fumbles,0,,,,,
player,201311100atl,atl,GonzTo00,fumbles_lost,0,,,,,
player,201311100atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201311100atl,atl,WhitRo00,pass_att,0,,,,,
player,201311100atl,atl,WhitRo00,pass_yds,0,,,,,
player,201311100atl,atl,WhitRo00,pass_td,0,,,,,
player,201311100atl,atl,WhitRo00,pass_int,0,,,,,
player,201311100atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201311100atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,WhitRo00,pass_long,0,,,,,
player,201311100atl,atl,WhitRo00,pass_rating,,,,,,
player,201311100atl,atl,WhitRo00,rush_att,0,,,,,
player,201311100atl,atl,WhitRo00,rush_yds,0,,,,,
player,201311100atl,atl,WhitRo00,rush_td,0,,,,,
player,201311100atl,atl,WhitRo00,rush_long,0,,,,,
player,201311100atl,atl,WhitRo00,targets,4,,,,,
player,201311100atl,atl,WhitRo00,rec,1,,,,,
player,201311100atl,atl,WhitRo00,rec_yds,20,,,,,
player,201311100atl,atl,WhitRo00,rec_td,0,,,,,
player,201311100atl,atl,WhitRo00,rec_long,20,,,,,
player,201311100atl,atl,WhitRo00,fumbles,0,,,,,
player,201311100atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201311100atl,atl,JohnDa06,pass_cmp,0,,,,,
player,201311100atl,atl,JohnDa06,pass_att,0,,,,,
player,201311100atl,atl,JohnDa06,pass_yds,0,,,,,
player,201311100atl,atl,JohnDa06,pass_td,0,,,,,
player,201311100atl,atl,JohnDa06,pass_int,0,,,,,
player,201311100atl,atl,JohnDa06,pass_sacked,0,,,,,
player,201311100atl,atl,JohnDa06,pass_sacked_yds,0,,,,,
player,201311100atl,atl,JohnDa06,pass_long,0,,,,,
player,201311100atl,atl,JohnDa06,pass_rating,,,,,,
player,201311100atl,atl,JohnDa06,rush_att,0,,,,,
player,201311100atl,atl,JohnDa06,rush_yds,0,,,,,
player,201311100atl,atl,JohnDa06,rush_td,0,,,,,
player,201311100atl,atl,JohnDa06,rush_long,0,,,,,
player,201311100atl,atl,JohnDa06,targets,2,,,,,
player,201311100atl,atl,JohnDa06,rec,1,,,,,
player,201311100atl,atl,JohnDa06,rec_yds,12,,,,,
player,201311100atl,atl,JohnDa06,rec_td,1,,,,,
player,201311100atl,atl,JohnDa06,rec_long,12,,,,,
player,201311100atl,atl,JohnDa06,fumbles,0,,,,,
player,201311100atl,atl,JohnDa06,fumbles_lost,0,,,,,
player,201311100atl,atl,DaviDr00,pass_cmp,0,,,,,
player,201311100atl,atl,DaviDr00,pass_att,0,,,,,
player,201311100atl,atl,DaviDr00,pass_yds,0,,,,,
player,201311100atl,atl,DaviDr00,pass_td,0,,,,,
player,201311100atl,atl,DaviDr00,pass_int,0,,,,,
player,201311100atl,atl,DaviDr00,pass_sacked,0,,,,,
player,201311100atl,atl,DaviDr00,pass_sacked_yds,0,,,,,
player,201311100atl,atl,DaviDr00,pass_long,0,,,,,
player,201311100atl,atl,DaviDr00,pass_rating,,,,,,
player,201311100atl,atl,DaviDr00,rush_att,0,,,,,
player,201311100atl,atl,DaviDr00,rush_yds,0,,,,,
player,201311100atl,atl,DaviDr00,rush_td,0,,,,,
player,201311100atl,atl,DaviDr00,rush_long,0,,,,,
player,201311100atl,atl,DaviDr00,targets,1,,,,,
player,201311100atl,atl,DaviDr00,rec,0,,,,,
player,201311100atl,atl,DaviDr00,rec_yds,0,,,,,
player,201311100atl,atl,DaviDr00,rec_td,0,,,,,
player,201311100atl,atl,DaviDr00,rec_long,0,,,,,
player,201311100atl,atl,DaviDr00,fumbles,0,,,,,
player,201311100atl,atl,DaviDr00,fumbles_lost,0,,,,,
player,201311100atl,atl,DaviDo02,pass_cmp,,,,,,
player,201311100atl,atl,DaviDo02,pass_att,,,,,,
player,201311100atl,atl,DaviDo02,pass_yds,,,,,,
player,201311100atl,atl,DaviDo02,pass_td,,,,,,
player,201311100atl,atl,DaviDo02,pass_int,,,,,,
player,201311100atl,atl,DaviDo02,pass_sacked,,,,,,
player,201311100atl,atl,DaviDo02,pass_sacked_yds,,,,,,
player,201311100atl,atl,DaviDo02,pass_long,,,,,,
player,201311100atl,atl,DaviDo02,pass_rating,,,,,,
player,201311100atl,atl,DaviDo02,rush_att,,,,,,
player,201311100atl,atl,DaviDo02,rush_yds,,,,,,
player,201311100atl,atl,DaviDo02,rush_td,,,,,,
player,201311100atl,atl,DaviDo02,rush_long,,,,,,
player,201311100atl,atl,DaviDo02,targets,1,,,,,
player,201311100atl,atl,DaviDo02,rec,0,,,,,
player,201311100atl,atl,DaviDo02,rec_yds,0,,,,,
player,201311100atl,atl,DaviDo02,rec_td,0,,,,,
player,201311100atl,atl,DaviDo02,rec_long,,,,,,
player,201311100atl,atl,DaviDo02,fumbles,,,,,,
player,201311100atl,atl,DaviDo02,fumbles_lost,,,,,,
player,201311100atl,sea,AvriCl99,def_int,0,,,,,
player,201311100atl,sea,AvriCl99,def_int_yds,0,,,,,
player,201311100atl,sea,AvriCl99,def_int_td,0,,,,,
player,201311100atl,sea,AvriCl99,def_int_long,0,,,,,
player,201311100atl,sea,AvriCl99,pass_defended,0,,,,,
player,201311100atl,sea,AvriCl99,sacks,1.0,,,,,
player,201311100atl,sea,AvriCl99,tackles_combined,2,,,,,
player,201311100atl,sea,AvriCl99,tackles_solo,2,,,,,
player,201311100atl,sea,AvriCl99,tackles_assists,0,,,,,
player,201311100atl,sea,AvriCl99,tackles_loss,0,,,,,
player,201311100atl,sea,AvriCl99,qb_hits,1,,,,,
player,201311100atl,sea,AvriCl99,fumbles_rec,0,,,,,
player,201311100atl,sea,AvriCl99,fumbles_rec_yds,0,,,,,
player,201311100atl,sea,AvriCl99,fumbles_rec_td,0,,,,,
player,201311100atl,sea,AvriCl99,fumbles_forced,0,,,,,
player,201311100atl,sea,BennMi99,def_int,0,,,,,
player,201311100atl,sea,BennMi99,def_int_yds,0,,,,,
player,201311100atl,sea,BennMi99,def_int_td,0,,,,,
player,201311100atl,sea,BennMi99,def_int_long,0,,,,,
player,201311100atl,sea,BennMi99,pass_defended,0,,,,,
player,201311100atl,sea,BennMi99,sacks,1.0,,,,,
player,201311100atl,sea,BennMi99,tackles_combined,1,,,,,
player,201311100atl,sea,BennMi99,tackles_solo,1,,,,,
player,201311100atl,sea,BennMi99,tackles_assists,0,,,,,
