game,2013,1,20130909,201309090was,phi,"Philadelphia Eagles",33,was,"Washington Redskins",27
player,201309090was,was,MorgJo00,targets,5,,,,,
player,201309090was,was,MorgJo00,rec,4,,,,,
player,201309090was,was,MorgJo00,rec_yds,51,,,,,
player,201309090was,was,MorgJo00,rec_td,0,,,,,
player,201309090was,was,MorgJo00,rec_long,18,,,,,
player,201309090was,was,MorgJo00,fumbles,0,,,,,
player,201309090was,was,MorgJo00,fumbles_lost,0,,,,,
player,201309090was,was,ReedJo02,pass_cmp,0,,,,,
player,201309090was,was,ReedJo02,pass_att,0,,,,,
player,201309090was,was,ReedJo02,pass_yds,0,,,,,
player,201309090was,was,ReedJo02,pass_td,0,,,,,
player,201309090was,was,ReedJo02,pass_int,0,,,,,
player,201309090was,was,ReedJo02,pass_sacked,0,,,,,
player,201309090was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201309090was,was,ReedJo02,pass_long,0,,,,,
player,201309090was,was,ReedJo02,pass_rating,,,,,,
player,201309090was,was,ReedJo02,rush_att,0,,,,,
player,201309090was,was,ReedJo02,rush_yds,0,,,,,
player,201309090was,was,ReedJo02,rush_td,0,,,,,
player,201309090was,was,ReedJo02,rush_long,0,,,,,
player,201309090was,was,ReedJo02,targets,6,,,,,
player,201309090was,was,ReedJo02,rec,5,,,,,
player,201309090was,was,ReedJo02,rec_yds,38,,,,,
player,201309090was,was,ReedJo02,rec_td,0,,,,,
player,201309090was,was,ReedJo02,rec_long,11,,,,,
player,201309090was,was,ReedJo02,fumbles,0,,,,,
player,201309090was,was,ReedJo02,fumbles_lost,0,,,,,
player,201309090was,was,DaviFr01,pass_cmp,0,,,,,
player,201309090was,was,DaviFr01,pass_att,0,,,,,
player,201309090was,was,DaviFr01,pass_yds,0,,,,,
player,201309090was,was,DaviFr01,pass_td,0,,,,,
player,201309090was,was,DaviFr01,pass_int,0,,,,,
player,201309090was,was,DaviFr01,pass_sacked,0,,,,,
player,201309090was,was,DaviFr01,pass_sacked_yds,0,,,,,
player,201309090was,was,DaviFr01,pass_long,0,,,,,
player,201309090was,was,DaviFr01,pass_rating,,,,,,
player,201309090was,was,DaviFr01,rush_att,0,,,,,
player,201309090was,was,DaviFr01,rush_yds,0,,,,,
player,201309090was,was,DaviFr01,rush_td,0,,,,,
player,201309090was,was,DaviFr01,rush_long,0,,,,,
player,201309090was,was,DaviFr01,targets,4,,,,,
player,201309090was,was,DaviFr01,rec,2,,,,,
player,201309090was,was,DaviFr01,rec_yds,22,,,,,
player,201309090was,was,DaviFr01,rec_td,0,,,,,
player,201309090was,was,DaviFr01,rec_long,12,,,,,
player,201309090was,was,DaviFr01,fumbles,0,,,,,
player,201309090was,was,DaviFr01,fumbles_lost,0,,,,,
player,201309090was,was,RobiAl00,pass_cmp,0,,,,,
player,201309090was,was,RobiAl00,pass_att,0,,,,,
player,201309090was,was,RobiAl00,pass_yds,0,,,,,
player,201309090was,was,RobiAl00,pass_td,0,,,,,
player,201309090was,was,RobiAl00,pass_int,0,,,,,
player,201309090was,was,RobiAl00,pass_sacked,0,,,,,
player,201309090was,was,RobiAl00,pass_sacked_yds,0,,,,,
player,201309090was,was,RobiAl00,pass_long,0,,,,,
player,201309090was,was,RobiAl00,pass_rating,,,,,,
player,201309090was,was,RobiAl00,rush_att,0,,,,,
player,201309090was,was,RobiAl00,rush_yds,0,,,,,
player,201309090was,was,RobiAl00,rush_td,0,,,,,
player,201309090was,was,RobiAl00,rush_long,0,,,,,
player,201309090was,was,RobiAl00,targets,2,,,,,
player,201309090was,was,RobiAl00,rec,0,,,,,
player,201309090was,was,RobiAl00,rec_yds,0,,,,,
player,201309090was,was,RobiAl00,rec_td,0,,,,,
player,201309090was,was,RobiAl00,rec_long,0,,,,,
player,201309090was,was,RobiAl00,fumbles,0,,,,,
player,201309090was,was,RobiAl00,fumbles_lost,0,,,,,
player,201309090was,was,YounDa01,pass_cmp,0,,,,,
player,201309090was,was,YounDa01,pass_att,0,,,,,
player,201309090was,was,YounDa01,pass_yds,0,,,,,
player,201309090was,was,YounDa01,pass_td,0,,,,,
player,201309090was,was,YounDa01,pass_int,0,,,,,
player,201309090was,was,YounDa01,pass_sacked,0,,,,,
player,201309090was,was,YounDa01,pass_sacked_yds,0,,,,,
player,201309090was,was,YounDa01,pass_long,0,,,,,
player,201309090was,was,YounDa01,pass_rating,,,,,,
player,201309090was,was,YounDa01,rush_att,0,,,,,
player,201309090was,was,YounDa01,rush_yds,0,,,,,
player,201309090was,was,YounDa01,rush_td,0,,,,,
player,201309090was,was,YounDa01,rush_long,0,,,,,
player,201309090was,was,YounDa01,targets,1,,,,,
