game,2013,14,20131208,201312080den,oti,"Tennessee Titans",28,den,"Denver Broncos",51
player,201312080den,den,ThomJu00,pass_rating,,,,,,
player,201312080den,den,ThomJu00,rush_att,0,,,,,
player,201312080den,den,ThomJu00,rush_yds,0,,,,,
player,201312080den,den,ThomJu00,rush_td,0,,,,,
player,201312080den,den,ThomJu00,rush_long,0,,,,,
player,201312080den,den,ThomJu00,targets,7,,,,,
player,201312080den,den,ThomJu00,rec,5,,,,,
player,201312080den,den,ThomJu00,rec_yds,35,,,,,
player,201312080den,den,ThomJu00,rec_td,1,,,,,
player,201312080den,den,ThomJu00,rec_long,12,,,,,
player,201312080den,den,ThomJu00,fumbles,0,,,,,
player,201312080den,den,ThomJu00,fumbles_lost,0,,,,,
player,201312080den,den,DreeJo00,pass_cmp,0,,,,,
player,201312080den,den,DreeJo00,pass_att,0,,,,,
player,201312080den,den,DreeJo00,pass_yds,0,,,,,
player,201312080den,den,DreeJo00,pass_td,0,,,,,
player,201312080den,den,DreeJo00,pass_int,0,,,,,
player,201312080den,den,DreeJo00,pass_sacked,0,,,,,
player,201312080den,den,DreeJo00,pass_sacked_yds,0,,,,,
player,201312080den,den,DreeJo00,pass_long,0,,,,,
player,201312080den,den,DreeJo00,pass_rating,,,,,,
player,201312080den,den,DreeJo00,rush_att,0,,,,,
player,201312080den,den,DreeJo00,rush_yds,0,,,,,
player,201312080den,den,DreeJo00,rush_td,0,,,,,
player,201312080den,den,DreeJo00,rush_long,0,,,,,
player,201312080den,den,DreeJo00,targets,2,,,,,
player,201312080den,den,DreeJo00,rec,1,,,,,
player,201312080den,den,DreeJo00,rec_yds,8,,,,,
player,201312080den,den,DreeJo00,rec_td,0,,,,,
player,201312080den,den,DreeJo00,rec_long,8,,,,,
player,201312080den,den,DreeJo00,fumbles,0,,,,,
player,201312080den,den,DreeJo00,fumbles_lost,0,,,,,
player,201312080den,den,CaldAn00,pass_cmp,0,,,,,
player,201312080den,den,CaldAn00,pass_att,0,,,,,
player,201312080den,den,CaldAn00,pass_yds,0,,,,,
player,201312080den,den,CaldAn00,pass_td,0,,,,,
player,201312080den,den,CaldAn00,pass_int,0,,,,,
player,201312080den,den,CaldAn00,pass_sacked,0,,,,,
player,201312080den,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201312080den,den,CaldAn00,pass_long,0,,,,,
player,201312080den,den,CaldAn00,pass_rating,,,,,,
player,201312080den,den,CaldAn00,rush_att,0,,,,,
player,201312080den,den,CaldAn00,rush_yds,0,,,,,
player,201312080den,den,CaldAn00,rush_td,0,,,,,
player,201312080den,den,CaldAn00,rush_long,0,,,,,
player,201312080den,den,CaldAn00,targets,1,,,,,
player,201312080den,den,CaldAn00,rec,0,,,,,
player,201312080den,den,CaldAn00,rec_yds,0,,,,,
player,201312080den,den,CaldAn00,rec_td,0,,,,,
player,201312080den,den,CaldAn00,rec_long,0,,,,,
player,201312080den,den,CaldAn00,fumbles,0,,,,,
player,201312080den,den,CaldAn00,fumbles_lost,0,,,,,
player,201312080den,oti,FokoMo99,def_int,0,,,,,
player,201312080den,oti,FokoMo99,def_int_yds,0,,,,,
player,201312080den,oti,FokoMo99,def_int_td,0,,,,,
player,201312080den,oti,FokoMo99,def_int_long,0,,,,,
player,201312080den,oti,FokoMo99,pass_defended,0,,,,,
player,201312080den,oti,FokoMo99,sacks,0.0,,,,,
player,201312080den,oti,FokoMo99,tackles_combined,9,,,,,
player,201312080den,oti,FokoMo99,tackles_solo,9,,,,,
player,201312080den,oti,FokoMo99,tackles_assists,0,,,,,
player,201312080den,oti,FokoMo99,tackles_loss,0,,,,,
player,201312080den,oti,FokoMo99,qb_hits,0,,,,,
player,201312080den,oti,FokoMo99,fumbles_rec,0,,,,,
player,201312080den,oti,FokoMo99,fumbles_rec_yds,0,,,,,
player,201312080den,oti,FokoMo99,fumbles_rec_td,0,,,,,
player,201312080den,oti,FokoMo99,fumbles_forced,0,,,,,
player,201312080den,oti,GrifMi99,def_int,0,,,,,
player,201312080den,oti,GrifMi99,def_int_yds,0,,,,,
player,201312080den,oti,GrifMi99,def_int_td,0,,,,,
player,201312080den,oti,GrifMi99,def_int_long,0,,,,,
player,201312080den,oti,GrifMi99,pass_defended,0,,,,,
player,201312080den,oti,GrifMi99,sacks,0.0,,,,,
player,201312080den,oti,GrifMi99,tackles_combined,9,,,,,
player,201312080den,oti,GrifMi99,tackles_solo,8,,,,,
player,201312080den,oti,GrifMi99,tackles_assists,1,,,,,
player,201312080den,oti,GrifMi99,tackles_loss,0,,,,,
player,201312080den,oti,GrifMi99,qb_hits,0,,,,,
player,201312080den,oti,GrifMi99,fumbles_rec,0,,,,,
player,201312080den,oti,GrifMi99,fumbles_rec_yds,0,,,,,
player,201312080den,oti,GrifMi99,fumbles_rec_td,0,,,,,
player,201312080den,oti,GrifMi99,fumbles_forced,0,,,,,
player,201312080den,oti,VernAl99,def_int,0,,,,,
player,201312080den,oti,VernAl99,def_int_yds,0,,,,,
player,201312080den,oti,VernAl99,def_int_td,0,,,,,
player,201312080den,oti,VernAl99,def_int_long,0,,,,,
player,201312080den,oti,VernAl99,pass_defended,2,,,,,
player,201312080den,oti,VernAl99,sacks,0.0,,,,,
player,201312080den,oti,VernAl99,tackles_combined,9,,,,,
player,201312080den,oti,VernAl99,tackles_solo,8,,,,,
player,201312080den,oti,VernAl99,tackles_assists,1,,,,,
player,201312080den,oti,VernAl99,tackles_loss,0,,,,,
player,201312080den,oti,VernAl99,qb_hits,0,,,,,
player,201312080den,oti,VernAl99,fumbles_rec,0,,,,,
player,201312080den,oti,VernAl99,fumbles_rec_yds,0,,,,,
player,201312080den,oti,VernAl99,fumbles_rec_td,0,,,,,
player,201312080den,oti,VernAl99,fumbles_forced,0,,,,,
player,201312080den,oti,PollBe20,def_int,0,,,,,
player,201312080den,oti,PollBe20,def_int_yds,0,,,,,
player,201312080den,oti,PollBe20,def_int_td,0,,,,,
player,201312080den,oti,PollBe20,def_int_long,0,,,,,
player,201312080den,oti,PollBe20,pass_defended,2,,,,,
player,201312080den,oti,PollBe20,sacks,0.0,,,,,
player,201312080den,oti,PollBe20,tackles_combined,7,,,,,
player,201312080den,oti,PollBe20,tackles_solo,7,,,,,
player,201312080den,oti,PollBe20,tackles_assists,0,,,,,
player,201312080den,oti,PollBe20,tackles_loss,1,,,,,
player,201312080den,oti,PollBe20,qb_hits,0,,,,,
player,201312080den,oti,PollBe20,fumbles_rec,0,,,,,
player,201312080den,oti,PollBe20,fumbles_rec_yds,0,,,,,
player,201312080den,oti,PollBe20,fumbles_rec_td,0,,,,,
player,201312080den,oti,PollBe20,fumbles_forced,0,,,,,
player,201312080den,oti,McCoJa99,def_int,0,,,,,
player,201312080den,oti,McCoJa99,def_int_yds,0,,,,,
player,201312080den,oti,McCoJa99,def_int_td,0,,,,,
player,201312080den,oti,McCoJa99,def_int_long,0,,,,,
player,201312080den,oti,McCoJa99,pass_defended,0,,,,,
player,201312080den,oti,McCoJa99,sacks,0.0,,,,,
player,201312080den,oti,McCoJa99,tackles_combined,6,,,,,
player,201312080den,oti,McCoJa99,tackles_solo,5,,,,,
player,201312080den,oti,McCoJa99,tackles_assists,1,,,,,
