game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
player,201309150tam,nor,JenkMa99,def_int_td,0,,,,,
player,201309150tam,nor,JenkMa99,def_int_long,31,,,,,
player,201309150tam,nor,JenkMa99,pass_defended,1,,,,,
player,201309150tam,nor,JenkMa99,sacks,0.0,,,,,
player,201309150tam,nor,JenkMa99,tackles_combined,2,,,,,
player,201309150tam,nor,JenkMa99,tackles_solo,2,,,,,
player,201309150tam,nor,JenkMa99,tackles_assists,0,,,,,
player,201309150tam,nor,JenkMa99,tackles_loss,0,,,,,
player,201309150tam,nor,JenkMa99,qb_hits,0,,,,,
player,201309150tam,nor,JenkMa99,fumbles_rec,0,,,,,
player,201309150tam,nor,JenkMa99,fumbles_rec_yds,0,,,,,
player,201309150tam,nor,JenkMa99,fumbles_rec_td,0,,,,,
player,201309150tam,nor,JenkMa99,fumbles_forced,0,,,,,
player,201309150tam,nor,JordCa00,def_int,0,,,,,
player,201309150tam,nor,JordCa00,def_int_yds,0,,,,,
player,201309150tam,nor,JordCa00,def_int_td,0,,,,,
player,201309150tam,nor,JordCa00,def_int_long,0,,,,,
player,201309150tam,nor,JordCa00,pass_defended,0,,,,,
player,201309150tam,nor,JordCa00,sacks,1.0,,,,,
player,201309150tam,nor,JordCa00,tackles_combined,6,,,,,
player,201309150tam,nor,JordCa00,tackles_solo,4,,,,,
player,201309150tam,nor,JordCa00,tackles_assists,2,,,,,
player,201309150tam,nor,JordCa00,tackles_loss,0,,,,,
player,201309150tam,nor,JordCa00,qb_hits,0,,,,,
player,201309150tam,nor,JordCa00,fumbles_rec,0,,,,,
player,201309150tam,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201309150tam,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201309150tam,nor,JordCa00,fumbles_forced,1,,,,,
player,201309150tam,nor,HawtDa20,def_int,0,,,,,
player,201309150tam,nor,HawtDa20,def_int_yds,0,,,,,
player,201309150tam,nor,HawtDa20,def_int_td,0,,,,,
player,201309150tam,nor,HawtDa20,def_int_long,0,,,,,
player,201309150tam,nor,HawtDa20,pass_defended,0,,,,,
player,201309150tam,nor,HawtDa20,sacks,0.0,,,,,
player,201309150tam,nor,HawtDa20,tackles_combined,7,,,,,
player,201309150tam,nor,HawtDa20,tackles_solo,2,,,,,
player,201309150tam,nor,HawtDa20,tackles_assists,5,,,,,
player,201309150tam,nor,HawtDa20,tackles_loss,0,,,,,
player,201309150tam,nor,HawtDa20,qb_hits,0,,,,,
player,201309150tam,nor,HawtDa20,fumbles_rec,0,,,,,
player,201309150tam,nor,HawtDa20,fumbles_rec_yds,0,,,,,
player,201309150tam,nor,HawtDa20,fumbles_rec_td,0,,,,,
player,201309150tam,nor,HawtDa20,fumbles_forced,0,,,,,
player,201309150tam,nor,LoftCu99,def_int,0,,,,,
player,201309150tam,nor,LoftCu99,def_int_yds,0,,,,,
player,201309150tam,nor,LoftCu99,def_int_td,0,,,,,
player,201309150tam,nor,LoftCu99,def_int_long,0,,,,,
player,201309150tam,nor,LoftCu99,pass_defended,0,,,,,
player,201309150tam,nor,LoftCu99,sacks,0.0,,,,,
player,201309150tam,nor,LoftCu99,tackles_combined,7,,,,,
player,201309150tam,nor,LoftCu99,tackles_solo,5,,,,,
player,201309150tam,nor,LoftCu99,tackles_assists,2,,,,,
player,201309150tam,nor,LoftCu99,tackles_loss,1,,,,,
player,201309150tam,nor,LoftCu99,qb_hits,0,,,,,
player,201309150tam,nor,LoftCu99,fumbles_rec,0,,,,,
player,201309150tam,nor,LoftCu99,fumbles_rec_yds,0,,,,,
player,201309150tam,nor,LoftCu99,fumbles_rec_td,0,,,,,
player,201309150tam,nor,LoftCu99,fumbles_forced,0,,,,,
player,201309150tam,nor,HarpRo21,def_int,0,,,,,
player,201309150tam,nor,HarpRo21,def_int_yds,0,,,,,
player,201309150tam,nor,HarpRo21,def_int_td,0,,,,,
player,201309150tam,nor,HarpRo21,def_int_long,0,,,,,
player,201309150tam,nor,HarpRo21,pass_defended,0,,,,,
player,201309150tam,nor,HarpRo21,sacks,0.0,,,,,
player,201309150tam,nor,HarpRo21,tackles_combined,6,,,,,
player,201309150tam,nor,HarpRo21,tackles_solo,6,,,,,
