game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
player,201311030htx,htx,JohnAn02,pass_int,0,,,,,
player,201311030htx,htx,JohnAn02,pass_sacked,0,,,,,
player,201311030htx,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201311030htx,htx,JohnAn02,pass_long,0,,,,,
player,201311030htx,htx,JohnAn02,pass_rating,,,,,,
player,201311030htx,htx,JohnAn02,rush_att,0,,,,,
player,201311030htx,htx,JohnAn02,rush_yds,0,,,,,
player,201311030htx,htx,JohnAn02,rush_td,0,,,,,
player,201311030htx,htx,JohnAn02,rush_long,0,,,,,
player,201311030htx,htx,JohnAn02,targets,13,,,,,
player,201311030htx,htx,JohnAn02,rec,9,,,,,
player,201311030htx,htx,JohnAn02,rec_yds,229,,,,,
player,201311030htx,htx,JohnAn02,rec_td,3,,,,,
player,201311030htx,htx,JohnAn02,rec_long,62,,,,,
player,201311030htx,htx,JohnAn02,fumbles,0,,,,,
player,201311030htx,htx,JohnAn02,fumbles_lost,0,,,,,
player,201311030htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201311030htx,htx,HopkDe00,pass_att,0,,,,,
player,201311030htx,htx,HopkDe00,pass_yds,0,,,,,
player,201311030htx,htx,HopkDe00,pass_td,0,,,,,
player,201311030htx,htx,HopkDe00,pass_int,0,,,,,
player,201311030htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201311030htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201311030htx,htx,HopkDe00,pass_long,0,,,,,
player,201311030htx,htx,HopkDe00,pass_rating,,,,,,
player,201311030htx,htx,HopkDe00,rush_att,0,,,,,
player,201311030htx,htx,HopkDe00,rush_yds,0,,,,,
player,201311030htx,htx,HopkDe00,rush_td,0,,,,,
player,201311030htx,htx,HopkDe00,rush_long,0,,,,,
player,201311030htx,htx,HopkDe00,targets,6,,,,,
player,201311030htx,htx,HopkDe00,rec,3,,,,,
player,201311030htx,htx,HopkDe00,rec_yds,54,,,,,
player,201311030htx,htx,HopkDe00,rec_td,0,,,,,
player,201311030htx,htx,HopkDe00,rec_long,31,,,,,
player,201311030htx,htx,HopkDe00,fumbles,0,,,,,
