game,2013,16,20131222,201312220htx,den,"Denver Broncos",37,htx,"Houston Texans",13
player,201312220htx,htx,JoneGr01,pass_rating,,,,,,
player,201312220htx,htx,JoneGr01,rush_att,0,,,,,
player,201312220htx,htx,JoneGr01,rush_yds,0,,,,,
player,201312220htx,htx,JoneGr01,rush_td,0,,,,,
player,201312220htx,htx,JoneGr01,rush_long,0,,,,,
player,201312220htx,htx,JoneGr01,targets,2,,,,,
player,201312220htx,htx,JoneGr01,rec,1,,,,,
player,201312220htx,htx,JoneGr01,rec_yds,4,,,,,
player,201312220htx,htx,JoneGr01,rec_td,0,,,,,
player,201312220htx,htx,JoneGr01,rec_long,4,,,,,
player,201312220htx,htx,JoneGr01,fumbles,0,,,,,
player,201312220htx,htx,JoneGr01,fumbles_lost,0,,,,,
player,201312220htx,htx,JeanLe01,pass_cmp,0,,,,,
player,201312220htx,htx,JeanLe01,pass_att,0,,,,,
player,201312220htx,htx,JeanLe01,pass_yds,0,,,,,
player,201312220htx,htx,JeanLe01,pass_td,0,,,,,
player,201312220htx,htx,JeanLe01,pass_int,0,,,,,
player,201312220htx,htx,JeanLe01,pass_sacked,0,,,,,
player,201312220htx,htx,JeanLe01,pass_sacked_yds,0,,,,,
player,201312220htx,htx,JeanLe01,pass_long,0,,,,,
player,201312220htx,htx,JeanLe01,pass_rating,,,,,,
player,201312220htx,htx,JeanLe01,rush_att,0,,,,,
player,201312220htx,htx,JeanLe01,rush_yds,0,,,,,
player,201312220htx,htx,JeanLe01,rush_td,0,,,,,
player,201312220htx,htx,JeanLe01,rush_long,0,,,,,
player,201312220htx,htx,JeanLe01,targets,1,,,,,
player,201312220htx,htx,JeanLe01,rec,0,,,,,
player,201312220htx,htx,JeanLe01,rec_yds,0,,,,,
player,201312220htx,htx,JeanLe01,rec_td,0,,,,,
player,201312220htx,htx,JeanLe01,rec_long,0,,,,,
player,201312220htx,htx,JeanLe01,fumbles,0,,,,,
player,201312220htx,htx,JeanLe01,fumbles_lost,0,,,,,
player,201312220htx,den,AdamMi21,def_int,1,,,,,
player,201312220htx,den,AdamMi21,def_int_yds,3,,,,,
player,201312220htx,den,AdamMi21,def_int_td,0,,,,,
player,201312220htx,den,AdamMi21,def_int_long,3,,,,,
player,201312220htx,den,AdamMi21,pass_defended,2,,,,,
player,201312220htx,den,AdamMi21,sacks,0.0,,,,,
player,201312220htx,den,AdamMi21,tackles_combined,9,,,,,
player,201312220htx,den,AdamMi21,tackles_solo,6,,,,,
player,201312220htx,den,AdamMi21,tackles_assists,3,,,,,
player,201312220htx,den,AdamMi21,tackles_loss,0,,,,,
player,201312220htx,den,AdamMi21,qb_hits,0,,,,,
player,201312220htx,den,AdamMi21,fumbles_rec,0,,,,,
player,201312220htx,den,AdamMi21,fumbles_rec_yds,0,,,,,
player,201312220htx,den,AdamMi21,fumbles_rec_td,0,,,,,
player,201312220htx,den,AdamMi21,fumbles_forced,0,,,,,
player,201312220htx,den,RodgDo99,def_int,1,,,,,
player,201312220htx,den,RodgDo99,def_int_yds,0,,,,,
player,201312220htx,den,RodgDo99,def_int_td,0,,,,,
player,201312220htx,den,RodgDo99,def_int_long,0,,,,,
player,201312220htx,den,RodgDo99,pass_defended,1,,,,,
player,201312220htx,den,RodgDo99,sacks,0.0,,,,,
player,201312220htx,den,RodgDo99,tackles_combined,1,,,,,
player,201312220htx,den,RodgDo99,tackles_solo,1,,,,,
player,201312220htx,den,RodgDo99,tackles_assists,0,,,,,
player,201312220htx,den,RodgDo99,tackles_loss,0,,,,,
player,201312220htx,den,RodgDo99,qb_hits,0,,,,,
player,201312220htx,den,RodgDo99,fumbles_rec,0,,,,,
player,201312220htx,den,RodgDo99,fumbles_rec_yds,0,,,,,
player,201312220htx,den,RodgDo99,fumbles_rec_td,0,,,,,
player,201312220htx,den,RodgDo99,fumbles_forced,0,,,,,
player,201312220htx,den,TrevDa00,def_int,0,,,,,
player,201312220htx,den,TrevDa00,def_int_yds,0,,,,,
player,201312220htx,den,TrevDa00,def_int_td,0,,,,,
player,201312220htx,den,TrevDa00,def_int_long,0,,,,,
player,201312220htx,den,TrevDa00,pass_defended,1,,,,,
player,201312220htx,den,TrevDa00,sacks,1.0,,,,,
player,201312220htx,den,TrevDa00,tackles_combined,9,,,,,
