game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
player,201510110kan,kan,ThomDe05,fumbles,0,,,,,
player,201510110kan,kan,ThomDe05,fumbles_lost,0,,,,,
player,201510110kan,kan,DaviKn00,pass_cmp,0,,,,,
player,201510110kan,kan,DaviKn00,pass_att,0,,,,,
player,201510110kan,kan,DaviKn00,pass_yds,0,,,,,
player,201510110kan,kan,DaviKn00,pass_td,0,,,,,
player,201510110kan,kan,DaviKn00,pass_int,0,,,,,
player,201510110kan,kan,DaviKn00,pass_sacked,0,,,,,
player,201510110kan,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201510110kan,kan,DaviKn00,pass_long,0,,,,,
player,201510110kan,kan,DaviKn00,pass_rating,,,,,,
player,201510110kan,kan,DaviKn00,rush_att,2,,,,,
player,201510110kan,kan,DaviKn00,rush_yds,2,,,,,
player,201510110kan,kan,DaviKn00,rush_td,0,,,,,
player,201510110kan,kan,DaviKn00,rush_long,4,,,,,
player,201510110kan,kan,DaviKn00,targets,0,,,,,
player,201510110kan,kan,DaviKn00,rec,0,,,,,
player,201510110kan,kan,DaviKn00,rec_yds,0,,,,,
player,201510110kan,kan,DaviKn00,rec_td,0,,,,,
player,201510110kan,kan,DaviKn00,rec_long,0,,,,,
player,201510110kan,kan,DaviKn00,fumbles,0,,,,,
player,201510110kan,kan,DaviKn00,fumbles_lost,0,,,,,
player,201510110kan,kan,MaclJe00,pass_cmp,0,,,,,
player,201510110kan,kan,MaclJe00,pass_att,0,,,,,
player,201510110kan,kan,MaclJe00,pass_yds,0,,,,,
player,201510110kan,kan,MaclJe00,pass_td,0,,,,,
player,201510110kan,kan,MaclJe00,pass_int,0,,,,,
player,201510110kan,kan,MaclJe00,pass_sacked,0,,,,,
player,201510110kan,kan,MaclJe00,pass_sacked_yds,0,,,,,
player,201510110kan,kan,MaclJe00,pass_long,0,,,,,
player,201510110kan,kan,MaclJe00,pass_rating,,,,,,
player,201510110kan,kan,MaclJe00,rush_att,0,,,,,
player,201510110kan,kan,MaclJe00,rush_yds,0,,,,,
player,201510110kan,kan,MaclJe00,rush_td,0,,,,,
player,201510110kan,kan,MaclJe00,rush_long,0,,,,,
player,201510110kan,kan,MaclJe00,targets,12,,,,,
player,201510110kan,kan,MaclJe00,rec,8,,,,,
player,201510110kan,kan,MaclJe00,rec_yds,85,,,,,
player,201510110kan,kan,MaclJe00,rec_td,0,,,,,
player,201510110kan,kan,MaclJe00,rec_long,23,,,,,
player,201510110kan,kan,MaclJe00,fumbles,0,,,,,
player,201510110kan,kan,MaclJe00,fumbles_lost,0,,,,,
player,201510110kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201510110kan,kan,KelcTr00,pass_att,0,,,,,
player,201510110kan,kan,KelcTr00,pass_yds,0,,,,,
player,201510110kan,kan,KelcTr00,pass_td,0,,,,,
player,201510110kan,kan,KelcTr00,pass_int,0,,,,,
player,201510110kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201510110kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201510110kan,kan,KelcTr00,pass_long,0,,,,,
player,201510110kan,kan,KelcTr00,pass_rating,,,,,,
player,201510110kan,kan,KelcTr00,rush_att,0,,,,,
player,201510110kan,kan,KelcTr00,rush_yds,0,,,,,
player,201510110kan,kan,KelcTr00,rush_td,0,,,,,
player,201510110kan,kan,KelcTr00,rush_long,0,,,,,
player,201510110kan,kan,KelcTr00,targets,6,,,,,
player,201510110kan,kan,KelcTr00,rec,3,,,,,
player,201510110kan,kan,KelcTr00,rec_yds,35,,,,,
player,201510110kan,kan,KelcTr00,rec_td,0,,,,,
