game,2015,15,20151220,201512200rai,gnb,"Green Bay Packers",30,rai,"Oakland Raiders",20
player,201512200rai,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,MurrLa00,pass_long,0,,,,,
player,201512200rai,rai,MurrLa00,pass_rating,,,,,,
player,201512200rai,rai,MurrLa00,rush_att,21,,,,,
player,201512200rai,rai,MurrLa00,rush_yds,78,,,,,
player,201512200rai,rai,MurrLa00,rush_td,0,,,,,
player,201512200rai,rai,MurrLa00,rush_long,22,,,,,
player,201512200rai,rai,MurrLa00,targets,2,,,,,
player,201512200rai,rai,MurrLa00,rec,1,,,,,
player,201512200rai,rai,MurrLa00,rec_yds,2,,,,,
player,201512200rai,rai,MurrLa00,rec_td,0,,,,,
player,201512200rai,rai,MurrLa00,rec_long,2,,,,,
player,201512200rai,rai,MurrLa00,fumbles,0,,,,,
player,201512200rai,rai,MurrLa00,fumbles_lost,0,,,,,
player,201512200rai,rai,CoopAm00,pass_cmp,0,,,,,
player,201512200rai,rai,CoopAm00,pass_att,0,,,,,
player,201512200rai,rai,CoopAm00,pass_yds,0,,,,,
player,201512200rai,rai,CoopAm00,pass_td,0,,,,,
player,201512200rai,rai,CoopAm00,pass_int,0,,,,,
player,201512200rai,rai,CoopAm00,pass_sacked,,,,,,
player,201512200rai,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,CoopAm00,pass_long,0,,,,,
player,201512200rai,rai,CoopAm00,pass_rating,,,,,,
player,201512200rai,rai,CoopAm00,rush_att,0,,,,,
player,201512200rai,rai,CoopAm00,rush_yds,0,,,,,
player,201512200rai,rai,CoopAm00,rush_td,0,,,,,
player,201512200rai,rai,CoopAm00,rush_long,0,,,,,
player,201512200rai,rai,CoopAm00,targets,9,,,,,
player,201512200rai,rai,CoopAm00,rec,6,,,,,
player,201512200rai,rai,CoopAm00,rec_yds,120,,,,,
player,201512200rai,rai,CoopAm00,rec_td,2,,,,,
player,201512200rai,rai,CoopAm00,rec_long,41,,,,,
player,201512200rai,rai,CoopAm00,fumbles,0,,,,,
player,201512200rai,rai,CoopAm00,fumbles_lost,0,,,,,
player,201512200rai,rai,CrabMi00,pass_cmp,0,,,,,
player,201512200rai,rai,CrabMi00,pass_att,0,,,,,
player,201512200rai,rai,CrabMi00,pass_yds,0,,,,,
player,201512200rai,rai,CrabMi00,pass_td,0,,,,,
player,201512200rai,rai,CrabMi00,pass_int,0,,,,,
player,201512200rai,rai,CrabMi00,pass_sacked,,,,,,
player,201512200rai,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,CrabMi00,pass_long,0,,,,,
player,201512200rai,rai,CrabMi00,pass_rating,,,,,,
player,201512200rai,rai,CrabMi00,rush_att,0,,,,,
player,201512200rai,rai,CrabMi00,rush_yds,0,,,,,
player,201512200rai,rai,CrabMi00,rush_td,0,,,,,
player,201512200rai,rai,CrabMi00,rush_long,0,,,,,
player,201512200rai,rai,CrabMi00,targets,11,,,,,
player,201512200rai,rai,CrabMi00,rec,6,,,,,
player,201512200rai,rai,CrabMi00,rec_yds,70,,,,,
player,201512200rai,rai,CrabMi00,rec_td,0,,,,,
player,201512200rai,rai,CrabMi00,rec_long,23,,,,,
player,201512200rai,rai,CrabMi00,fumbles,0,,,,,
player,201512200rai,rai,CrabMi00,fumbles_lost,0,,,,,
player,201512200rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201512200rai,rai,ReecMa00,pass_att,0,,,,,
player,201512200rai,rai,ReecMa00,pass_yds,0,,,,,
player,201512200rai,rai,ReecMa00,pass_td,0,,,,,
player,201512200rai,rai,ReecMa00,pass_int,0,,,,,
player,201512200rai,rai,ReecMa00,pass_sacked,,,,,,
player,201512200rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,ReecMa00,pass_long,0,,,,,
player,201512200rai,rai,ReecMa00,pass_rating,,,,,,
player,201512200rai,rai,ReecMa00,rush_att,0,,,,,
player,201512200rai,rai,ReecMa00,rush_yds,0,,,,,
player,201512200rai,rai,ReecMa00,rush_td,0,,,,,
player,201512200rai,rai,ReecMa00,rush_long,0,,,,,
player,201512200rai,rai,ReecMa00,targets,3,,,,,
player,201512200rai,rai,ReecMa00,rec,3,,,,,
player,201512200rai,rai,ReecMa00,rec_yds,37,,,,,
player,201512200rai,rai,ReecMa00,rec_td,0,,,,,
player,201512200rai,rai,ReecMa00,rec_long,29,,,,,
player,201512200rai,rai,ReecMa00,fumbles,0,,,,,
player,201512200rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201512200rai,rai,RiveMy00,pass_cmp,0,,,,,
player,201512200rai,rai,RiveMy00,pass_att,0,,,,,
player,201512200rai,rai,RiveMy00,pass_yds,0,,,,,
player,201512200rai,rai,RiveMy00,pass_td,0,,,,,
player,201512200rai,rai,RiveMy00,pass_int,0,,,,,
player,201512200rai,rai,RiveMy00,pass_sacked,,,,,,
player,201512200rai,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,RiveMy00,pass_long,0,,,,,
player,201512200rai,rai,RiveMy00,pass_rating,,,,,,
player,201512200rai,rai,RiveMy00,rush_att,0,,,,,
player,201512200rai,rai,RiveMy00,rush_yds,0,,,,,
player,201512200rai,rai,RiveMy00,rush_td,0,,,,,
player,201512200rai,rai,RiveMy00,rush_long,0,,,,,
player,201512200rai,rai,RiveMy00,targets,6,,,,,
player,201512200rai,rai,RiveMy00,rec,3,,,,,
player,201512200rai,rai,RiveMy00,rec_yds,20,,,,,
player,201512200rai,rai,RiveMy00,rec_td,0,,,,,
player,201512200rai,rai,RiveMy00,rec_long,14,,,,,
player,201512200rai,rai,RiveMy00,fumbles,0,,,,,
player,201512200rai,rai,RiveMy00,fumbles_lost,0,,,,,
player,201512200rai,rai,HolmAn00,pass_cmp,0,,,,,
player,201512200rai,rai,HolmAn00,pass_att,0,,,,,
player,201512200rai,rai,HolmAn00,pass_yds,0,,,,,
player,201512200rai,rai,HolmAn00,pass_td,0,,,,,
player,201512200rai,rai,HolmAn00,pass_int,0,,,,,
player,201512200rai,rai,HolmAn00,pass_sacked,,,,,,
player,201512200rai,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,HolmAn00,pass_long,0,,,,,
player,201512200rai,rai,HolmAn00,pass_rating,,,,,,
player,201512200rai,rai,HolmAn00,rush_att,0,,,,,
player,201512200rai,rai,HolmAn00,rush_yds,0,,,,,
player,201512200rai,rai,HolmAn00,rush_td,0,,,,,
player,201512200rai,rai,HolmAn00,rush_long,0,,,,,
player,201512200rai,rai,HolmAn00,targets,8,,,,,
player,201512200rai,rai,HolmAn00,rec,2,,,,,
player,201512200rai,rai,HolmAn00,rec_yds,17,,,,,
player,201512200rai,rai,HolmAn00,rec_td,0,,,,,
player,201512200rai,rai,HolmAn00,rec_long,11,,,,,
player,201512200rai,rai,HolmAn00,fumbles,0,,,,,
player,201512200rai,rai,HolmAn00,fumbles_lost,0,,,,,
player,201512200rai,rai,WalfCl00,pass_cmp,0,,,,,
player,201512200rai,rai,WalfCl00,pass_att,0,,,,,
player,201512200rai,rai,WalfCl00,pass_yds,0,,,,,
player,201512200rai,rai,WalfCl00,pass_td,0,,,,,
player,201512200rai,rai,WalfCl00,pass_int,0,,,,,
player,201512200rai,rai,WalfCl00,pass_sacked,,,,,,
player,201512200rai,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,WalfCl00,pass_long,0,,,,,
player,201512200rai,rai,WalfCl00,pass_rating,,,,,,
player,201512200rai,rai,WalfCl00,rush_att,0,,,,,
player,201512200rai,rai,WalfCl00,rush_yds,0,,,,,
player,201512200rai,rai,WalfCl00,rush_td,0,,,,,
player,201512200rai,rai,WalfCl00,rush_long,0,,,,,
player,201512200rai,rai,WalfCl00,targets,7,,,,,
player,201512200rai,rai,WalfCl00,rec,2,,,,,
player,201512200rai,rai,WalfCl00,rec_yds,10,,,,,
player,201512200rai,rai,WalfCl00,rec_td,0,,,,,
player,201512200rai,rai,WalfCl00,rec_long,6,,,,,
player,201512200rai,rai,WalfCl00,fumbles,0,,,,,
player,201512200rai,rai,WalfCl00,fumbles_lost,0,,,,,
player,201512200rai,rai,RobeSe00,pass_cmp,0,,,,,
player,201512200rai,rai,RobeSe00,pass_att,0,,,,,
player,201512200rai,rai,RobeSe00,pass_yds,0,,,,,
player,201512200rai,rai,RobeSe00,pass_td,0,,,,,
player,201512200rai,rai,RobeSe00,pass_int,0,,,,,
player,201512200rai,rai,RobeSe00,pass_sacked,0,,,,,
player,201512200rai,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201512200rai,rai,RobeSe00,pass_long,0,,,,,
player,201512200rai,rai,RobeSe00,pass_rating,,,,,,
player,201512200rai,rai,RobeSe00,rush_att,0,,,,,
player,201512200rai,rai,RobeSe00,rush_yds,0,,,,,
player,201512200rai,rai,RobeSe00,rush_td,0,,,,,
player,201512200rai,rai,RobeSe00,rush_long,0,,,,,
player,201512200rai,rai,RobeSe00,targets,1,,,,,
player,201512200rai,rai,RobeSe00,rec,0,,,,,
player,201512200rai,rai,RobeSe00,rec_yds,0,,,,,
player,201512200rai,rai,RobeSe00,rec_td,0,,,,,
player,201512200rai,rai,RobeSe00,rec_long,0,,,,,
player,201512200rai,rai,RobeSe00,fumbles,0,,,,,
player,201512200rai,rai,RobeSe00,fumbles_lost,0,,,,,
player,201512200rai,gnb,RandDa00,def_int,1,,,,,
player,201512200rai,gnb,RandDa00,def_int_yds,43,,,,,
player,201512200rai,gnb,RandDa00,def_int_td,1,,,,,
player,201512200rai,gnb,RandDa00,def_int_long,43,,,,,
player,201512200rai,gnb,RandDa00,pass_defended,1,,,,,
player,201512200rai,gnb,RandDa00,sacks,0.0,,,,,
player,201512200rai,gnb,RandDa00,tackles_combined,7,,,,,
player,201512200rai,gnb,RandDa00,tackles_solo,6,,,,,
player,201512200rai,gnb,RandDa00,tackles_assists,1,,,,,
player,201512200rai,gnb,RandDa00,tackles_loss,0,,,,,
player,201512200rai,gnb,RandDa00,qb_hits,0,,,,,
player,201512200rai,gnb,RandDa00,fumbles_rec,0,,,,,
player,201512200rai,gnb,RandDa00,fumbles_rec_yds,0,,,,,
player,201512200rai,gnb,RandDa00,fumbles_rec_td,0,,,,,
player,201512200rai,gnb,RandDa00,fumbles_forced,0,,,,,
player,201512200rai,gnb,HydeMi00,def_int,1,,,,,
player,201512200rai,gnb,HydeMi00,def_int_yds,34,,,,,
