game,2015,14,20151210,201512100crd,min,"Minnesota Vikings",20,crd,"Arizona Cardinals",23
player,201512100crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201512100crd,crd,BrowJa03,pass_att,0,,,,,
player,201512100crd,crd,BrowJa03,pass_yds,0,,,,,
player,201512100crd,crd,BrowJa03,pass_td,0,,,,,
player,201512100crd,crd,BrowJa03,pass_int,0,,,,,
player,201512100crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201512100crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201512100crd,crd,BrowJa03,pass_long,0,,,,,
player,201512100crd,crd,BrowJa03,pass_rating,,,,,,
player,201512100crd,crd,BrowJa03,rush_att,0,,,,,
player,201512100crd,crd,BrowJa03,rush_yds,0,,,,,
player,201512100crd,crd,BrowJa03,rush_td,0,,,,,
player,201512100crd,crd,BrowJa03,rush_long,0,,,,,
player,201512100crd,crd,BrowJa03,targets,1,,,,,
player,201512100crd,crd,BrowJa03,rec,1,,,,,
player,201512100crd,crd,BrowJa03,rec_yds,1,,,,,
player,201512100crd,crd,BrowJa03,rec_td,0,,,,,
