game,2015,7,20151026,201510260crd,rav,"Baltimore Ravens",18,crd,"Arizona Cardinals",26
player,201510260crd,crd,FitzLa00,fumbles,0,,,,,
player,201510260crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201510260crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201510260crd,crd,BrowJa03,pass_att,0,,,,,
player,201510260crd,crd,BrowJa03,pass_yds,0,,,,,
player,201510260crd,crd,BrowJa03,pass_td,0,,,,,
player,201510260crd,crd,BrowJa03,pass_int,0,,,,,
player,201510260crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201510260crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201510260crd,crd,BrowJa03,pass_long,0,,,,,
player,201510260crd,crd,BrowJa03,pass_rating,,,,,,
player,201510260crd,crd,BrowJa03,rush_att,0,,,,,
player,201510260crd,crd,BrowJa03,rush_yds,0,,,,,
player,201510260crd,crd,BrowJa03,rush_td,0,,,,,
player,201510260crd,crd,BrowJa03,rush_long,0,,,,,
player,201510260crd,crd,BrowJa03,targets,1,,,,,
player,201510260crd,crd,BrowJa03,rec,1,,,,,
player,201510260crd,crd,BrowJa03,rec_yds,3,,,,,
player,201510260crd,crd,BrowJa03,rec_td,0,,,,,
player,201510260crd,crd,BrowJa03,rec_long,3,,,,,
player,201510260crd,crd,BrowJa03,fumbles,0,,,,,
player,201510260crd,crd,BrowJa03,fumbles_lost,0,,,,,
player,201510260crd,rav,MoslC.00,def_int,0,,,,,
player,201510260crd,rav,MoslC.00,def_int_yds,0,,,,,
player,201510260crd,rav,MoslC.00,def_int_td,0,,,,,
player,201510260crd,rav,MoslC.00,def_int_long,0,,,,,
player,201510260crd,rav,MoslC.00,pass_defended,0,,,,,
player,201510260crd,rav,MoslC.00,sacks,1.0,,,,,
player,201510260crd,rav,MoslC.00,tackles_combined,4,,,,,
player,201510260crd,rav,MoslC.00,tackles_solo,4,,,,,
player,201510260crd,rav,MoslC.00,tackles_assists,0,,,,,
player,201510260crd,rav,MoslC.00,tackles_loss,2,,,,,
player,201510260crd,rav,MoslC.00,qb_hits,1,,,,,
player,201510260crd,rav,MoslC.00,fumbles_rec,0,,,,,
player,201510260crd,rav,MoslC.00,fumbles_rec_yds,0,,,,,
player,201510260crd,rav,MoslC.00,fumbles_rec_td,0,,,,,
player,201510260crd,rav,MoslC.00,fumbles_forced,0,,,,,
player,201510260crd,rav,OrrxZa00,def_int,0,,,,,
player,201510260crd,rav,OrrxZa00,def_int_yds,0,,,,,
player,201510260crd,rav,OrrxZa00,def_int_td,0,,,,,
player,201510260crd,rav,OrrxZa00,def_int_long,0,,,,,
player,201510260crd,rav,OrrxZa00,pass_defended,0,,,,,
player,201510260crd,rav,OrrxZa00,sacks,1.0,,,,,
player,201510260crd,rav,OrrxZa00,tackles_combined,3,,,,,
player,201510260crd,rav,OrrxZa00,tackles_solo,3,,,,,
player,201510260crd,rav,OrrxZa00,tackles_assists,0,,,,,
player,201510260crd,rav,OrrxZa00,tackles_loss,1,,,,,
player,201510260crd,rav,OrrxZa00,qb_hits,1,,,,,
