game,2015,8,20151101,201511010cle,crd,"Arizona Cardinals",34,cle,"Cleveland Browns",20
player,201511010cle,cle,ManzJo00,pass_yds,12,,,,,
player,201511010cle,cle,ManzJo00,pass_td,0,,,,,
player,201511010cle,cle,ManzJo00,pass_int,0,,,,,
player,201511010cle,cle,ManzJo00,pass_sacked,0,,,,,
player,201511010cle,cle,ManzJo00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,ManzJo00,pass_long,6,,,,,
player,201511010cle,cle,ManzJo00,pass_rating,56.2,,,,,
player,201511010cle,cle,ManzJo00,rush_att,1,,,,,
player,201511010cle,cle,ManzJo00,rush_yds,1,,,,,
player,201511010cle,cle,ManzJo00,rush_td,0,,,,,
player,201511010cle,cle,ManzJo00,rush_long,1,,,,,
player,201511010cle,cle,ManzJo00,targets,0,,,,,
player,201511010cle,cle,ManzJo00,rec,0,,,,,
player,201511010cle,cle,ManzJo00,rec_yds,0,,,,,
player,201511010cle,cle,ManzJo00,rec_td,0,,,,,
player,201511010cle,cle,ManzJo00,rec_long,0,,,,,
player,201511010cle,cle,ManzJo00,fumbles,0,,,,,
player,201511010cle,cle,ManzJo00,fumbles_lost,0,,,,,
player,201511010cle,cle,CrowIs00,pass_cmp,0,,,,,
player,201511010cle,cle,CrowIs00,pass_att,0,,,,,
player,201511010cle,cle,CrowIs00,pass_yds,0,,,,,
player,201511010cle,cle,CrowIs00,pass_td,0,,,,,
player,201511010cle,cle,CrowIs00,pass_int,0,,,,,
player,201511010cle,cle,CrowIs00,pass_sacked,0,,,,,
player,201511010cle,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,CrowIs00,pass_long,0,,,,,
player,201511010cle,cle,CrowIs00,pass_rating,,,,,,
player,201511010cle,cle,CrowIs00,rush_att,10,,,,,
player,201511010cle,cle,CrowIs00,rush_yds,14,,,,,
player,201511010cle,cle,CrowIs00,rush_td,0,,,,,
player,201511010cle,cle,CrowIs00,rush_long,8,,,,,
player,201511010cle,cle,CrowIs00,targets,2,,,,,
player,201511010cle,cle,CrowIs00,rec,1,,,,,
player,201511010cle,cle,CrowIs00,rec_yds,12,,,,,
player,201511010cle,cle,CrowIs00,rec_td,0,,,,,
player,201511010cle,cle,CrowIs00,rec_long,12,,,,,
player,201511010cle,cle,CrowIs00,fumbles,0,,,,,
player,201511010cle,cle,CrowIs00,fumbles_lost,0,,,,,
player,201511010cle,cle,JohnDu00,pass_cmp,0,,,,,
player,201511010cle,cle,JohnDu00,pass_att,0,,,,,
player,201511010cle,cle,JohnDu00,pass_yds,0,,,,,
player,201511010cle,cle,JohnDu00,pass_td,0,,,,,
player,201511010cle,cle,JohnDu00,pass_int,0,,,,,
player,201511010cle,cle,JohnDu00,pass_sacked,0,,,,,
player,201511010cle,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,JohnDu00,pass_long,0,,,,,
player,201511010cle,cle,JohnDu00,pass_rating,,,,,,
player,201511010cle,cle,JohnDu00,rush_att,1,,,,,
player,201511010cle,cle,JohnDu00,rush_yds,3,,,,,
player,201511010cle,cle,JohnDu00,rush_td,0,,,,,
player,201511010cle,cle,JohnDu00,rush_long,3,,,,,
player,201511010cle,cle,JohnDu00,targets,2,,,,,
player,201511010cle,cle,JohnDu00,rec,2,,,,,
player,201511010cle,cle,JohnDu00,rec_yds,68,,,,,
player,201511010cle,cle,JohnDu00,rec_td,0,,,,,
player,201511010cle,cle,JohnDu00,rec_long,52,,,,,
player,201511010cle,cle,JohnDu00,fumbles,0,,,,,
player,201511010cle,cle,JohnDu00,fumbles_lost,0,,,,,
player,201511010cle,cle,TurbRo00,pass_cmp,0,,,,,
player,201511010cle,cle,TurbRo00,pass_att,0,,,,,
player,201511010cle,cle,TurbRo00,pass_yds,0,,,,,
player,201511010cle,cle,TurbRo00,pass_td,0,,,,,
player,201511010cle,cle,TurbRo00,pass_int,0,,,,,
player,201511010cle,cle,TurbRo00,pass_sacked,0,,,,,
player,201511010cle,cle,TurbRo00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,TurbRo00,pass_long,0,,,,,
player,201511010cle,cle,TurbRo00,pass_rating,,,,,,
player,201511010cle,cle,TurbRo00,rush_att,3,,,,,
player,201511010cle,cle,TurbRo00,rush_yds,3,,,,,
player,201511010cle,cle,TurbRo00,rush_td,0,,,,,
player,201511010cle,cle,TurbRo00,rush_long,3,,,,,
player,201511010cle,cle,TurbRo00,targets,0,,,,,
player,201511010cle,cle,TurbRo00,rec,0,,,,,
player,201511010cle,cle,TurbRo00,rec_yds,0,,,,,
player,201511010cle,cle,TurbRo00,rec_td,0,,,,,
player,201511010cle,cle,TurbRo00,rec_long,0,,,,,
player,201511010cle,cle,TurbRo00,fumbles,0,,,,,
player,201511010cle,cle,TurbRo00,fumbles_lost,0,,,,,
player,201511010cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201511010cle,cle,BarnGa01,pass_att,0,,,,,
player,201511010cle,cle,BarnGa01,pass_yds,0,,,,,
player,201511010cle,cle,BarnGa01,pass_td,0,,,,,
player,201511010cle,cle,BarnGa01,pass_int,0,,,,,
player,201511010cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201511010cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201511010cle,cle,BarnGa01,pass_long,0,,,,,
player,201511010cle,cle,BarnGa01,pass_rating,,,,,,
player,201511010cle,cle,BarnGa01,rush_att,0,,,,,
player,201511010cle,cle,BarnGa01,rush_yds,0,,,,,
player,201511010cle,cle,BarnGa01,rush_td,0,,,,,
player,201511010cle,cle,BarnGa01,rush_long,0,,,,,
player,201511010cle,cle,BarnGa01,targets,11,,,,,
player,201511010cle,cle,BarnGa01,rec,7,,,,,
player,201511010cle,cle,BarnGa01,rec_yds,53,,,,,
player,201511010cle,cle,BarnGa01,rec_td,1,,,,,
player,201511010cle,cle,BarnGa01,rec_long,17,,,,,
player,201511010cle,cle,BarnGa01,fumbles,0,,,,,
player,201511010cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201511010cle,cle,HartBr00,pass_cmp,0,,,,,
player,201511010cle,cle,HartBr00,pass_att,0,,,,,
player,201511010cle,cle,HartBr00,pass_yds,0,,,,,
player,201511010cle,cle,HartBr00,pass_td,0,,,,,
player,201511010cle,cle,HartBr00,pass_int,0,,,,,
player,201511010cle,cle,HartBr00,pass_sacked,0,,,,,
player,201511010cle,cle,HartBr00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,HartBr00,pass_long,0,,,,,
player,201511010cle,cle,HartBr00,pass_rating,,,,,,
player,201511010cle,cle,HartBr00,rush_att,0,,,,,
player,201511010cle,cle,HartBr00,rush_yds,0,,,,,
player,201511010cle,cle,HartBr00,rush_td,0,,,,,
player,201511010cle,cle,HartBr00,rush_long,0,,,,,
player,201511010cle,cle,HartBr00,targets,10,,,,,
player,201511010cle,cle,HartBr00,rec,4,,,,,
player,201511010cle,cle,HartBr00,rec_yds,32,,,,,
player,201511010cle,cle,HartBr00,rec_td,2,,,,,
player,201511010cle,cle,HartBr00,rec_long,14,,,,,
player,201511010cle,cle,HartBr00,fumbles,0,,,,,
player,201511010cle,cle,HartBr00,fumbles_lost,0,,,,,
player,201511010cle,cle,GabrTa00,pass_cmp,0,,,,,
player,201511010cle,cle,GabrTa00,pass_att,0,,,,,
player,201511010cle,cle,GabrTa00,pass_yds,0,,,,,
player,201511010cle,cle,GabrTa00,pass_td,0,,,,,
player,201511010cle,cle,GabrTa00,pass_int,0,,,,,
player,201511010cle,cle,GabrTa00,pass_sacked,0,,,,,
player,201511010cle,cle,GabrTa00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,GabrTa00,pass_long,0,,,,,
player,201511010cle,cle,GabrTa00,pass_rating,,,,,,
player,201511010cle,cle,GabrTa00,rush_att,0,,,,,
player,201511010cle,cle,GabrTa00,rush_yds,0,,,,,
player,201511010cle,cle,GabrTa00,rush_td,0,,,,,
player,201511010cle,cle,GabrTa00,rush_long,0,,,,,
player,201511010cle,cle,GabrTa00,targets,7,,,,,
player,201511010cle,cle,GabrTa00,rec,4,,,,,
player,201511010cle,cle,GabrTa00,rec_yds,32,,,,,
player,201511010cle,cle,GabrTa00,rec_td,0,,,,,
player,201511010cle,cle,GabrTa00,rec_long,9,,,,,
player,201511010cle,cle,GabrTa00,fumbles,0,,,,,
player,201511010cle,cle,GabrTa00,fumbles_lost,0,,,,,
player,201511010cle,cle,BenjTr00,pass_cmp,0,,,,,
player,201511010cle,cle,BenjTr00,pass_att,0,,,,,
player,201511010cle,cle,BenjTr00,pass_yds,0,,,,,
player,201511010cle,cle,BenjTr00,pass_td,0,,,,,
player,201511010cle,cle,BenjTr00,pass_int,0,,,,,
player,201511010cle,cle,BenjTr00,pass_sacked,0,,,,,
player,201511010cle,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,BenjTr00,pass_long,0,,,,,
player,201511010cle,cle,BenjTr00,pass_rating,,,,,,
player,201511010cle,cle,BenjTr00,rush_att,0,,,,,
player,201511010cle,cle,BenjTr00,rush_yds,0,,,,,
player,201511010cle,cle,BenjTr00,rush_td,0,,,,,
player,201511010cle,cle,BenjTr00,rush_long,0,,,,,
player,201511010cle,cle,BenjTr00,targets,5,,,,,
player,201511010cle,cle,BenjTr00,rec,3,,,,,
player,201511010cle,cle,BenjTr00,rec_yds,26,,,,,
player,201511010cle,cle,BenjTr00,rec_td,0,,,,,
player,201511010cle,cle,BenjTr00,rec_long,17,,,,,
player,201511010cle,cle,BenjTr00,fumbles,0,,,,,
player,201511010cle,cle,BenjTr00,fumbles_lost,0,,,,,
player,201511010cle,cle,DrayJi00,pass_cmp,0,,,,,
player,201511010cle,cle,DrayJi00,pass_att,0,,,,,
player,201511010cle,cle,DrayJi00,pass_yds,0,,,,,
player,201511010cle,cle,DrayJi00,pass_td,0,,,,,
player,201511010cle,cle,DrayJi00,pass_int,0,,,,,
player,201511010cle,cle,DrayJi00,pass_sacked,0,,,,,
player,201511010cle,cle,DrayJi00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,DrayJi00,pass_long,0,,,,,
player,201511010cle,cle,DrayJi00,pass_rating,,,,,,
player,201511010cle,cle,DrayJi00,rush_att,0,,,,,
player,201511010cle,cle,DrayJi00,rush_yds,0,,,,,
player,201511010cle,cle,DrayJi00,rush_td,0,,,,,
player,201511010cle,cle,DrayJi00,rush_long,0,,,,,
player,201511010cle,cle,DrayJi00,targets,2,,,,,
player,201511010cle,cle,DrayJi00,rec,0,,,,,
player,201511010cle,cle,DrayJi00,rec_yds,0,,,,,
player,201511010cle,cle,DrayJi00,rec_td,0,,,,,
player,201511010cle,cle,DrayJi00,rec_long,0,,,,,
player,201511010cle,cle,DrayJi00,fumbles,0,,,,,
player,201511010cle,cle,DrayJi00,fumbles_lost,0,,,,,
player,201511010cle,cle,BoweDw00,pass_cmp,0,,,,,
player,201511010cle,cle,BoweDw00,pass_att,0,,,,,
player,201511010cle,cle,BoweDw00,pass_yds,0,,,,,
player,201511010cle,cle,BoweDw00,pass_td,0,,,,,
player,201511010cle,cle,BoweDw00,pass_int,0,,,,,
player,201511010cle,cle,BoweDw00,pass_sacked,0,,,,,
player,201511010cle,cle,BoweDw00,pass_sacked_yds,0,,,,,
player,201511010cle,cle,BoweDw00,pass_long,0,,,,,
player,201511010cle,cle,BoweDw00,pass_rating,,,,,,
player,201511010cle,cle,BoweDw00,rush_att,0,,,,,
player,201511010cle,cle,BoweDw00,rush_yds,0,,,,,
player,201511010cle,cle,BoweDw00,rush_td,0,,,,,
player,201511010cle,cle,BoweDw00,rush_long,0,,,,,
player,201511010cle,cle,BoweDw00,targets,1,,,,,
player,201511010cle,cle,BoweDw00,rec,0,,,,,
player,201511010cle,cle,BoweDw00,rec_yds,0,,,,,
player,201511010cle,cle,BoweDw00,rec_td,0,,,,,
player,201511010cle,cle,BoweDw00,rec_long,0,,,,,
player,201511010cle,cle,BoweDw00,fumbles,0,,,,,
player,201511010cle,cle,BoweDw00,fumbles_lost,0,,,,,
player,201511010cle,crd,JohnRa98,def_int,1,,,,,
player,201511010cle,crd,JohnRa98,def_int_yds,0,,,,,
player,201511010cle,crd,JohnRa98,def_int_td,0,,,,,
player,201511010cle,crd,JohnRa98,def_int_long,0,,,,,
player,201511010cle,crd,JohnRa98,pass_defended,1,,,,,
player,201511010cle,crd,JohnRa98,sacks,0.0,,,,,
