game,2015,7,20151025,201510250mia,htx,"Houston Texans",26,mia,"Miami Dolphins",44
player,201510250mia,mia,JenkJe00,def_int_td,0,,,,,
player,201510250mia,mia,JenkJe00,def_int_long,0,,,,,
player,201510250mia,mia,JenkJe00,pass_defended,0,,,,,
player,201510250mia,mia,JenkJe00,sacks,0.0,,,,,
player,201510250mia,mia,JenkJe00,tackles_combined,3,,,,,
player,201510250mia,mia,JenkJe00,tackles_solo,3,,,,,
player,201510250mia,mia,JenkJe00,tackles_assists,0,,,,,
player,201510250mia,mia,JenkJe00,tackles_loss,1,,,,,
player,201510250mia,mia,JenkJe00,qb_hits,0,,,,,
player,201510250mia,mia,JenkJe00,fumbles_rec,0,,,,,
player,201510250mia,mia,JenkJe00,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,JenkJe00,fumbles_rec_td,0,,,,,
player,201510250mia,mia,JenkJe00,fumbles_forced,1,,,,,
player,201510250mia,mia,McCaBo01,def_int,0,,,,,
player,201510250mia,mia,McCaBo01,def_int_yds,0,,,,,
player,201510250mia,mia,McCaBo01,def_int_td,0,,,,,
player,201510250mia,mia,McCaBo01,def_int_long,0,,,,,
player,201510250mia,mia,McCaBo01,pass_defended,2,,,,,
player,201510250mia,mia,McCaBo01,sacks,0.0,,,,,
player,201510250mia,mia,McCaBo01,tackles_combined,3,,,,,
player,201510250mia,mia,McCaBo01,tackles_solo,3,,,,,
player,201510250mia,mia,McCaBo01,tackles_assists,0,,,,,
player,201510250mia,mia,McCaBo01,tackles_loss,0,,,,,
player,201510250mia,mia,McCaBo01,qb_hits,0,,,,,
player,201510250mia,mia,McCaBo01,fumbles_rec,0,,,,,
player,201510250mia,mia,McCaBo01,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,McCaBo01,fumbles_rec_td,0,,,,,
player,201510250mia,mia,McCaBo01,fumbles_forced,0,,,,,
player,201510250mia,mia,MisiKo99,def_int,0,,,,,
player,201510250mia,mia,MisiKo99,def_int_yds,0,,,,,
player,201510250mia,mia,MisiKo99,def_int_td,0,,,,,
player,201510250mia,mia,MisiKo99,def_int_long,0,,,,,
player,201510250mia,mia,MisiKo99,pass_defended,0,,,,,
player,201510250mia,mia,MisiKo99,sacks,0.0,,,,,
player,201510250mia,mia,MisiKo99,tackles_combined,3,,,,,
player,201510250mia,mia,MisiKo99,tackles_solo,3,,,,,
player,201510250mia,mia,MisiKo99,tackles_assists,0,,,,,
player,201510250mia,mia,MisiKo99,tackles_loss,1,,,,,
player,201510250mia,mia,MisiKo99,qb_hits,0,,,,,
player,201510250mia,mia,MisiKo99,fumbles_rec,0,,,,,
player,201510250mia,mia,MisiKo99,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,MisiKo99,fumbles_rec_td,0,,,,,
player,201510250mia,mia,MisiKo99,fumbles_forced,0,,,,,
player,201510250mia,mia,MitcEa99,def_int,0,,,,,
player,201510250mia,mia,MitcEa99,def_int_yds,0,,,,,
player,201510250mia,mia,MitcEa99,def_int_td,0,,,,,
player,201510250mia,mia,MitcEa99,def_int_long,0,,,,,
player,201510250mia,mia,MitcEa99,pass_defended,0,,,,,
player,201510250mia,mia,MitcEa99,sacks,0.0,,,,,
player,201510250mia,mia,MitcEa99,tackles_combined,3,,,,,
player,201510250mia,mia,MitcEa99,tackles_solo,2,,,,,
player,201510250mia,mia,MitcEa99,tackles_assists,1,,,,,
player,201510250mia,mia,MitcEa99,tackles_loss,0,,,,,
player,201510250mia,mia,MitcEa99,qb_hits,0,,,,,
player,201510250mia,mia,MitcEa99,fumbles_rec,0,,,,,
player,201510250mia,mia,MitcEa99,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,MitcEa99,fumbles_rec_td,0,,,,,
player,201510250mia,mia,MitcEa99,fumbles_forced,0,,,,,
player,201510250mia,mia,FedeTe00,def_int,0,,,,,
player,201510250mia,mia,FedeTe00,def_int_yds,0,,,,,
player,201510250mia,mia,FedeTe00,def_int_td,0,,,,,
player,201510250mia,mia,FedeTe00,def_int_long,0,,,,,
player,201510250mia,mia,FedeTe00,pass_defended,0,,,,,
player,201510250mia,mia,FedeTe00,sacks,0.0,,,,,
player,201510250mia,mia,FedeTe00,tackles_combined,2,,,,,
player,201510250mia,mia,FedeTe00,tackles_solo,1,,,,,
player,201510250mia,mia,FedeTe00,tackles_assists,1,,,,,
player,201510250mia,mia,FedeTe00,tackles_loss,0,,,,,
player,201510250mia,mia,FedeTe00,qb_hits,0,,,,,
player,201510250mia,mia,FedeTe00,fumbles_rec,0,,,,,
player,201510250mia,mia,FedeTe00,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,FedeTe00,fumbles_rec_td,0,,,,,
player,201510250mia,mia,FedeTe00,fumbles_forced,0,,,,,
player,201510250mia,mia,MoslC.20,def_int,0,,,,,
player,201510250mia,mia,MoslC.20,def_int_yds,0,,,,,
player,201510250mia,mia,MoslC.20,def_int_td,0,,,,,
player,201510250mia,mia,MoslC.20,def_int_long,0,,,,,
player,201510250mia,mia,MoslC.20,pass_defended,0,,,,,
player,201510250mia,mia,MoslC.20,sacks,0.0,,,,,
player,201510250mia,mia,MoslC.20,tackles_combined,2,,,,,
player,201510250mia,mia,MoslC.20,tackles_solo,1,,,,,
player,201510250mia,mia,MoslC.20,tackles_assists,1,,,,,
player,201510250mia,mia,MoslC.20,tackles_loss,0,,,,,
player,201510250mia,mia,MoslC.20,qb_hits,0,,,,,
player,201510250mia,mia,MoslC.20,fumbles_rec,0,,,,,
player,201510250mia,mia,MoslC.20,fumbles_rec_yds,0,,,,,
player,201510250mia,mia,MoslC.20,fumbles_rec_td,0,,,,,
player,201510250mia,mia,MoslC.20,fumbles_forced,0,,,,,
player,201510250mia,mia,ShepKe00,def_int,0,,,,,
player,201510250mia,mia,ShepKe00,def_int_yds,0,,,,,
player,201510250mia,mia,ShepKe00,def_int_td,0,,,,,
player,201510250mia,mia,ShepKe00,def_int_long,0,,,,,
player,201510250mia,mia,ShepKe00,pass_defended,0,,,,,
player,201510250mia,mia,ShepKe00,sacks,0.0,,,,,
player,201510250mia,mia,ShepKe00,tackles_combined,2,,,,,
