game,2015,8,20151102,201511020car,clt,"Indianapolis Colts",26,car,"Carolina Panthers",29
player,201511020car,clt,ThomJo01,tackles_assists,0,,,,,
player,201511020car,clt,ThomJo01,tackles_loss,0,,,,,
player,201511020car,clt,ThomJo01,qb_hits,0,,,,,
player,201511020car,clt,ThomJo01,fumbles_rec,0,,,,,
player,201511020car,clt,ThomJo01,fumbles_rec_yds,0,,,,,
player,201511020car,clt,ThomJo01,fumbles_rec_td,0,,,,,
player,201511020car,clt,ThomJo01,fumbles_forced,0,,,,,
player,201511020car,clt,TiptZu01,def_int,0,,,,,
player,201511020car,clt,TiptZu01,def_int_yds,0,,,,,
player,201511020car,clt,TiptZu01,def_int_td,0,,,,,
player,201511020car,clt,TiptZu01,def_int_long,0,,,,,
player,201511020car,clt,TiptZu01,pass_defended,0,,,,,
player,201511020car,clt,TiptZu01,sacks,0.0,,,,,
player,201511020car,clt,TiptZu01,tackles_combined,1,,,,,
player,201511020car,clt,TiptZu01,tackles_solo,0,,,,,
player,201511020car,clt,TiptZu01,tackles_assists,1,,,,,
player,201511020car,clt,TiptZu01,tackles_loss,0,,,,,
player,201511020car,clt,TiptZu01,qb_hits,0,,,,,
player,201511020car,clt,TiptZu01,fumbles_rec,0,,,,,
player,201511020car,clt,TiptZu01,fumbles_rec_yds,0,,,,,
