game,2015,13,20151206,201512060nwe,phi,"Philadelphia Eagles",35,nwe,"New England Patriots",28
player,201512060nwe,nwe,JohnDa04,fumbles_lost,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_cmp,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_att,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_yds,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_td,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_int,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_sacked,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_long,0,,,,,
player,201512060nwe,nwe,WhitJa02,pass_rating,,,,,,
player,201512060nwe,nwe,WhitJa02,rush_att,2,,,,,
player,201512060nwe,nwe,WhitJa02,rush_yds,4,,,,,
player,201512060nwe,nwe,WhitJa02,rush_td,0,,,,,
player,201512060nwe,nwe,WhitJa02,rush_long,8,,,,,
player,201512060nwe,nwe,WhitJa02,targets,13,,,,,
player,201512060nwe,nwe,WhitJa02,rec,10,,,,,
player,201512060nwe,nwe,WhitJa02,rec_yds,115,,,,,
player,201512060nwe,nwe,WhitJa02,rec_td,1,,,,,
player,201512060nwe,nwe,WhitJa02,rec_long,25,,,,,
player,201512060nwe,nwe,WhitJa02,fumbles,0,,,,,
player,201512060nwe,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_cmp,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_att,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_yds,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_td,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_int,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_sacked,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_long,0,,,,,
player,201512060nwe,nwe,ChanSc00,pass_rating,,,,,,
player,201512060nwe,nwe,ChanSc00,rush_att,0,,,,,
player,201512060nwe,nwe,ChanSc00,rush_yds,0,,,,,
player,201512060nwe,nwe,ChanSc00,rush_td,0,,,,,
player,201512060nwe,nwe,ChanSc00,rush_long,0,,,,,
player,201512060nwe,nwe,ChanSc00,targets,7,,,,,
player,201512060nwe,nwe,ChanSc00,rec,4,,,,,
player,201512060nwe,nwe,ChanSc00,rec_yds,61,,,,,
player,201512060nwe,nwe,ChanSc00,rec_td,1,,,,,
player,201512060nwe,nwe,ChanSc00,rec_long,30,,,,,
player,201512060nwe,nwe,ChanSc00,fumbles,0,,,,,
player,201512060nwe,nwe,ChanSc00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_cmp,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_att,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_yds,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_td,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_int,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_sacked,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_long,0,,,,,
player,201512060nwe,nwe,MartKe01,pass_rating,,,,,,
player,201512060nwe,nwe,MartKe01,rush_att,0,,,,,
player,201512060nwe,nwe,MartKe01,rush_yds,0,,,,,
player,201512060nwe,nwe,MartKe01,rush_td,0,,,,,
player,201512060nwe,nwe,MartKe01,rush_long,0,,,,,
player,201512060nwe,nwe,MartKe01,targets,8,,,,,
player,201512060nwe,nwe,MartKe01,rec,3,,,,,
player,201512060nwe,nwe,MartKe01,rec_yds,45,,,,,
player,201512060nwe,nwe,MartKe01,rec_td,0,,,,,
player,201512060nwe,nwe,MartKe01,rec_long,19,,,,,
player,201512060nwe,nwe,MartKe01,fumbles,0,,,,,
player,201512060nwe,nwe,MartKe01,fumbles_lost,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_cmp,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_att,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_yds,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_td,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_int,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_sacked,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_sacked_yds,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_long,0,,,,,
player,201512060nwe,nwe,LaFeBr00,pass_rating,,,,,,
player,201512060nwe,nwe,LaFeBr00,rush_att,0,,,,,
player,201512060nwe,nwe,LaFeBr00,rush_yds,0,,,,,
player,201512060nwe,nwe,LaFeBr00,rush_td,0,,,,,
player,201512060nwe,nwe,LaFeBr00,rush_long,0,,,,,
player,201512060nwe,nwe,LaFeBr00,targets,9,,,,,
player,201512060nwe,nwe,LaFeBr00,rec,4,,,,,
player,201512060nwe,nwe,LaFeBr00,rec_yds,27,,,,,
player,201512060nwe,nwe,LaFeBr00,rec_td,0,,,,,
player,201512060nwe,nwe,LaFeBr00,rec_long,12,,,,,
player,201512060nwe,nwe,LaFeBr00,fumbles,0,,,,,
player,201512060nwe,nwe,LaFeBr00,fumbles_lost,0,,,,,
player,201512060nwe,phi,JenkMa99,def_int,1,,,,,
player,201512060nwe,phi,JenkMa99,def_int_yds,99,,,,,
player,201512060nwe,phi,JenkMa99,def_int_td,1,,,,,
player,201512060nwe,phi,JenkMa99,def_int_long,99,,,,,
player,201512060nwe,phi,JenkMa99,pass_defended,1,,,,,
player,201512060nwe,phi,JenkMa99,sacks,0.0,,,,,
player,201512060nwe,phi,JenkMa99,tackles_combined,7,,,,,
player,201512060nwe,phi,JenkMa99,tackles_solo,6,,,,,
player,201512060nwe,phi,JenkMa99,tackles_assists,1,,,,,
player,201512060nwe,phi,JenkMa99,tackles_loss,2,,,,,
player,201512060nwe,phi,JenkMa99,qb_hits,0,,,,,
player,201512060nwe,phi,JenkMa99,fumbles_rec,0,,,,,
player,201512060nwe,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201512060nwe,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201512060nwe,phi,JenkMa99,fumbles_forced,0,,,,,
player,201512060nwe,phi,MaxwBy00,def_int,1,,,,,
player,201512060nwe,phi,MaxwBy00,def_int_yds,0,,,,,
player,201512060nwe,phi,MaxwBy00,def_int_td,0,,,,,
player,201512060nwe,phi,MaxwBy00,def_int_long,0,,,,,
player,201512060nwe,phi,MaxwBy00,pass_defended,1,,,,,
player,201512060nwe,phi,MaxwBy00,sacks,0.0,,,,,
player,201512060nwe,phi,MaxwBy00,tackles_combined,3,,,,,
player,201512060nwe,phi,MaxwBy00,tackles_solo,1,,,,,
player,201512060nwe,phi,MaxwBy00,tackles_assists,2,,,,,
player,201512060nwe,phi,MaxwBy00,tackles_loss,0,,,,,
player,201512060nwe,phi,MaxwBy00,qb_hits,0,,,,,
