game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
player,201601030clt,clt,FreeJo00,rush_td,0,,,,,
player,201601030clt,clt,FreeJo00,rush_long,9,,,,,
player,201601030clt,clt,FreeJo00,targets,0,,,,,
player,201601030clt,clt,FreeJo00,rec,0,,,,,
player,201601030clt,clt,FreeJo00,rec_yds,0,,,,,
player,201601030clt,clt,FreeJo00,rec_td,0,,,,,
player,201601030clt,clt,FreeJo00,rec_long,0,,,,,
player,201601030clt,clt,FreeJo00,fumbles,0,,,,,
player,201601030clt,clt,FreeJo00,fumbles_lost,0,,,,,
player,201601030clt,clt,LindRy00,pass_cmp,6,,,,,
player,201601030clt,clt,LindRy00,pass_att,10,,,,,
player,201601030clt,clt,LindRy00,pass_yds,58,,,,,
player,201601030clt,clt,LindRy00,pass_td,1,,,,,
player,201601030clt,clt,LindRy00,pass_int,0,,,,,
player,201601030clt,clt,LindRy00,pass_sacked,0,,,,,
player,201601030clt,clt,LindRy00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,LindRy00,pass_long,18,,,,,
player,201601030clt,clt,LindRy00,pass_rating,109.6,,,,,
player,201601030clt,clt,LindRy00,rush_att,0,,,,,
player,201601030clt,clt,LindRy00,rush_yds,0,,,,,
player,201601030clt,clt,LindRy00,rush_td,0,,,,,
player,201601030clt,clt,LindRy00,rush_long,0,,,,,
player,201601030clt,clt,LindRy00,targets,0,,,,,
player,201601030clt,clt,LindRy00,rec,0,,,,,
player,201601030clt,clt,LindRy00,rec_yds,0,,,,,
player,201601030clt,clt,LindRy00,rec_td,0,,,,,
player,201601030clt,clt,LindRy00,rec_long,0,,,,,
player,201601030clt,clt,LindRy00,fumbles,0,,,,,
player,201601030clt,clt,LindRy00,fumbles_lost,0,,,,,
player,201601030clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201601030clt,clt,GoreFr00,pass_att,0,,,,,
player,201601030clt,clt,GoreFr00,pass_yds,0,,,,,
player,201601030clt,clt,GoreFr00,pass_td,0,,,,,
player,201601030clt,clt,GoreFr00,pass_int,0,,,,,
player,201601030clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201601030clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,GoreFr00,pass_long,0,,,,,
player,201601030clt,clt,GoreFr00,pass_rating,,,,,,
player,201601030clt,clt,GoreFr00,rush_att,19,,,,,
player,201601030clt,clt,GoreFr00,rush_yds,76,,,,,
player,201601030clt,clt,GoreFr00,rush_td,0,,,,,
player,201601030clt,clt,GoreFr00,rush_long,15,,,,,
player,201601030clt,clt,GoreFr00,targets,4,,,,,
player,201601030clt,clt,GoreFr00,rec,0,,,,,
player,201601030clt,clt,GoreFr00,rec_yds,0,,,,,
player,201601030clt,clt,GoreFr00,rec_td,0,,,,,
player,201601030clt,clt,GoreFr00,rec_long,0,,,,,
player,201601030clt,clt,GoreFr00,fumbles,0,,,,,
player,201601030clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201601030clt,clt,WillTr03,pass_cmp,0,,,,,
player,201601030clt,clt,WillTr03,pass_att,0,,,,,
player,201601030clt,clt,WillTr03,pass_yds,0,,,,,
player,201601030clt,clt,WillTr03,pass_td,0,,,,,
player,201601030clt,clt,WillTr03,pass_int,0,,,,,
player,201601030clt,clt,WillTr03,pass_sacked,0,,,,,
player,201601030clt,clt,WillTr03,pass_sacked_yds,0,,,,,
player,201601030clt,clt,WillTr03,pass_long,0,,,,,
player,201601030clt,clt,WillTr03,pass_rating,,,,,,
player,201601030clt,clt,WillTr03,rush_att,2,,,,,
player,201601030clt,clt,WillTr03,rush_yds,12,,,,,
player,201601030clt,clt,WillTr03,rush_td,0,,,,,
player,201601030clt,clt,WillTr03,rush_long,12,,,,,
player,201601030clt,clt,WillTr03,targets,0,,,,,
player,201601030clt,clt,WillTr03,rec,0,,,,,
player,201601030clt,clt,WillTr03,rec_yds,0,,,,,
player,201601030clt,clt,WillTr03,rec_td,0,,,,,
player,201601030clt,clt,WillTr03,rec_long,0,,,,,
player,201601030clt,clt,WillTr03,fumbles,0,,,,,
player,201601030clt,clt,WillTr03,fumbles_lost,0,,,,,
player,201601030clt,clt,DorsPh00,pass_cmp,0,,,,,
player,201601030clt,clt,DorsPh00,pass_att,0,,,,,
player,201601030clt,clt,DorsPh00,pass_yds,0,,,,,
player,201601030clt,clt,DorsPh00,pass_td,0,,,,,
player,201601030clt,clt,DorsPh00,pass_int,0,,,,,
player,201601030clt,clt,DorsPh00,pass_sacked,0,,,,,
player,201601030clt,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,DorsPh00,pass_long,0,,,,,
player,201601030clt,clt,DorsPh00,pass_rating,,,,,,
player,201601030clt,clt,DorsPh00,rush_att,1,,,,,
player,201601030clt,clt,DorsPh00,rush_yds,11,,,,,
player,201601030clt,clt,DorsPh00,rush_td,0,,,,,
player,201601030clt,clt,DorsPh00,rush_long,11,,,,,
player,201601030clt,clt,DorsPh00,targets,9,,,,,
player,201601030clt,clt,DorsPh00,rec,4,,,,,
player,201601030clt,clt,DorsPh00,rec_yds,28,,,,,
player,201601030clt,clt,DorsPh00,rec_td,0,,,,,
player,201601030clt,clt,DorsPh00,rec_long,11,,,,,
player,201601030clt,clt,DorsPh00,fumbles,0,,,,,
player,201601030clt,clt,DorsPh00,fumbles_lost,0,,,,,
player,201601030clt,clt,HerrDa00,pass_cmp,0,,,,,
player,201601030clt,clt,HerrDa00,pass_att,0,,,,,
player,201601030clt,clt,HerrDa00,pass_yds,0,,,,,
player,201601030clt,clt,HerrDa00,pass_td,0,,,,,
player,201601030clt,clt,HerrDa00,pass_int,0,,,,,
player,201601030clt,clt,HerrDa00,pass_sacked,0,,,,,
player,201601030clt,clt,HerrDa00,pass_sacked_yds,0,,,,,
player,201601030clt,clt,HerrDa00,pass_long,0,,,,,
player,201601030clt,clt,HerrDa00,pass_rating,,,,,,
player,201601030clt,clt,HerrDa00,rush_att,2,,,,,
player,201601030clt,clt,HerrDa00,rush_yds,4,,,,,
player,201601030clt,clt,HerrDa00,rush_td,0,,,,,
player,201601030clt,clt,HerrDa00,rush_long,3,,,,,
player,201601030clt,clt,HerrDa00,targets,1,,,,,
player,201601030clt,clt,HerrDa00,rec,0,,,,,
player,201601030clt,clt,HerrDa00,rec_yds,0,,,,,
player,201601030clt,clt,HerrDa00,rec_td,0,,,,,
