game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
player,201511290clt,clt,HiltT.00,rush_td,0,,,,,
player,201511290clt,clt,HiltT.00,rush_long,0,,,,,
player,201511290clt,clt,HiltT.00,targets,12,,,,,
player,201511290clt,clt,HiltT.00,rec,6,,,,,
player,201511290clt,clt,HiltT.00,rec_yds,95,,,,,
player,201511290clt,clt,HiltT.00,rec_td,2,,,,,
player,201511290clt,clt,HiltT.00,rec_long,31,,,,,
player,201511290clt,clt,HiltT.00,fumbles,1,,,,,
player,201511290clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201511290clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201511290clt,clt,FleeCo00,pass_att,0,,,,,
player,201511290clt,clt,FleeCo00,pass_yds,0,,,,,
player,201511290clt,clt,FleeCo00,pass_td,0,,,,,
player,201511290clt,clt,FleeCo00,pass_int,0,,,,,
player,201511290clt,clt,FleeCo00,pass_sacked,0,,,,,
player,201511290clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,FleeCo00,pass_long,0,,,,,
player,201511290clt,clt,FleeCo00,pass_rating,,,,,,
player,201511290clt,clt,FleeCo00,rush_att,0,,,,,
player,201511290clt,clt,FleeCo00,rush_yds,0,,,,,
player,201511290clt,clt,FleeCo00,rush_td,0,,,,,
player,201511290clt,clt,FleeCo00,rush_long,0,,,,,
player,201511290clt,clt,FleeCo00,targets,3,,,,,
player,201511290clt,clt,FleeCo00,rec,3,,,,,
player,201511290clt,clt,FleeCo00,rec_yds,27,,,,,
player,201511290clt,clt,FleeCo00,rec_td,0,,,,,
player,201511290clt,clt,FleeCo00,rec_long,17,,,,,
player,201511290clt,clt,FleeCo00,fumbles,0,,,,,
player,201511290clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201511290clt,clt,JohnAn02,pass_cmp,0,,,,,
player,201511290clt,clt,JohnAn02,pass_att,0,,,,,
player,201511290clt,clt,JohnAn02,pass_yds,0,,,,,
player,201511290clt,clt,JohnAn02,pass_td,0,,,,,
player,201511290clt,clt,JohnAn02,pass_int,0,,,,,
player,201511290clt,clt,JohnAn02,pass_sacked,0,,,,,
player,201511290clt,clt,JohnAn02,pass_sacked_yds,0,,,,,
player,201511290clt,clt,JohnAn02,pass_long,0,,,,,
player,201511290clt,clt,JohnAn02,pass_rating,,,,,,
player,201511290clt,clt,JohnAn02,rush_att,0,,,,,
player,201511290clt,clt,JohnAn02,rush_yds,0,,,,,
player,201511290clt,clt,JohnAn02,rush_td,0,,,,,
player,201511290clt,clt,JohnAn02,rush_long,0,,,,,
player,201511290clt,clt,JohnAn02,targets,3,,,,,
player,201511290clt,clt,JohnAn02,rec,1,,,,,
player,201511290clt,clt,JohnAn02,rec_yds,22,,,,,
player,201511290clt,clt,JohnAn02,rec_td,0,,,,,
player,201511290clt,clt,JohnAn02,rec_long,22,,,,,
player,201511290clt,clt,JohnAn02,fumbles,0,,,,,
player,201511290clt,clt,JohnAn02,fumbles_lost,0,,,,,
player,201511290clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201511290clt,clt,AlleDw00,pass_att,0,,,,,
player,201511290clt,clt,AlleDw00,pass_yds,0,,,,,
player,201511290clt,clt,AlleDw00,pass_td,0,,,,,
player,201511290clt,clt,AlleDw00,pass_int,0,,,,,
player,201511290clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201511290clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,AlleDw00,pass_long,0,,,,,
player,201511290clt,clt,AlleDw00,pass_rating,,,,,,
player,201511290clt,clt,AlleDw00,rush_att,0,,,,,
player,201511290clt,clt,AlleDw00,rush_yds,0,,,,,
player,201511290clt,clt,AlleDw00,rush_td,0,,,,,
player,201511290clt,clt,AlleDw00,rush_long,0,,,,,
player,201511290clt,clt,AlleDw00,targets,4,,,,,
player,201511290clt,clt,AlleDw00,rec,2,,,,,
player,201511290clt,clt,AlleDw00,rec_yds,19,,,,,
player,201511290clt,clt,AlleDw00,rec_td,0,,,,,
player,201511290clt,clt,AlleDw00,rec_long,11,,,,,
player,201511290clt,clt,AlleDw00,fumbles,0,,,,,
player,201511290clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201511290clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201511290clt,clt,DoylJa00,pass_att,0,,,,,
player,201511290clt,clt,DoylJa00,pass_yds,0,,,,,
player,201511290clt,clt,DoylJa00,pass_td,0,,,,,
player,201511290clt,clt,DoylJa00,pass_int,0,,,,,
player,201511290clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201511290clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,DoylJa00,pass_long,0,,,,,
player,201511290clt,clt,DoylJa00,pass_rating,,,,,,
player,201511290clt,clt,DoylJa00,rush_att,0,,,,,
player,201511290clt,clt,DoylJa00,rush_yds,0,,,,,
player,201511290clt,clt,DoylJa00,rush_td,0,,,,,
player,201511290clt,clt,DoylJa00,rush_long,0,,,,,
player,201511290clt,clt,DoylJa00,targets,1,,,,,
player,201511290clt,clt,DoylJa00,rec,1,,,,,
player,201511290clt,clt,DoylJa00,rec_yds,5,,,,,
player,201511290clt,clt,DoylJa00,rec_td,0,,,,,
player,201511290clt,clt,DoylJa00,rec_long,5,,,,,
player,201511290clt,clt,DoylJa00,fumbles,0,,,,,
player,201511290clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201511290clt,tam,JoneHo01,def_int,0,,,,,
player,201511290clt,tam,JoneHo01,def_int_yds,0,,,,,
player,201511290clt,tam,JoneHo01,def_int_td,0,,,,,
player,201511290clt,tam,JoneHo01,def_int_long,0,,,,,
player,201511290clt,tam,JoneHo01,pass_defended,0,,,,,
player,201511290clt,tam,JoneHo01,sacks,1.0,,,,,
player,201511290clt,tam,JoneHo01,tackles_combined,3,,,,,
player,201511290clt,tam,JoneHo01,tackles_solo,3,,,,,
player,201511290clt,tam,JoneHo01,tackles_assists,0,,,,,
player,201511290clt,tam,JoneHo01,tackles_loss,1,,,,,
player,201511290clt,tam,JoneHo01,qb_hits,3,,,,,
player,201511290clt,tam,JoneHo01,fumbles_rec,0,,,,,
player,201511290clt,tam,JoneHo01,fumbles_rec_yds,0,,,,,
player,201511290clt,tam,JoneHo01,fumbles_rec_td,0,,,,,
player,201511290clt,tam,JoneHo01,fumbles_forced,0,,,,,
player,201511290clt,tam,SpenAk00,def_int,0,,,,,
player,201511290clt,tam,SpenAk00,def_int_yds,0,,,,,
player,201511290clt,tam,SpenAk00,def_int_td,0,,,,,
player,201511290clt,tam,SpenAk00,def_int_long,0,,,,,
player,201511290clt,tam,SpenAk00,pass_defended,0,,,,,
player,201511290clt,tam,SpenAk00,sacks,1.0,,,,,
player,201511290clt,tam,SpenAk00,tackles_combined,3,,,,,
player,201511290clt,tam,SpenAk00,tackles_solo,3,,,,,
player,201511290clt,tam,SpenAk00,tackles_assists,0,,,,,
