game,2015,5,20151011,201510110atl,was,"Washington Redskins",19,atl,"Atlanta Falcons",25
player,201510110atl,was,KerrRy00,tackles_solo,3,,,,,
player,201510110atl,was,KerrRy00,tackles_assists,0,,,,,
player,201510110atl,was,KerrRy00,tackles_loss,2,,,,,
player,201510110atl,was,KerrRy00,qb_hits,2,,,,,
player,201510110atl,was,KerrRy00,fumbles_rec,0,,,,,
player,201510110atl,was,KerrRy00,fumbles_rec_yds,0,,,,,
player,201510110atl,was,KerrRy00,fumbles_rec_td,0,,,,,
player,201510110atl,was,KerrRy00,fumbles_forced,0,,,,,
player,201510110atl,was,BakeCh99,def_int,0,,,,,
player,201510110atl,was,BakeCh99,def_int_yds,0,,,,,
player,201510110atl,was,BakeCh99,def_int_td,0,,,,,
player,201510110atl,was,BakeCh99,def_int_long,0,,,,,
player,201510110atl,was,BakeCh99,pass_defended,0,,,,,
player,201510110atl,was,BakeCh99,sacks,1.0,,,,,
player,201510110atl,was,BakeCh99,tackles_combined,2,,,,,
player,201510110atl,was,BakeCh99,tackles_solo,2,,,,,
player,201510110atl,was,BakeCh99,tackles_assists,0,,,,,
player,201510110atl,was,BakeCh99,tackles_loss,0,,,,,
player,201510110atl,was,BakeCh99,qb_hits,1,,,,,
player,201510110atl,was,BakeCh99,fumbles_rec,0,,,,,
player,201510110atl,was,BakeCh99,fumbles_rec_yds,0,,,,,
player,201510110atl,was,BakeCh99,fumbles_rec_td,0,,,,,
player,201510110atl,was,BakeCh99,fumbles_forced,2,,,,,
player,201510110atl,was,GoldDa99,def_int,0,,,,,
player,201510110atl,was,GoldDa99,def_int_yds,0,,,,,
player,201510110atl,was,GoldDa99,def_int_td,0,,,,,
player,201510110atl,was,GoldDa99,def_int_long,0,,,,,
player,201510110atl,was,GoldDa99,pass_defended,0,,,,,
player,201510110atl,was,GoldDa99,sacks,0.0,,,,,
player,201510110atl,was,GoldDa99,tackles_combined,9,,,,,
player,201510110atl,was,GoldDa99,tackles_solo,7,,,,,
player,201510110atl,was,GoldDa99,tackles_assists,2,,,,,
player,201510110atl,was,GoldDa99,tackles_loss,0,,,,,
player,201510110atl,was,GoldDa99,qb_hits,0,,,,,
player,201510110atl,was,GoldDa99,fumbles_rec,0,,,,,
player,201510110atl,was,GoldDa99,fumbles_rec_yds,0,,,,,
player,201510110atl,was,GoldDa99,fumbles_rec_td,0,,,,,
player,201510110atl,was,GoldDa99,fumbles_forced,0,,,,,
player,201510110atl,was,BlacWi20,def_int,0,,,,,
player,201510110atl,was,BlacWi20,def_int_yds,0,,,,,
player,201510110atl,was,BlacWi20,def_int_td,0,,,,,
player,201510110atl,was,BlacWi20,def_int_long,0,,,,,
player,201510110atl,was,BlacWi20,pass_defended,1,,,,,
player,201510110atl,was,BlacWi20,sacks,0.0,,,,,
player,201510110atl,was,BlacWi20,tackles_combined,7,,,,,
player,201510110atl,was,BlacWi20,tackles_solo,6,,,,,
player,201510110atl,was,BlacWi20,tackles_assists,1,,,,,
player,201510110atl,was,BlacWi20,tackles_loss,0,,,,,
player,201510110atl,was,BlacWi20,qb_hits,0,,,,,
player,201510110atl,was,BlacWi20,fumbles_rec,0,,,,,
player,201510110atl,was,BlacWi20,fumbles_rec_yds,0,,,,,
player,201510110atl,was,BlacWi20,fumbles_rec_td,0,,,,,
player,201510110atl,was,BlacWi20,fumbles_forced,1,,,,,
player,201510110atl,was,RilePe00,def_int,0,,,,,
player,201510110atl,was,RilePe00,def_int_yds,0,,,,,
player,201510110atl,was,RilePe00,def_int_td,0,,,,,
player,201510110atl,was,RilePe00,def_int_long,0,,,,,
player,201510110atl,was,RilePe00,pass_defended,0,,,,,
