game,2015,4,20151004,201510040crd,ram,"St. Louis Rams",24,crd,"Arizona Cardinals",22
player,201510040crd,crd,GresJe00,pass_int,0,,,,,
player,201510040crd,crd,GresJe00,pass_sacked,0,,,,,
player,201510040crd,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201510040crd,crd,GresJe00,pass_long,0,,,,,
player,201510040crd,crd,GresJe00,pass_rating,,,,,,
player,201510040crd,crd,GresJe00,rush_att,0,,,,,
player,201510040crd,crd,GresJe00,rush_yds,0,,,,,
player,201510040crd,crd,GresJe00,rush_td,0,,,,,
player,201510040crd,crd,GresJe00,rush_long,0,,,,,
player,201510040crd,crd,GresJe00,targets,3,,,,,
player,201510040crd,crd,GresJe00,rec,1,,,,,
player,201510040crd,crd,GresJe00,rec_yds,8,,,,,
player,201510040crd,crd,GresJe00,rec_td,0,,,,,
player,201510040crd,crd,GresJe00,rec_long,8,,,,,
player,201510040crd,crd,GresJe00,fumbles,0,,,,,
player,201510040crd,crd,GresJe00,fumbles_lost,0,,,,,
player,201510040crd,ram,JenkJa03,def_int,1,,,,,
player,201510040crd,ram,JenkJa03,def_int_yds,0,,,,,
player,201510040crd,ram,JenkJa03,def_int_td,0,,,,,
player,201510040crd,ram,JenkJa03,def_int_long,0,,,,,
player,201510040crd,ram,JenkJa03,pass_defended,2,,,,,
player,201510040crd,ram,JenkJa03,sacks,0.0,,,,,
player,201510040crd,ram,JenkJa03,tackles_combined,5,,,,,
player,201510040crd,ram,JenkJa03,tackles_solo,5,,,,,
player,201510040crd,ram,JenkJa03,tackles_assists,0,,,,,
player,201510040crd,ram,JenkJa03,tackles_loss,0,,,,,
player,201510040crd,ram,JenkJa03,qb_hits,0,,,,,
player,201510040crd,ram,JenkJa03,fumbles_rec,0,,,,,
player,201510040crd,ram,JenkJa03,fumbles_rec_yds,0,,,,,
player,201510040crd,ram,JenkJa03,fumbles_rec_td,0,,,,,
player,201510040crd,ram,JenkJa03,fumbles_forced,0,,,,,
player,201510040crd,ram,McDoTJ00,def_int,0,,,,,
player,201510040crd,ram,McDoTJ00,def_int_yds,0,,,,,
player,201510040crd,ram,McDoTJ00,def_int_td,0,,,,,
player,201510040crd,ram,McDoTJ00,def_int_long,0,,,,,
player,201510040crd,ram,McDoTJ00,pass_defended,0,,,,,
player,201510040crd,ram,McDoTJ00,sacks,1.0,,,,,
player,201510040crd,ram,McDoTJ00,tackles_combined,6,,,,,
player,201510040crd,ram,McDoTJ00,tackles_solo,5,,,,,
player,201510040crd,ram,McDoTJ00,tackles_assists,1,,,,,
player,201510040crd,ram,McDoTJ00,tackles_loss,2,,,,,
player,201510040crd,ram,McDoTJ00,qb_hits,2,,,,,
player,201510040crd,ram,McDoTJ00,fumbles_rec,0,,,,,
player,201510040crd,ram,McDoTJ00,fumbles_rec_yds,0,,,,,
player,201510040crd,ram,McDoTJ00,fumbles_rec_td,0,,,,,
player,201510040crd,ram,McDoTJ00,fumbles_forced,0,,,,,
player,201510040crd,ram,JoynLa00,def_int,0,,,,,
player,201510040crd,ram,JoynLa00,def_int_yds,0,,,,,
player,201510040crd,ram,JoynLa00,def_int_td,0,,,,,
player,201510040crd,ram,JoynLa00,def_int_long,0,,,,,
player,201510040crd,ram,JoynLa00,pass_defended,0,,,,,
player,201510040crd,ram,JoynLa00,sacks,1.0,,,,,
player,201510040crd,ram,JoynLa00,tackles_combined,5,,,,,
player,201510040crd,ram,JoynLa00,tackles_solo,4,,,,,
player,201510040crd,ram,JoynLa00,tackles_assists,1,,,,,
player,201510040crd,ram,JoynLa00,tackles_loss,1,,,,,
player,201510040crd,ram,JoynLa00,qb_hits,1,,,,,
player,201510040crd,ram,JoynLa00,fumbles_rec,0,,,,,
player,201510040crd,ram,JoynLa00,fumbles_rec_yds,0,,,,,
player,201510040crd,ram,JoynLa00,fumbles_rec_td,0,,,,,
player,201510040crd,ram,JoynLa00,fumbles_forced,0,,,,,
player,201510040crd,ram,LaurJa99,def_int,0,,,,,
player,201510040crd,ram,LaurJa99,def_int_yds,0,,,,,
player,201510040crd,ram,LaurJa99,def_int_td,0,,,,,
