game,2015,11,20151122,201511220rav,ram,"St. Louis Rams",13,rav,"Baltimore Ravens",16
player,201511220rav,ram,LaurJa99,def_int_yds,0,,,,,
player,201511220rav,ram,LaurJa99,def_int_td,0,,,,,
player,201511220rav,ram,LaurJa99,def_int_long,0,,,,,
player,201511220rav,ram,LaurJa99,pass_defended,0,,,,,
player,201511220rav,ram,LaurJa99,sacks,0.0,,,,,
player,201511220rav,ram,LaurJa99,tackles_combined,8,,,,,
player,201511220rav,ram,LaurJa99,tackles_solo,2,,,,,
player,201511220rav,ram,LaurJa99,tackles_assists,6,,,,,
player,201511220rav,ram,LaurJa99,tackles_loss,0,,,,,
player,201511220rav,ram,LaurJa99,qb_hits,0,,,,,
player,201511220rav,ram,LaurJa99,fumbles_rec,0,,,,,
player,201511220rav,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201511220rav,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201511220rav,ram,LaurJa99,fumbles_forced,0,,,,,
player,201511220rav,ram,McDoTJ00,def_int,0,,,,,
player,201511220rav,ram,McDoTJ00,def_int_yds,0,,,,,
player,201511220rav,ram,McDoTJ00,def_int_td,0,,,,,
player,201511220rav,ram,McDoTJ00,def_int_long,0,,,,,
player,201511220rav,ram,McDoTJ00,pass_defended,0,,,,,
player,201511220rav,ram,McDoTJ00,sacks,0.0,,,,,
player,201511220rav,ram,McDoTJ00,tackles_combined,7,,,,,
player,201511220rav,ram,McDoTJ00,tackles_solo,2,,,,,
player,201511220rav,ram,McDoTJ00,tackles_assists,5,,,,,
player,201511220rav,ram,McDoTJ00,tackles_loss,0,,,,,
player,201511220rav,ram,McDoTJ00,qb_hits,0,,,,,
