game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,crd,GresJe00,pass_att,0,,,,,
player,201711190htx,crd,GresJe00,pass_yds,0,,,,,
player,201711190htx,crd,GresJe00,pass_td,0,,,,,
player,201711190htx,crd,GresJe00,pass_int,0,,,,,
player,201711190htx,crd,GresJe00,pass_sacked,0,,,,,
player,201711190htx,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201711190htx,crd,GresJe00,pass_long,0,,,,,
player,201711190htx,crd,GresJe00,pass_rating,,,,,,
player,201711190htx,crd,GresJe00,rush_att,0,,,,,
player,201711190htx,crd,GresJe00,rush_yds,0,,,,,
player,201711190htx,crd,GresJe00,rush_td,0,,,,,
player,201711190htx,crd,GresJe00,rush_long,0,,,,,
player,201711190htx,crd,GresJe00,targets,1,,,,,
player,201711190htx,crd,GresJe00,rec,1,,,,,
player,201711190htx,crd,GresJe00,rec_yds,10,,,,,
player,201711190htx,crd,GresJe00,rec_td,0,,,,,
player,201711190htx,crd,GresJe00,rec_long,10,,,,,
player,201711190htx,crd,GresJe00,fumbles,0,,,,,
player,201711190htx,crd,GresJe00,fumbles_lost,0,,,,,
player,201711190htx,crd,GoldBr00,pass_cmp,0,,,,,
player,201711190htx,crd,GoldBr00,pass_att,0,,,,,
player,201711190htx,crd,GoldBr00,pass_yds,0,,,,,
player,201711190htx,crd,GoldBr00,pass_td,0,,,,,
player,201711190htx,crd,GoldBr00,pass_int,0,,,,,
player,201711190htx,crd,GoldBr00,pass_sacked,0,,,,,
player,201711190htx,crd,GoldBr00,pass_sacked_yds,0,,,,,
player,201711190htx,crd,GoldBr00,pass_long,0,,,,,
player,201711190htx,crd,GoldBr00,pass_rating,,,,,,
player,201711190htx,crd,GoldBr00,rush_att,0,,,,,
player,201711190htx,crd,GoldBr00,rush_yds,0,,,,,
player,201711190htx,crd,GoldBr00,rush_td,0,,,,,
player,201711190htx,crd,GoldBr00,rush_long,0,,,,,
player,201711190htx,crd,GoldBr00,targets,1,,,,,
player,201711190htx,crd,GoldBr00,rec,0,,,,,
player,201711190htx,crd,GoldBr00,rec_yds,0,,,,,
player,201711190htx,crd,GoldBr00,rec_td,0,,,,,
player,201711190htx,crd,GoldBr00,rec_long,0,,,,,
player,201711190htx,crd,GoldBr00,fumbles,0,,,,,
player,201711190htx,crd,GoldBr00,fumbles_lost,0,,,,,
player,201711190htx,htx,SavaTo00,pass_cmp,22,,,,,
player,201711190htx,htx,SavaTo00,pass_att,32,,,,,
player,201711190htx,htx,SavaTo00,pass_yds,230,,,,,
player,201711190htx,htx,SavaTo00,pass_td,2,,,,,
player,201711190htx,htx,SavaTo00,pass_int,1,,,,,
player,201711190htx,htx,SavaTo00,pass_sacked,1,,,,,
player,201711190htx,htx,SavaTo00,pass_sacked_yds,7,,,,,
player,201711190htx,htx,SavaTo00,pass_long,34,,,,,
player,201711190htx,htx,SavaTo00,pass_rating,97.1,,,,,
player,201711190htx,htx,SavaTo00,rush_att,1,,,,,
player,201711190htx,htx,SavaTo00,rush_yds,3,,,,,
