game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
player,201711120det,det,AbduAm00,pass_sacked,0,,,,,
player,201711120det,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201711120det,det,AbduAm00,pass_long,0,,,,,
player,201711120det,det,AbduAm00,pass_rating,,,,,,
player,201711120det,det,AbduAm00,rush_att,11,,,,,
player,201711120det,det,AbduAm00,rush_yds,52,,,,,
player,201711120det,det,AbduAm00,rush_td,1,,,,,
player,201711120det,det,AbduAm00,rush_long,20,,,,,
player,201711120det,det,AbduAm00,targets,2,,,,,
player,201711120det,det,AbduAm00,rec,1,,,,,
player,201711120det,det,AbduAm00,rec_yds,3,,,,,
player,201711120det,det,AbduAm00,rec_td,0,,,,,
player,201711120det,det,AbduAm00,rec_long,3,,,,,
player,201711120det,det,AbduAm00,fumbles,0,,,,,
player,201711120det,det,AbduAm00,fumbles_lost,0,,,,,
player,201711120det,det,RiddTh00,pass_cmp,0,,,,,
player,201711120det,det,RiddTh00,pass_att,0,,,,,
player,201711120det,det,RiddTh00,pass_yds,0,,,,,
player,201711120det,det,RiddTh00,pass_td,0,,,,,
player,201711120det,det,RiddTh00,pass_int,0,,,,,
player,201711120det,det,RiddTh00,pass_sacked,0,,,,,
player,201711120det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201711120det,det,RiddTh00,pass_long,0,,,,,
player,201711120det,det,RiddTh00,pass_rating,,,,,,
player,201711120det,det,RiddTh00,rush_att,4,,,,,
player,201711120det,det,RiddTh00,rush_yds,35,,,,,
player,201711120det,det,RiddTh00,rush_td,0,,,,,
player,201711120det,det,RiddTh00,rush_long,21,,,,,
player,201711120det,det,RiddTh00,targets,3,,,,,
player,201711120det,det,RiddTh00,rec,3,,,,,
player,201711120det,det,RiddTh00,rec_yds,12,,,,,
player,201711120det,det,RiddTh00,rec_td,1,,,,,
player,201711120det,det,RiddTh00,rec_long,8,,,,,
player,201711120det,det,RiddTh00,fumbles,0,,,,,
player,201711120det,det,RiddTh00,fumbles_lost,0,,,,,
player,201711120det,det,TateGo00,pass_cmp,0,,,,,
player,201711120det,det,TateGo00,pass_att,0,,,,,
player,201711120det,det,TateGo00,pass_yds,0,,,,,
player,201711120det,det,TateGo00,pass_td,0,,,,,
player,201711120det,det,TateGo00,pass_int,0,,,,,
player,201711120det,det,TateGo00,pass_sacked,0,,,,,
player,201711120det,det,TateGo00,pass_sacked_yds,0,,,,,
player,201711120det,det,TateGo00,pass_long,0,,,,,
player,201711120det,det,TateGo00,pass_rating,,,,,,
player,201711120det,det,TateGo00,rush_att,0,,,,,
player,201711120det,det,TateGo00,rush_yds,0,,,,,
player,201711120det,det,TateGo00,rush_td,0,,,,,
player,201711120det,det,TateGo00,rush_long,0,,,,,
player,201711120det,det,TateGo00,targets,7,,,,,
player,201711120det,det,TateGo00,rec,6,,,,,
player,201711120det,det,TateGo00,rec_yds,97,,,,,
player,201711120det,det,TateGo00,rec_td,1,,,,,
player,201711120det,det,TateGo00,rec_long,40,,,,,
player,201711120det,det,TateGo00,fumbles,0,,,,,
player,201711120det,det,TateGo00,fumbles_lost,0,,,,,
player,201711120det,det,GollKe00,pass_cmp,0,,,,,
