game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,sea,GrahJi00,rush_att,0,,,,,
player,201710290sea,sea,GrahJi00,rush_yds,0,,,,,
player,201710290sea,sea,GrahJi00,rush_td,0,,,,,
player,201710290sea,sea,GrahJi00,rush_long,0,,,,,
player,201710290sea,sea,GrahJi00,targets,5,,,,,
player,201710290sea,sea,GrahJi00,rec,4,,,,,
player,201710290sea,sea,GrahJi00,rec_yds,39,,,,,
player,201710290sea,sea,GrahJi00,rec_td,2,,,,,
player,201710290sea,sea,GrahJi00,rec_long,18,,,,,
player,201710290sea,sea,GrahJi00,fumbles,0,,,,,
player,201710290sea,sea,GrahJi00,fumbles_lost,0,,,,,
player,201710290sea,sea,VannNi00,pass_cmp,0,,,,,
player,201710290sea,sea,VannNi00,pass_att,0,,,,,
player,201710290sea,sea,VannNi00,pass_yds,0,,,,,
player,201710290sea,sea,VannNi00,pass_td,0,,,,,
player,201710290sea,sea,VannNi00,pass_int,0,,,,,
player,201710290sea,sea,VannNi00,pass_sacked,0,,,,,
player,201710290sea,sea,VannNi00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,VannNi00,pass_long,0,,,,,
player,201710290sea,sea,VannNi00,pass_rating,,,,,,
player,201710290sea,sea,VannNi00,rush_att,0,,,,,
player,201710290sea,sea,VannNi00,rush_yds,0,,,,,
player,201710290sea,sea,VannNi00,rush_td,0,,,,,
player,201710290sea,sea,VannNi00,rush_long,0,,,,,
player,201710290sea,sea,VannNi00,targets,1,,,,,
player,201710290sea,sea,VannNi00,rec,1,,,,,
player,201710290sea,sea,VannNi00,rec_yds,8,,,,,
player,201710290sea,sea,VannNi00,rec_td,0,,,,,
player,201710290sea,sea,VannNi00,rec_long,8,,,,,
player,201710290sea,sea,VannNi00,fumbles,0,,,,,
player,201710290sea,sea,VannNi00,fumbles_lost,0,,,,,
player,201710290sea,sea,LacyEd00,pass_cmp,0,,,,,
player,201710290sea,sea,LacyEd00,pass_att,0,,,,,
player,201710290sea,sea,LacyEd00,pass_yds,0,,,,,
player,201710290sea,sea,LacyEd00,pass_td,0,,,,,
player,201710290sea,sea,LacyEd00,pass_int,0,,,,,
player,201710290sea,sea,LacyEd00,pass_sacked,0,,,,,
player,201710290sea,sea,LacyEd00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,LacyEd00,pass_long,0,,,,,
player,201710290sea,sea,LacyEd00,pass_rating,,,,,,
player,201710290sea,sea,LacyEd00,rush_att,6,,,,,
player,201710290sea,sea,LacyEd00,rush_yds,0,,,,,
player,201710290sea,sea,LacyEd00,rush_td,0,,,,,
player,201710290sea,sea,LacyEd00,rush_long,3,,,,,
player,201710290sea,sea,LacyEd00,targets,0,,,,,
player,201710290sea,sea,LacyEd00,rec,0,,,,,
player,201710290sea,sea,LacyEd00,rec_yds,0,,,,,
player,201710290sea,sea,LacyEd00,rec_td,0,,,,,
player,201710290sea,sea,LacyEd00,rec_long,0,,,,,
player,201710290sea,sea,LacyEd00,fumbles,0,,,,,
player,201710290sea,sea,LacyEd00,fumbles_lost,0,,,,,
player,201710290sea,sea,WillLu00,pass_cmp,0,,,,,
player,201710290sea,sea,WillLu00,pass_att,0,,,,,
player,201710290sea,sea,WillLu00,pass_yds,0,,,,,
player,201710290sea,sea,WillLu00,pass_td,0,,,,,
player,201710290sea,sea,WillLu00,pass_int,0,,,,,
player,201710290sea,sea,WillLu00,pass_sacked,0,,,,,
player,201710290sea,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,WillLu00,pass_long,0,,,,,
player,201710290sea,sea,WillLu00,pass_rating,,,,,,
player,201710290sea,sea,WillLu00,rush_att,0,,,,,
player,201710290sea,sea,WillLu00,rush_yds,0,,,,,
player,201710290sea,sea,WillLu00,rush_td,0,,,,,
player,201710290sea,sea,WillLu00,rush_long,0,,,,,
player,201710290sea,sea,WillLu00,targets,1,,,,,
player,201710290sea,sea,WillLu00,rec,0,,,,,
player,201710290sea,sea,WillLu00,rec_yds,0,,,,,
player,201710290sea,sea,WillLu00,rec_td,0,,,,,
player,201710290sea,sea,WillLu00,rec_long,0,,,,,
player,201710290sea,sea,WillLu00,fumbles,0,,,,,
player,201710290sea,sea,WillLu00,fumbles_lost,0,,,,,
player,201710290sea,sea,RawlTh00,pass_cmp,0,,,,,
player,201710290sea,sea,RawlTh00,pass_att,0,,,,,
player,201710290sea,sea,RawlTh00,pass_yds,0,,,,,
player,201710290sea,sea,RawlTh00,pass_td,0,,,,,
player,201710290sea,sea,RawlTh00,pass_int,0,,,,,
player,201710290sea,sea,RawlTh00,pass_sacked,0,,,,,
player,201710290sea,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,RawlTh00,pass_long,0,,,,,
player,201710290sea,sea,RawlTh00,pass_rating,,,,,,
player,201710290sea,sea,RawlTh00,rush_att,6,,,,,
player,201710290sea,sea,RawlTh00,rush_yds,-1,,,,,
player,201710290sea,sea,RawlTh00,rush_td,0,,,,,
player,201710290sea,sea,RawlTh00,rush_long,3,,,,,
player,201710290sea,sea,RawlTh00,targets,1,,,,,
player,201710290sea,sea,RawlTh00,rec,0,,,,,
player,201710290sea,sea,RawlTh00,rec_yds,0,,,,,
player,201710290sea,sea,RawlTh00,rec_td,0,,,,,
player,201710290sea,sea,RawlTh00,rec_long,0,,,,,
player,201710290sea,sea,RawlTh00,fumbles,0,,,,,
player,201710290sea,sea,RawlTh00,fumbles_lost,0,,,,,
player,201710290sea,sea,LockTy00,pass_cmp,0,,,,,
player,201710290sea,sea,LockTy00,pass_att,0,,,,,
player,201710290sea,sea,LockTy00,pass_yds,0,,,,,
