game,2017,16,20171224,201712240was,den,"Denver Broncos",11,was,"Washington Redskins",27
player,201712240was,was,PaulNi00,fumbles,0,,,,,
player,201712240was,was,PaulNi00,fumbles_lost,0,,,,,
player,201712240was,den,ParkWi01,def_int,1,,,,,
player,201712240was,den,ParkWi01,def_int_yds,0,,,,,
player,201712240was,den,ParkWi01,def_int_td,0,,,,,
player,201712240was,den,ParkWi01,def_int_long,0,,,,,
player,201712240was,den,ParkWi01,pass_defended,1,,,,,
player,201712240was,den,ParkWi01,sacks,0.0,,,,,
player,201712240was,den,ParkWi01,tackles_combined,2,,,,,
player,201712240was,den,ParkWi01,tackles_solo,1,,,,,
player,201712240was,den,ParkWi01,tackles_assists,1,,,,,
player,201712240was,den,ParkWi01,tackles_loss,1,,,,,
player,201712240was,den,ParkWi01,qb_hits,0,,,,,
player,201712240was,den,ParkWi01,fumbles_rec,0,,,,,
player,201712240was,den,ParkWi01,fumbles_rec_yds,0,,,,,
player,201712240was,den,ParkWi01,fumbles_rec_td,0,,,,,
player,201712240was,den,ParkWi01,fumbles_forced,0,,,,,
player,201712240was,den,MarsBr01,def_int,0,,,,,
player,201712240was,den,MarsBr01,def_int_yds,0,,,,,
player,201712240was,den,MarsBr01,def_int_td,0,,,,,
player,201712240was,den,MarsBr01,def_int_long,0,,,,,
player,201712240was,den,MarsBr01,pass_defended,1,,,,,
player,201712240was,den,MarsBr01,sacks,0.0,,,,,
player,201712240was,den,MarsBr01,tackles_combined,9,,,,,
player,201712240was,den,MarsBr01,tackles_solo,6,,,,,
player,201712240was,den,MarsBr01,tackles_assists,3,,,,,
player,201712240was,den,MarsBr01,tackles_loss,0,,,,,
player,201712240was,den,MarsBr01,qb_hits,0,,,,,
player,201712240was,den,MarsBr01,fumbles_rec,0,,,,,
player,201712240was,den,MarsBr01,fumbles_rec_yds,0,,,,,
player,201712240was,den,MarsBr01,fumbles_rec_td,0,,,,,
player,201712240was,den,MarsBr01,fumbles_forced,0,,,,,
player,201712240was,den,DaviTo01,def_int,0,,,,,
player,201712240was,den,DaviTo01,def_int_yds,0,,,,,
player,201712240was,den,DaviTo01,def_int_td,0,,,,,
player,201712240was,den,DaviTo01,def_int_long,0,,,,,
player,201712240was,den,DaviTo01,pass_defended,0,,,,,
player,201712240was,den,DaviTo01,sacks,0.0,,,,,
player,201712240was,den,DaviTo01,tackles_combined,8,,,,,
player,201712240was,den,DaviTo01,tackles_solo,6,,,,,
player,201712240was,den,DaviTo01,tackles_assists,2,,,,,
