game,2017,9,20171105,201711050phi,den,"Denver Broncos",23,phi,"Philadelphia Eagles",51
player,201711050phi,phi,AghoNe00,rush_att,0,,,,,
player,201711050phi,phi,AghoNe00,rush_yds,0,,,,,
player,201711050phi,phi,AghoNe00,rush_td,0,,,,,
player,201711050phi,phi,AghoNe00,rush_long,0,,,,,
player,201711050phi,phi,AghoNe00,targets,4,,,,,
player,201711050phi,phi,AghoNe00,rec,2,,,,,
player,201711050phi,phi,AghoNe00,rec_yds,36,,,,,
player,201711050phi,phi,AghoNe00,rec_td,0,,,,,
player,201711050phi,phi,AghoNe00,rec_long,35,,,,,
player,201711050phi,phi,AghoNe00,fumbles,0,,,,,
player,201711050phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201711050phi,phi,SmitTo02,pass_cmp,0,,,,,
player,201711050phi,phi,SmitTo02,pass_att,0,,,,,
player,201711050phi,phi,SmitTo02,pass_yds,0,,,,,
player,201711050phi,phi,SmitTo02,pass_td,0,,,,,
player,201711050phi,phi,SmitTo02,pass_int,0,,,,,
player,201711050phi,phi,SmitTo02,pass_sacked,0,,,,,
player,201711050phi,phi,SmitTo02,pass_sacked_yds,0,,,,,
player,201711050phi,phi,SmitTo02,pass_long,0,,,,,
player,201711050phi,phi,SmitTo02,pass_rating,,,,,,
player,201711050phi,phi,SmitTo02,rush_att,0,,,,,
player,201711050phi,phi,SmitTo02,rush_yds,0,,,,,
player,201711050phi,phi,SmitTo02,rush_td,0,,,,,
player,201711050phi,phi,SmitTo02,rush_long,0,,,,,
player,201711050phi,phi,SmitTo02,targets,2,,,,,
player,201711050phi,phi,SmitTo02,rec,1,,,,,
player,201711050phi,phi,SmitTo02,rec_yds,11,,,,,
