game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,det,AbduAm00,pass_cmp,0,,,,,
player,201709100det,det,AbduAm00,pass_att,0,,,,,
player,201709100det,det,AbduAm00,pass_yds,0,,,,,
player,201709100det,det,AbduAm00,pass_td,0,,,,,
player,201709100det,det,AbduAm00,pass_int,0,,,,,
player,201709100det,det,AbduAm00,pass_sacked,0,,,,,
player,201709100det,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201709100det,det,AbduAm00,pass_long,0,,,,,
player,201709100det,det,AbduAm00,pass_rating,,,,,,
player,201709100det,det,AbduAm00,rush_att,15,,,,,
player,201709100det,det,AbduAm00,rush_yds,30,,,,,
player,201709100det,det,AbduAm00,rush_td,0,,,,,
player,201709100det,det,AbduAm00,rush_long,7,,,,,
player,201709100det,det,AbduAm00,targets,4,,,,,
player,201709100det,det,AbduAm00,rec,3,,,,,
player,201709100det,det,AbduAm00,rec_yds,11,,,,,
player,201709100det,det,AbduAm00,rec_td,0,,,,,
player,201709100det,det,AbduAm00,rec_long,6,,,,,
player,201709100det,det,AbduAm00,fumbles,0,,,,,
player,201709100det,det,AbduAm00,fumbles_lost,0,,,,,
player,201709100det,det,WashDw00,pass_cmp,0,,,,,
player,201709100det,det,WashDw00,pass_att,0,,,,,
player,201709100det,det,WashDw00,pass_yds,0,,,,,
player,201709100det,det,WashDw00,pass_td,0,,,,,
player,201709100det,det,WashDw00,pass_int,0,,,,,
player,201709100det,det,WashDw00,pass_sacked,0,,,,,
player,201709100det,det,WashDw00,pass_sacked_yds,0,,,,,
player,201709100det,det,WashDw00,pass_long,0,,,,,
player,201709100det,det,WashDw00,pass_rating,,,,,,
player,201709100det,det,WashDw00,rush_att,6,,,,,
player,201709100det,det,WashDw00,rush_yds,22,,,,,
player,201709100det,det,WashDw00,rush_td,0,,,,,
player,201709100det,det,WashDw00,rush_long,6,,,,,
player,201709100det,det,WashDw00,targets,0,,,,,
player,201709100det,det,WashDw00,rec,0,,,,,
