game,2017,1,20170911,201709110den,sdg,"Los Angeles Chargers",21,den,"Denver Broncos",24
player,201709110den,den,WolfDe00,def_int_yds,0,,,,,
player,201709110den,den,WolfDe00,def_int_td,0,,,,,
player,201709110den,den,WolfDe00,def_int_long,0,,,,,
player,201709110den,den,WolfDe00,pass_defended,0,,,,,
player,201709110den,den,WolfDe00,sacks,0.0,,,,,
player,201709110den,den,WolfDe00,tackles_combined,2,,,,,
player,201709110den,den,WolfDe00,tackles_solo,1,,,,,
player,201709110den,den,WolfDe00,tackles_assists,1,,,,,
player,201709110den,den,WolfDe00,tackles_loss,0,,,,,
player,201709110den,den,WolfDe00,qb_hits,1,,,,,
player,201709110den,den,WolfDe00,fumbles_rec,0,,,,,
player,201709110den,den,WolfDe00,fumbles_rec_yds,0,,,,,
player,201709110den,den,WolfDe00,fumbles_rec_td,0,,,,,
player,201709110den,den,WolfDe00,fumbles_forced,0,,,,,
player,201709110den,den,HarrCh01,def_int,0,,,,,
player,201709110den,den,HarrCh01,def_int_yds,0,,,,,
player,201709110den,den,HarrCh01,def_int_td,0,,,,,
player,201709110den,den,HarrCh01,def_int_long,0,,,,,
player,201709110den,den,HarrCh01,pass_defended,1,,,,,
player,201709110den,den,HarrCh01,sacks,0.0,,,,,
player,201709110den,den,HarrCh01,tackles_combined,1,,,,,
player,201709110den,den,HarrCh01,tackles_solo,1,,,,,
player,201709110den,den,HarrCh01,tackles_assists,0,,,,,
player,201709110den,den,HarrCh01,tackles_loss,1,,,,,
player,201709110den,den,HarrCh01,qb_hits,0,,,,,
player,201709110den,den,HarrCh01,fumbles_rec,0,,,,,
player,201709110den,den,HarrCh01,fumbles_rec_yds,0,,,,,
player,201709110den,den,HarrCh01,fumbles_rec_td,0,,,,,
player,201709110den,den,HarrCh01,fumbles_forced,0,,,,,
player,201709110den,den,JarrTy00,def_int,0,,,,,
player,201709110den,den,JarrTy00,def_int_yds,0,,,,,
player,201709110den,den,JarrTy00,def_int_td,0,,,,,
player,201709110den,den,JarrTy00,def_int_long,0,,,,,
player,201709110den,den,JarrTy00,pass_defended,0,,,,,
player,201709110den,den,JarrTy00,sacks,0.0,,,,,
player,201709110den,den,JarrTy00,tackles_combined,1,,,,,
player,201709110den,den,JarrTy00,tackles_solo,0,,,,,
player,201709110den,den,JarrTy00,tackles_assists,1,,,,,
player,201709110den,den,JarrTy00,tackles_loss,0,,,,,
player,201709110den,den,JarrTy00,qb_hits,0,,,,,
player,201709110den,den,JarrTy00,fumbles_rec,0,,,,,
player,201709110den,den,JarrTy00,fumbles_rec_yds,0,,,,,
player,201709110den,den,JarrTy00,fumbles_rec_td,0,,,,,
player,201709110den,den,JarrTy00,fumbles_forced,0,,,,,
player,201709110den,den,LatiCo00,def_int,0,,,,,
player,201709110den,den,LatiCo00,def_int_yds,0,,,,,
player,201709110den,den,LatiCo00,def_int_td,0,,,,,
player,201709110den,den,LatiCo00,def_int_long,0,,,,,
player,201709110den,den,LatiCo00,pass_defended,0,,,,,
player,201709110den,den,LatiCo00,sacks,0.0,,,,,
player,201709110den,den,LatiCo00,tackles_combined,1,,,,,
player,201709110den,den,LatiCo00,tackles_solo,1,,,,,
player,201709110den,den,LatiCo00,tackles_assists,0,,,,,
player,201709110den,den,LatiCo00,tackles_loss,0,,,,,
player,201709110den,den,LatiCo00,qb_hits,0,,,,,
player,201709110den,den,LatiCo00,fumbles_rec,0,,,,,
player,201709110den,den,LatiCo00,fumbles_rec_yds,0,,,,,
player,201709110den,den,LatiCo00,fumbles_rec_td,0,,,,,
player,201709110den,den,LatiCo00,fumbles_forced,0,,,,,
player,201709110den,den,NelsCo00,def_int,0,,,,,
player,201709110den,den,NelsCo00,def_int_yds,0,,,,,
player,201709110den,den,NelsCo00,def_int_td,0,,,,,
player,201709110den,den,NelsCo00,def_int_long,0,,,,,
player,201709110den,den,NelsCo00,pass_defended,0,,,,,
player,201709110den,den,NelsCo00,sacks,0.0,,,,,
player,201709110den,den,NelsCo00,tackles_combined,1,,,,,
player,201709110den,den,NelsCo00,tackles_solo,1,,,,,
player,201709110den,den,NelsCo00,tackles_assists,0,,,,,
player,201709110den,den,NelsCo00,tackles_loss,0,,,,,
player,201709110den,den,NelsCo00,qb_hits,0,,,,,
player,201709110den,den,NelsCo00,fumbles_rec,0,,,,,
player,201709110den,den,NelsCo00,fumbles_rec_yds,0,,,,,
player,201709110den,den,NelsCo00,fumbles_rec_td,0,,,,,
player,201709110den,den,NelsCo00,fumbles_forced,0,,,,,
player,201709110den,den,ParkWi01,def_int,0,,,,,
player,201709110den,den,ParkWi01,def_int_yds,0,,,,,
player,201709110den,den,ParkWi01,def_int_td,0,,,,,
player,201709110den,den,ParkWi01,def_int_long,0,,,,,
player,201709110den,den,ParkWi01,pass_defended,0,,,,,
player,201709110den,den,ParkWi01,sacks,0.0,,,,,
player,201709110den,den,ParkWi01,tackles_combined,1,,,,,
player,201709110den,den,ParkWi01,tackles_solo,1,,,,,
player,201709110den,den,ParkWi01,tackles_assists,0,,,,,
player,201709110den,den,ParkWi01,tackles_loss,0,,,,,
player,201709110den,den,ParkWi01,qb_hits,0,,,,,
player,201709110den,den,ParkWi01,fumbles_rec,0,,,,,
player,201709110den,den,ParkWi01,fumbles_rec_yds,0,,,,,
player,201709110den,den,ParkWi01,fumbles_rec_td,0,,,,,
player,201709110den,den,ParkWi01,fumbles_forced,0,,,,,
player,201709110den,den,TaliAq99,def_int,0,,,,,
player,201709110den,den,TaliAq99,def_int_yds,0,,,,,
player,201709110den,den,TaliAq99,def_int_td,0,,,,,
player,201709110den,den,TaliAq99,def_int_long,0,,,,,
