game,2017,13,20171203,201712030atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",9
player,201712030atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201712030atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201712030atl,atl,JoneJu02,pass_long,0,,,,,
player,201712030atl,atl,JoneJu02,pass_rating,,,,,,
player,201712030atl,atl,JoneJu02,rush_att,0,,,,,
player,201712030atl,atl,JoneJu02,rush_yds,0,,,,,
player,201712030atl,atl,JoneJu02,rush_td,0,,,,,
player,201712030atl,atl,JoneJu02,rush_long,0,,,,,
player,201712030atl,atl,JoneJu02,targets,6,,,,,
player,201712030atl,atl,JoneJu02,rec,2,,,,,
player,201712030atl,atl,JoneJu02,rec_yds,24,,,,,
player,201712030atl,atl,JoneJu02,rec_td,0,,,,,
player,201712030atl,atl,JoneJu02,rec_long,13,,,,,
player,201712030atl,atl,JoneJu02,fumbles,0,,,,,
player,201712030atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201712030atl,atl,HoopAu00,pass_cmp,0,,,,,
player,201712030atl,atl,HoopAu00,pass_att,0,,,,,
player,201712030atl,atl,HoopAu00,pass_yds,0,,,,,
player,201712030atl,atl,HoopAu00,pass_td,0,,,,,
player,201712030atl,atl,HoopAu00,pass_int,0,,,,,
player,201712030atl,atl,HoopAu00,pass_sacked,0,,,,,
player,201712030atl,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201712030atl,atl,HoopAu00,pass_long,0,,,,,
player,201712030atl,atl,HoopAu00,pass_rating,,,,,,
player,201712030atl,atl,HoopAu00,rush_att,0,,,,,
player,201712030atl,atl,HoopAu00,rush_yds,0,,,,,
player,201712030atl,atl,HoopAu00,rush_td,0,,,,,
player,201712030atl,atl,HoopAu00,rush_long,0,,,,,
player,201712030atl,atl,HoopAu00,targets,4,,,,,
player,201712030atl,atl,HoopAu00,rec,3,,,,,
player,201712030atl,atl,HoopAu00,rec_yds,21,,,,,
player,201712030atl,atl,HoopAu00,rec_td,0,,,,,
player,201712030atl,atl,HoopAu00,rec_long,8,,,,,
player,201712030atl,atl,HoopAu00,fumbles,0,,,,,
player,201712030atl,atl,HoopAu00,fumbles_lost,0,,,,,
player,201712030atl,atl,HallMa02,pass_cmp,0,,,,,
player,201712030atl,atl,HallMa02,pass_att,0,,,,,
player,201712030atl,atl,HallMa02,pass_yds,0,,,,,
player,201712030atl,atl,HallMa02,pass_td,0,,,,,
player,201712030atl,atl,HallMa02,pass_int,0,,,,,
player,201712030atl,atl,HallMa02,pass_sacked,0,,,,,
player,201712030atl,atl,HallMa02,pass_sacked_yds,0,,,,,
player,201712030atl,atl,HallMa02,pass_long,0,,,,,
player,201712030atl,atl,HallMa02,pass_rating,,,,,,
player,201712030atl,atl,HallMa02,rush_att,0,,,,,
player,201712030atl,atl,HallMa02,rush_yds,0,,,,,
player,201712030atl,atl,HallMa02,rush_td,0,,,,,
player,201712030atl,atl,HallMa02,rush_long,0,,,,,
player,201712030atl,atl,HallMa02,targets,2,,,,,
player,201712030atl,atl,HallMa02,rec,1,,,,,
player,201712030atl,atl,HallMa02,rec_yds,20,,,,,
player,201712030atl,atl,HallMa02,rec_td,0,,,,,
player,201712030atl,atl,HallMa02,rec_long,20,,,,,
player,201712030atl,atl,HallMa02,fumbles,0,,,,,
player,201712030atl,atl,HallMa02,fumbles_lost,0,,,,,
player,201712030atl,min,KendEr00,def_int,0,,,,,
player,201712030atl,min,KendEr00,def_int_yds,0,,,,,
player,201712030atl,min,KendEr00,def_int_td,0,,,,,
player,201712030atl,min,KendEr00,def_int_long,0,,,,,
player,201712030atl,min,KendEr00,pass_defended,1,,,,,
player,201712030atl,min,KendEr00,sacks,0.0,,,,,
player,201712030atl,min,KendEr00,tackles_combined,10,,,,,
player,201712030atl,min,KendEr00,tackles_solo,9,,,,,
player,201712030atl,min,KendEr00,tackles_assists,1,,,,,
player,201712030atl,min,KendEr00,tackles_loss,0,,,,,
player,201712030atl,min,KendEr00,qb_hits,0,,,,,
player,201712030atl,min,KendEr00,fumbles_rec,0,,,,,
player,201712030atl,min,KendEr00,fumbles_rec_yds,0,,,,,
player,201712030atl,min,KendEr00,fumbles_rec_td,0,,,,,
player,201712030atl,min,KendEr00,fumbles_forced,0,,,,,
player,201712030atl,min,BarrAn00,def_int,0,,,,,
player,201712030atl,min,BarrAn00,def_int_yds,0,,,,,
player,201712030atl,min,BarrAn00,def_int_td,0,,,,,
player,201712030atl,min,BarrAn00,def_int_long,0,,,,,
player,201712030atl,min,BarrAn00,pass_defended,0,,,,,
player,201712030atl,min,BarrAn00,sacks,0.0,,,,,
player,201712030atl,min,BarrAn00,tackles_combined,5,,,,,
player,201712030atl,min,BarrAn00,tackles_solo,5,,,,,
player,201712030atl,min,BarrAn00,tackles_assists,0,,,,,
player,201712030atl,min,BarrAn00,tackles_loss,0,,,,,
player,201712030atl,min,BarrAn00,qb_hits,0,,,,,
player,201712030atl,min,BarrAn00,fumbles_rec,0,,,,,
player,201712030atl,min,BarrAn00,fumbles_rec_yds,0,,,,,
player,201712030atl,min,BarrAn00,fumbles_rec_td,0,,,,,
player,201712030atl,min,BarrAn00,fumbles_forced,0,,,,,
player,201712030atl,min,RhodXa00,def_int,0,,,,,
player,201712030atl,min,RhodXa00,def_int_yds,0,,,,,
player,201712030atl,min,RhodXa00,def_int_td,0,,,,,
player,201712030atl,min,RhodXa00,def_int_long,0,,,,,
player,201712030atl,min,RhodXa00,pass_defended,0,,,,,
player,201712030atl,min,RhodXa00,sacks,0.0,,,,,
player,201712030atl,min,RhodXa00,tackles_combined,5,,,,,
player,201712030atl,min,RhodXa00,tackles_solo,5,,,,,
player,201712030atl,min,RhodXa00,tackles_assists,0,,,,,
player,201712030atl,min,RhodXa00,tackles_loss,0,,,,,
player,201712030atl,min,RhodXa00,qb_hits,0,,,,,
player,201712030atl,min,RhodXa00,fumbles_rec,0,,,,,
player,201712030atl,min,RhodXa00,fumbles_rec_yds,0,,,,,
player,201712030atl,min,RhodXa00,fumbles_rec_td,0,,,,,
player,201712030atl,min,RhodXa00,fumbles_forced,0,,,,,
player,201712030atl,min,SendAn00,def_int,0,,,,,
player,201712030atl,min,SendAn00,def_int_yds,0,,,,,
player,201712030atl,min,SendAn00,def_int_td,0,,,,,
player,201712030atl,min,SendAn00,def_int_long,0,,,,,
player,201712030atl,min,SendAn00,pass_defended,1,,,,,
player,201712030atl,min,SendAn00,sacks,0.0,,,,,
player,201712030atl,min,SendAn00,tackles_combined,4,,,,,
player,201712030atl,min,SendAn00,tackles_solo,2,,,,,
player,201712030atl,min,SendAn00,tackles_assists,2,,,,,
