game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,sdg,WillTy00,rush_td,0,,,,,
player,201709170sdg,sdg,WillTy00,rush_long,0,,,,,
player,201709170sdg,sdg,WillTy00,targets,4,,,,,
player,201709170sdg,sdg,WillTy00,rec,4,,,,,
player,201709170sdg,sdg,WillTy00,rec_yds,54,,,,,
player,201709170sdg,sdg,WillTy00,rec_td,0,,,,,
player,201709170sdg,sdg,WillTy00,rec_long,23,,,,,
player,201709170sdg,sdg,WillTy00,fumbles,0,,,,,
player,201709170sdg,sdg,WillTy00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_cmp,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_att,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_yds,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_td,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_int,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_sacked,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_long,0,,,,,
player,201709170sdg,sdg,BenjTr00,pass_rating,,,,,,
player,201709170sdg,sdg,BenjTr00,rush_att,0,,,,,
player,201709170sdg,sdg,BenjTr00,rush_yds,0,,,,,
player,201709170sdg,sdg,BenjTr00,rush_td,0,,,,,
player,201709170sdg,sdg,BenjTr00,rush_long,0,,,,,
player,201709170sdg,sdg,BenjTr00,targets,3,,,,,
player,201709170sdg,sdg,BenjTr00,rec,1,,,,,
player,201709170sdg,sdg,BenjTr00,rec_yds,11,,,,,
player,201709170sdg,sdg,BenjTr00,rec_td,0,,,,,
player,201709170sdg,sdg,BenjTr00,rec_long,11,,,,,
player,201709170sdg,sdg,BenjTr00,fumbles,0,,,,,
player,201709170sdg,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_att,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_td,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_int,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_long,0,,,,,
player,201709170sdg,sdg,GateAn00,pass_rating,,,,,,
player,201709170sdg,sdg,GateAn00,rush_att,0,,,,,
player,201709170sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201709170sdg,sdg,GateAn00,rush_td,0,,,,,
player,201709170sdg,sdg,GateAn00,rush_long,0,,,,,
player,201709170sdg,sdg,GateAn00,targets,4,,,,,
player,201709170sdg,sdg,GateAn00,rec,2,,,,,
player,201709170sdg,sdg,GateAn00,rec_yds,11,,,,,
player,201709170sdg,sdg,GateAn00,rec_td,1,,,,,
player,201709170sdg,sdg,GateAn00,rec_long,7,,,,,
