game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
player,201710090chi,chi,SimsDi00,rec_yds,17,,,,,
player,201710090chi,chi,SimsDi00,rec_td,0,,,,,
player,201710090chi,chi,SimsDi00,rec_long,17,,,,,
player,201710090chi,chi,SimsDi00,fumbles,0,,,,,
player,201710090chi,chi,SimsDi00,fumbles_lost,0,,,,,
player,201710090chi,chi,WheaMa00,pass_cmp,0,,,,,
player,201710090chi,chi,WheaMa00,pass_att,0,,,,,
player,201710090chi,chi,WheaMa00,pass_yds,0,,,,,
player,201710090chi,chi,WheaMa00,pass_td,0,,,,,
player,201710090chi,chi,WheaMa00,pass_int,0,,,,,
player,201710090chi,chi,WheaMa00,pass_sacked,0,,,,,
player,201710090chi,chi,WheaMa00,pass_sacked_yds,0,,,,,
player,201710090chi,chi,WheaMa00,pass_long,0,,,,,
player,201710090chi,chi,WheaMa00,pass_rating,,,,,,
player,201710090chi,chi,WheaMa00,rush_att,0,,,,,
player,201710090chi,chi,WheaMa00,rush_yds,0,,,,,
player,201710090chi,chi,WheaMa00,rush_td,0,,,,,
player,201710090chi,chi,WheaMa00,rush_long,0,,,,,
player,201710090chi,chi,WheaMa00,targets,4,,,,,
player,201710090chi,chi,WheaMa00,rec,1,,,,,
player,201710090chi,chi,WheaMa00,rec_yds,9,,,,,
player,201710090chi,chi,WheaMa00,rec_td,0,,,,,
player,201710090chi,chi,WheaMa00,rec_long,9,,,,,
player,201710090chi,chi,WheaMa00,fumbles,0,,,,,
player,201710090chi,chi,WheaMa00,fumbles_lost,0,,,,,
player,201710090chi,min,SmitHa00,def_int,1,,,,,
player,201710090chi,min,SmitHa00,def_int_yds,-6,,,,,
player,201710090chi,min,SmitHa00,def_int_td,0,,,,,
player,201710090chi,min,SmitHa00,def_int_long,-6,,,,,
player,201710090chi,min,SmitHa00,pass_defended,2,,,,,
player,201710090chi,min,SmitHa00,sacks,0.0,,,,,
