game,2017,13,20171203,201712030rav,det,"Detroit Lions",20,rav,"Baltimore Ravens",44
player,201712030rav,rav,MaclJe00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,MaclJe00,pass_long,0,,,,,
player,201712030rav,rav,MaclJe00,pass_rating,,,,,,
player,201712030rav,rav,MaclJe00,rush_att,0,,,,,
player,201712030rav,rav,MaclJe00,rush_yds,0,,,,,
player,201712030rav,rav,MaclJe00,rush_td,0,,,,,
player,201712030rav,rav,MaclJe00,rush_long,0,,,,,
player,201712030rav,rav,MaclJe00,targets,8,,,,,
player,201712030rav,rav,MaclJe00,rec,4,,,,,
player,201712030rav,rav,MaclJe00,rec_yds,41,,,,,
player,201712030rav,rav,MaclJe00,rec_td,0,,,,,
player,201712030rav,rav,MaclJe00,rec_long,17,,,,,
player,201712030rav,rav,MaclJe00,fumbles,0,,,,,
player,201712030rav,rav,MaclJe00,fumbles_lost,0,,,,,
player,201712030rav,rav,WatsBe00,pass_cmp,0,,,,,
player,201712030rav,rav,WatsBe00,pass_att,0,,,,,
player,201712030rav,rav,WatsBe00,pass_yds,0,,,,,
player,201712030rav,rav,WatsBe00,pass_td,0,,,,,
player,201712030rav,rav,WatsBe00,pass_int,0,,,,,
player,201712030rav,rav,WatsBe00,pass_sacked,0,,,,,
player,201712030rav,rav,WatsBe00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,WatsBe00,pass_long,0,,,,,
player,201712030rav,rav,WatsBe00,pass_rating,,,,,,
player,201712030rav,rav,WatsBe00,rush_att,0,,,,,
player,201712030rav,rav,WatsBe00,rush_yds,0,,,,,
player,201712030rav,rav,WatsBe00,rush_td,0,,,,,
player,201712030rav,rav,WatsBe00,rush_long,0,,,,,
player,201712030rav,rav,WatsBe00,targets,5,,,,,
player,201712030rav,rav,WatsBe00,rec,3,,,,,
player,201712030rav,rav,WatsBe00,rec_yds,24,,,,,
player,201712030rav,rav,WatsBe00,rec_td,1,,,,,
player,201712030rav,rav,WatsBe00,rec_long,18,,,,,
player,201712030rav,rav,WatsBe00,fumbles,0,,,,,
player,201712030rav,rav,WatsBe00,fumbles_lost,0,,,,,
player,201712030rav,rav,BoylNi00,pass_cmp,0,,,,,
player,201712030rav,rav,BoylNi00,pass_att,0,,,,,
player,201712030rav,rav,BoylNi00,pass_yds,0,,,,,
player,201712030rav,rav,BoylNi00,pass_td,0,,,,,
player,201712030rav,rav,BoylNi00,pass_int,0,,,,,
player,201712030rav,rav,BoylNi00,pass_sacked,0,,,,,
player,201712030rav,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,BoylNi00,pass_long,0,,,,,
player,201712030rav,rav,BoylNi00,pass_rating,,,,,,
player,201712030rav,rav,BoylNi00,rush_att,0,,,,,
player,201712030rav,rav,BoylNi00,rush_yds,0,,,,,
player,201712030rav,rav,BoylNi00,rush_td,0,,,,,
player,201712030rav,rav,BoylNi00,rush_long,0,,,,,
player,201712030rav,rav,BoylNi00,targets,3,,,,,
player,201712030rav,rav,BoylNi00,rec,1,,,,,
player,201712030rav,rav,BoylNi00,rec_yds,11,,,,,
player,201712030rav,rav,BoylNi00,rec_td,0,,,,,
player,201712030rav,rav,BoylNi00,rec_long,11,,,,,
player,201712030rav,rav,BoylNi00,fumbles,0,,,,,
player,201712030rav,rav,BoylNi00,fumbles_lost,0,,,,,
player,201712030rav,rav,RicaPa00,pass_cmp,0,,,,,
player,201712030rav,rav,RicaPa00,pass_att,0,,,,,
player,201712030rav,rav,RicaPa00,pass_yds,0,,,,,
player,201712030rav,rav,RicaPa00,pass_td,0,,,,,
player,201712030rav,rav,RicaPa00,pass_int,0,,,,,
player,201712030rav,rav,RicaPa00,pass_sacked,0,,,,,
player,201712030rav,rav,RicaPa00,pass_sacked_yds,0,,,,,
player,201712030rav,rav,RicaPa00,pass_long,0,,,,,
player,201712030rav,rav,RicaPa00,pass_rating,,,,,,
player,201712030rav,rav,RicaPa00,rush_att,0,,,,,
player,201712030rav,rav,RicaPa00,rush_yds,0,,,,,
player,201712030rav,rav,RicaPa00,rush_td,0,,,,,
player,201712030rav,rav,RicaPa00,rush_long,0,,,,,
player,201712030rav,rav,RicaPa00,targets,1,,,,,
player,201712030rav,rav,RicaPa00,rec,1,,,,,
player,201712030rav,rav,RicaPa00,rec_yds,3,,,,,
player,201712030rav,rav,RicaPa00,rec_td,1,,,,,
player,201712030rav,rav,RicaPa00,rec_long,3,,,,,
player,201712030rav,rav,RicaPa00,fumbles,0,,,,,
player,201712030rav,rav,RicaPa00,fumbles_lost,0,,,,,
player,201712030rav,rav,WillMa04,pass_cmp,0,,,,,
player,201712030rav,rav,WillMa04,pass_att,0,,,,,
player,201712030rav,rav,WillMa04,pass_yds,0,,,,,
player,201712030rav,rav,WillMa04,pass_td,0,,,,,
player,201712030rav,rav,WillMa04,pass_int,0,,,,,
player,201712030rav,rav,WillMa04,pass_sacked,0,,,,,
player,201712030rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201712030rav,rav,WillMa04,pass_long,0,,,,,
player,201712030rav,rav,WillMa04,pass_rating,,,,,,
player,201712030rav,rav,WillMa04,rush_att,0,,,,,
player,201712030rav,rav,WillMa04,rush_yds,0,,,,,
player,201712030rav,rav,WillMa04,rush_td,0,,,,,
player,201712030rav,rav,WillMa04,rush_long,0,,,,,
player,201712030rav,rav,WillMa04,targets,2,,,,,
player,201712030rav,rav,WillMa04,rec,1,,,,,
player,201712030rav,rav,WillMa04,rec_yds,1,,,,,
player,201712030rav,rav,WillMa04,rec_td,0,,,,,
player,201712030rav,rav,WillMa04,rec_long,1,,,,,
player,201712030rav,rav,WillMa04,fumbles,0,,,,,
player,201712030rav,rav,WillMa04,fumbles_lost,0,,,,,
