game,2017,3,20170924,201709240chi,pit,"Pittsburgh Steelers",17,chi,"Chicago Bears",23
player,201709240chi,chi,CoheTa00,rush_att,12,,,,,
player,201709240chi,chi,CoheTa00,rush_yds,78,,,,,
player,201709240chi,chi,CoheTa00,rush_td,0,,,,,
player,201709240chi,chi,CoheTa00,rush_long,36,,,,,
player,201709240chi,chi,CoheTa00,targets,4,,,,,
player,201709240chi,chi,CoheTa00,rec,4,,,,,
player,201709240chi,chi,CoheTa00,rec_yds,24,,,,,
player,201709240chi,chi,CoheTa00,rec_td,0,,,,,
player,201709240chi,chi,CoheTa00,rec_long,9,,,,,
player,201709240chi,chi,CoheTa00,fumbles,1,,,,,
player,201709240chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201709240chi,chi,CunnBe01,pass_cmp,0,,,,,
player,201709240chi,chi,CunnBe01,pass_att,0,,,,,
player,201709240chi,chi,CunnBe01,pass_yds,0,,,,,
player,201709240chi,chi,CunnBe01,pass_td,0,,,,,
player,201709240chi,chi,CunnBe01,pass_int,0,,,,,
player,201709240chi,chi,CunnBe01,pass_sacked,0,,,,,
player,201709240chi,chi,CunnBe01,pass_sacked_yds,0,,,,,
player,201709240chi,chi,CunnBe01,pass_long,0,,,,,
player,201709240chi,chi,CunnBe01,pass_rating,,,,,,
player,201709240chi,chi,CunnBe01,rush_att,0,,,,,
player,201709240chi,chi,CunnBe01,rush_yds,0,,,,,
player,201709240chi,chi,CunnBe01,rush_td,0,,,,,
player,201709240chi,chi,CunnBe01,rush_long,0,,,,,
player,201709240chi,chi,CunnBe01,targets,3,,,,,
player,201709240chi,chi,CunnBe01,rec,3,,,,,
player,201709240chi,chi,CunnBe01,rec_yds,23,,,,,
player,201709240chi,chi,CunnBe01,rec_td,0,,,,,
player,201709240chi,chi,CunnBe01,rec_long,11,,,,,
player,201709240chi,chi,CunnBe01,fumbles,0,,,,,
player,201709240chi,chi,CunnBe01,fumbles_lost,0,,,,,
player,201709240chi,chi,MillZa02,pass_cmp,0,,,,,
player,201709240chi,chi,MillZa02,pass_att,0,,,,,
player,201709240chi,chi,MillZa02,pass_yds,0,,,,,
player,201709240chi,chi,MillZa02,pass_td,0,,,,,
player,201709240chi,chi,MillZa02,pass_int,0,,,,,
player,201709240chi,chi,MillZa02,pass_sacked,0,,,,,
player,201709240chi,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201709240chi,chi,MillZa02,pass_long,0,,,,,
player,201709240chi,chi,MillZa02,pass_rating,,,,,,
player,201709240chi,chi,MillZa02,rush_att,0,,,,,
player,201709240chi,chi,MillZa02,rush_yds,0,,,,,
player,201709240chi,chi,MillZa02,rush_td,0,,,,,
player,201709240chi,chi,MillZa02,rush_long,0,,,,,
player,201709240chi,chi,MillZa02,targets,3,,,,,
player,201709240chi,chi,MillZa02,rec,1,,,,,
player,201709240chi,chi,MillZa02,rec_yds,17,,,,,
player,201709240chi,chi,MillZa02,rec_td,0,,,,,
player,201709240chi,chi,MillZa02,rec_long,17,,,,,
player,201709240chi,chi,MillZa02,fumbles,0,,,,,
player,201709240chi,chi,MillZa02,fumbles_lost,0,,,,,
player,201709240chi,chi,ThomDe04,pass_cmp,0,,,,,
player,201709240chi,chi,ThomDe04,pass_att,0,,,,,
player,201709240chi,chi,ThomDe04,pass_yds,0,,,,,
player,201709240chi,chi,ThomDe04,pass_td,0,,,,,
player,201709240chi,chi,ThomDe04,pass_int,0,,,,,
player,201709240chi,chi,ThomDe04,pass_sacked,0,,,,,
player,201709240chi,chi,ThomDe04,pass_sacked_yds,0,,,,,
player,201709240chi,chi,ThomDe04,pass_long,0,,,,,
player,201709240chi,chi,ThomDe04,pass_rating,,,,,,
player,201709240chi,chi,ThomDe04,rush_att,0,,,,,
player,201709240chi,chi,ThomDe04,rush_yds,0,,,,,
player,201709240chi,chi,ThomDe04,rush_td,0,,,,,
player,201709240chi,chi,ThomDe04,rush_long,0,,,,,
player,201709240chi,chi,ThomDe04,targets,2,,,,,
player,201709240chi,chi,ThomDe04,rec,1,,,,,
player,201709240chi,chi,ThomDe04,rec_yds,9,,,,,
player,201709240chi,chi,ThomDe04,rec_td,0,,,,,
player,201709240chi,chi,ThomDe04,rec_long,9,,,,,
player,201709240chi,chi,ThomDe04,fumbles,0,,,,,
player,201709240chi,chi,ThomDe04,fumbles_lost,0,,,,,
player,201709240chi,chi,ShahAd00,pass_cmp,0,,,,,
player,201709240chi,chi,ShahAd00,pass_att,0,,,,,
player,201709240chi,chi,ShahAd00,pass_yds,0,,,,,
player,201709240chi,chi,ShahAd00,pass_td,0,,,,,
player,201709240chi,chi,ShahAd00,pass_int,0,,,,,
player,201709240chi,chi,ShahAd00,pass_sacked,0,,,,,
player,201709240chi,chi,ShahAd00,pass_sacked_yds,0,,,,,
player,201709240chi,chi,ShahAd00,pass_long,0,,,,,
player,201709240chi,chi,ShahAd00,pass_rating,,,,,,
player,201709240chi,chi,ShahAd00,rush_att,0,,,,,
player,201709240chi,chi,ShahAd00,rush_yds,0,,,,,
player,201709240chi,chi,ShahAd00,rush_td,0,,,,,
player,201709240chi,chi,ShahAd00,rush_long,0,,,,,
player,201709240chi,chi,ShahAd00,targets,1,,,,,
player,201709240chi,chi,ShahAd00,rec,1,,,,,
player,201709240chi,chi,ShahAd00,rec_yds,2,,,,,
player,201709240chi,chi,ShahAd00,rec_td,1,,,,,
player,201709240chi,chi,ShahAd00,rec_long,2,,,,,
player,201709240chi,chi,ShahAd00,fumbles,0,,,,,
player,201709240chi,chi,ShahAd00,fumbles_lost,0,,,,,
player,201709240chi,chi,BurtMi00,pass_cmp,0,,,,,
player,201709240chi,chi,BurtMi00,pass_att,0,,,,,
player,201709240chi,chi,BurtMi00,pass_yds,0,,,,,
player,201709240chi,chi,BurtMi00,pass_td,0,,,,,
player,201709240chi,chi,BurtMi00,pass_int,0,,,,,
player,201709240chi,chi,BurtMi00,pass_sacked,0,,,,,
player,201709240chi,chi,BurtMi00,pass_sacked_yds,0,,,,,
player,201709240chi,chi,BurtMi00,pass_long,0,,,,,
player,201709240chi,chi,BurtMi00,pass_rating,,,,,,
player,201709240chi,chi,BurtMi00,rush_att,0,,,,,
player,201709240chi,chi,BurtMi00,rush_yds,0,,,,,
player,201709240chi,chi,BurtMi00,rush_td,0,,,,,
player,201709240chi,chi,BurtMi00,rush_long,0,,,,,
player,201709240chi,chi,BurtMi00,targets,1,,,,,
player,201709240chi,chi,BurtMi00,rec,0,,,,,
player,201709240chi,chi,BurtMi00,rec_yds,0,,,,,
player,201709240chi,chi,BurtMi00,rec_td,0,,,,,
player,201709240chi,chi,BurtMi00,rec_long,0,,,,,
player,201709240chi,chi,BurtMi00,fumbles,0,,,,,
player,201709240chi,chi,BurtMi00,fumbles_lost,0,,,,,
player,201709240chi,chi,WheaMa00,pass_cmp,0,,,,,
player,201709240chi,chi,WheaMa00,pass_att,0,,,,,
player,201709240chi,chi,WheaMa00,pass_yds,0,,,,,
player,201709240chi,chi,WheaMa00,pass_td,0,,,,,
player,201709240chi,chi,WheaMa00,pass_int,0,,,,,
player,201709240chi,chi,WheaMa00,pass_sacked,0,,,,,
player,201709240chi,chi,WheaMa00,pass_sacked_yds,0,,,,,
player,201709240chi,chi,WheaMa00,pass_long,0,,,,,
player,201709240chi,chi,WheaMa00,pass_rating,,,,,,
player,201709240chi,chi,WheaMa00,rush_att,0,,,,,
player,201709240chi,chi,WheaMa00,rush_yds,0,,,,,
player,201709240chi,chi,WheaMa00,rush_td,0,,,,,
player,201709240chi,chi,WheaMa00,rush_long,0,,,,,
player,201709240chi,chi,WheaMa00,targets,2,,,,,
player,201709240chi,chi,WheaMa00,rec,0,,,,,
player,201709240chi,chi,WheaMa00,rec_yds,0,,,,,
player,201709240chi,chi,WheaMa00,rec_td,0,,,,,
player,201709240chi,chi,WheaMa00,rec_long,0,,,,,
player,201709240chi,chi,WheaMa00,fumbles,0,,,,,
player,201709240chi,chi,WheaMa00,fumbles_lost,0,,,,,
player,201709240chi,pit,WilcJ.00,def_int,1,,,,,
player,201709240chi,pit,WilcJ.00,def_int_yds,0,,,,,
player,201709240chi,pit,WilcJ.00,def_int_td,0,,,,,
player,201709240chi,pit,WilcJ.00,def_int_long,0,,,,,
player,201709240chi,pit,WilcJ.00,pass_defended,1,,,,,
player,201709240chi,pit,WilcJ.00,sacks,0.0,,,,,
player,201709240chi,pit,WilcJ.00,tackles_combined,5,,,,,
player,201709240chi,pit,WilcJ.00,tackles_solo,4,,,,,
player,201709240chi,pit,WilcJ.00,tackles_assists,1,,,,,
player,201709240chi,pit,WilcJ.00,tackles_loss,0,,,,,
player,201709240chi,pit,WilcJ.00,qb_hits,0,,,,,
player,201709240chi,pit,WilcJ.00,fumbles_rec,0,,,,,
player,201709240chi,pit,WilcJ.00,fumbles_rec_yds,0,,,,,
player,201709240chi,pit,WilcJ.00,fumbles_rec_td,0,,,,,
player,201709240chi,pit,WilcJ.00,fumbles_forced,0,,,,,
player,201709240chi,pit,ChicAn00,def_int,0,,,,,
player,201709240chi,pit,ChicAn00,def_int_yds,0,,,,,
player,201709240chi,pit,ChicAn00,def_int_td,0,,,,,
player,201709240chi,pit,ChicAn00,def_int_long,0,,,,,
player,201709240chi,pit,ChicAn00,pass_defended,0,,,,,
player,201709240chi,pit,ChicAn00,sacks,1.0,,,,,
player,201709240chi,pit,ChicAn00,tackles_combined,2,,,,,
player,201709240chi,pit,ChicAn00,tackles_solo,2,,,,,
player,201709240chi,pit,ChicAn00,tackles_assists,0,,,,,
player,201709240chi,pit,ChicAn00,tackles_loss,1,,,,,
player,201709240chi,pit,ChicAn00,qb_hits,1,,,,,
player,201709240chi,pit,ChicAn00,fumbles_rec,0,,,,,
player,201709240chi,pit,ChicAn00,fumbles_rec_yds,0,,,,,
player,201709240chi,pit,ChicAn00,fumbles_rec_td,0,,,,,
player,201709240chi,pit,ChicAn00,fumbles_forced,0,,,,,
player,201709240chi,pit,HargJa00,def_int,0,,,,,
player,201709240chi,pit,HargJa00,def_int_yds,0,,,,,
player,201709240chi,pit,HargJa00,def_int_td,0,,,,,
player,201709240chi,pit,HargJa00,def_int_long,0,,,,,
player,201709240chi,pit,HargJa00,pass_defended,0,,,,,
player,201709240chi,pit,HargJa00,sacks,1.0,,,,,
player,201709240chi,pit,HargJa00,tackles_combined,2,,,,,
player,201709240chi,pit,HargJa00,tackles_solo,2,,,,,
player,201709240chi,pit,HargJa00,tackles_assists,0,,,,,
player,201709240chi,pit,HargJa00,tackles_loss,2,,,,,
player,201709240chi,pit,HargJa00,qb_hits,1,,,,,
player,201709240chi,pit,HargJa00,fumbles_rec,0,,,,,
player,201709240chi,pit,HargJa00,fumbles_rec_yds,0,,,,,
player,201709240chi,pit,HargJa00,fumbles_rec_td,0,,,,,
player,201709240chi,pit,HargJa00,fumbles_forced,0,,,,,
player,201709240chi,pit,ShazRy00,def_int,0,,,,,
player,201709240chi,pit,ShazRy00,def_int_yds,0,,,,,
player,201709240chi,pit,ShazRy00,def_int_td,0,,,,,
player,201709240chi,pit,ShazRy00,def_int_long,0,,,,,
player,201709240chi,pit,ShazRy00,pass_defended,0,,,,,
player,201709240chi,pit,ShazRy00,sacks,0.0,,,,,
player,201709240chi,pit,ShazRy00,tackles_combined,11,,,,,
player,201709240chi,pit,ShazRy00,tackles_solo,11,,,,,
player,201709240chi,pit,ShazRy00,tackles_assists,0,,,,,
player,201709240chi,pit,ShazRy00,tackles_loss,1,,,,,
player,201709240chi,pit,ShazRy00,qb_hits,0,,,,,
player,201709240chi,pit,ShazRy00,fumbles_rec,1,,,,,
player,201709240chi,pit,ShazRy00,fumbles_rec_yds,3,,,,,
player,201709240chi,pit,ShazRy00,fumbles_rec_td,0,,,,,
player,201709240chi,pit,ShazRy00,fumbles_forced,2,,,,,
player,201709240chi,pit,MitcMi99,def_int,0,,,,,
