game,2017,11,20171119,201711190nor,was,"Washington Redskins",31,nor,"New Orleans Saints",34
player,201711190nor,was,BreeBa00,tackles_combined,3,,,,,
player,201711190nor,was,BreeBa00,tackles_solo,3,,,,,
player,201711190nor,was,BreeBa00,tackles_assists,0,,,,,
player,201711190nor,was,BreeBa00,tackles_loss,0,,,,,
player,201711190nor,was,BreeBa00,qb_hits,0,,,,,
player,201711190nor,was,BreeBa00,fumbles_rec,0,,,,,
player,201711190nor,was,BreeBa00,fumbles_rec_yds,0,,,,,
player,201711190nor,was,BreeBa00,fumbles_rec_td,0,,,,,
player,201711190nor,was,BreeBa00,fumbles_forced,0,,,,,
player,201711190nor,was,HarvJo01,def_int,0,,,,,
player,201711190nor,was,HarvJo01,def_int_yds,0,,,,,
player,201711190nor,was,HarvJo01,def_int_td,0,,,,,
player,201711190nor,was,HarvJo01,def_int_long,0,,,,,
player,201711190nor,was,HarvJo01,pass_defended,0,,,,,
player,201711190nor,was,HarvJo01,sacks,0.0,,,,,
player,201711190nor,was,HarvJo01,tackles_combined,2,,,,,
player,201711190nor,was,HarvJo01,tackles_solo,2,,,,,
player,201711190nor,was,HarvJo01,tackles_assists,0,,,,,
player,201711190nor,was,HarvJo01,tackles_loss,0,,,,,
player,201711190nor,was,HarvJo01,qb_hits,0,,,,,
player,201711190nor,was,HarvJo01,fumbles_rec,0,,,,,
player,201711190nor,was,HarvJo01,fumbles_rec_yds,0,,,,,
player,201711190nor,was,HarvJo01,fumbles_rec_td,0,,,,,
player,201711190nor,was,HarvJo01,fumbles_forced,0,,,,,
player,201711190nor,was,HoodEv99,def_int,0,,,,,
player,201711190nor,was,HoodEv99,def_int_yds,0,,,,,
player,201711190nor,was,HoodEv99,def_int_td,0,,,,,
player,201711190nor,was,HoodEv99,def_int_long,0,,,,,
player,201711190nor,was,HoodEv99,pass_defended,0,,,,,
player,201711190nor,was,HoodEv99,sacks,0.0,,,,,
player,201711190nor,was,HoodEv99,tackles_combined,2,,,,,
player,201711190nor,was,HoodEv99,tackles_solo,2,,,,,
player,201711190nor,was,HoodEv99,tackles_assists,0,,,,,
player,201711190nor,was,HoodEv99,tackles_loss,0,,,,,
player,201711190nor,was,HoodEv99,qb_hits,0,,,,,
player,201711190nor,was,HoodEv99,fumbles_rec,0,,,,,
player,201711190nor,was,HoodEv99,fumbles_rec_yds,0,,,,,
player,201711190nor,was,HoodEv99,fumbles_rec_td,0,,,,,
player,201711190nor,was,HoodEv99,fumbles_forced,0,,,,,
player,201711190nor,was,VigiZa00,def_int,0,,,,,
player,201711190nor,was,VigiZa00,def_int_yds,0,,,,,
player,201711190nor,was,VigiZa00,def_int_td,0,,,,,
player,201711190nor,was,VigiZa00,def_int_long,0,,,,,
player,201711190nor,was,VigiZa00,pass_defended,0,,,,,
player,201711190nor,was,VigiZa00,sacks,0.0,,,,,
player,201711190nor,was,VigiZa00,tackles_combined,2,,,,,
