game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,gnb,CobbRa00,rec_td,0,,,,,
player,201711190gnb,gnb,CobbRa00,rec_long,18,,,,,
player,201711190gnb,gnb,CobbRa00,fumbles,0,,,,,
player,201711190gnb,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_sacked,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201711190gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201711190gnb,gnb,NelsJo00,rush_att,0,,,,,
player,201711190gnb,gnb,NelsJo00,rush_yds,0,,,,,
player,201711190gnb,gnb,NelsJo00,rush_td,0,,,,,
player,201711190gnb,gnb,NelsJo00,rush_long,0,,,,,
player,201711190gnb,gnb,NelsJo00,targets,6,,,,,
player,201711190gnb,gnb,NelsJo00,rec,2,,,,,
player,201711190gnb,gnb,NelsJo00,rec_yds,24,,,,,
player,201711190gnb,gnb,NelsJo00,rec_td,0,,,,,
player,201711190gnb,gnb,NelsJo00,rec_long,17,,,,,
player,201711190gnb,gnb,NelsJo00,fumbles,0,,,,,
player,201711190gnb,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_cmp,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_att,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_yds,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_td,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_int,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_sacked,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_long,0,,,,,
player,201711190gnb,gnb,RipkAa00,pass_rating,,,,,,
player,201711190gnb,gnb,RipkAa00,rush_att,0,,,,,
player,201711190gnb,gnb,RipkAa00,rush_yds,0,,,,,
player,201711190gnb,gnb,RipkAa00,rush_td,0,,,,,
player,201711190gnb,gnb,RipkAa00,rush_long,0,,,,,
player,201711190gnb,gnb,RipkAa00,targets,1,,,,,
player,201711190gnb,gnb,RipkAa00,rec,1,,,,,
player,201711190gnb,gnb,RipkAa00,rec_yds,6,,,,,
player,201711190gnb,gnb,RipkAa00,rec_td,0,,,,,
player,201711190gnb,gnb,RipkAa00,rec_long,6,,,,,
player,201711190gnb,gnb,RipkAa00,fumbles,0,,,,,
player,201711190gnb,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_cmp,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_att,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_yds,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_td,0,,,,,
player,201711190gnb,gnb,KendLa00,pass_int,0,,,,,
