game,2017,12,20171127,201711270rav,htx,"Houston Texans",16,rav,"Baltimore Ravens",23
player,201711270rav,htx,ClowJa00,pass_defended,0,,,,,
player,201711270rav,htx,ClowJa00,sacks,1.0,,,,,
player,201711270rav,htx,ClowJa00,tackles_combined,2,,,,,
player,201711270rav,htx,ClowJa00,tackles_solo,2,,,,,
player,201711270rav,htx,ClowJa00,tackles_assists,0,,,,,
player,201711270rav,htx,ClowJa00,tackles_loss,2,,,,,
player,201711270rav,htx,ClowJa00,qb_hits,2,,,,,
player,201711270rav,htx,ClowJa00,fumbles_rec,0,,,,,
player,201711270rav,htx,ClowJa00,fumbles_rec_yds,0,,,,,
player,201711270rav,htx,ClowJa00,fumbles_rec_td,0,,,,,
player,201711270rav,htx,ClowJa00,fumbles_forced,0,,,,,
player,201711270rav,htx,JohnKe04,def_int,0,,,,,
player,201711270rav,htx,JohnKe04,def_int_yds,0,,,,,
player,201711270rav,htx,JohnKe04,def_int_td,0,,,,,
player,201711270rav,htx,JohnKe04,def_int_long,0,,,,,
player,201711270rav,htx,JohnKe04,pass_defended,0,,,,,
player,201711270rav,htx,JohnKe04,sacks,0.0,,,,,
player,201711270rav,htx,JohnKe04,tackles_combined,7,,,,,
player,201711270rav,htx,JohnKe04,tackles_solo,7,,,,,
player,201711270rav,htx,JohnKe04,tackles_assists,0,,,,,
player,201711270rav,htx,JohnKe04,tackles_loss,0,,,,,
player,201711270rav,htx,JohnKe04,qb_hits,0,,,,,
player,201711270rav,htx,JohnKe04,fumbles_rec,0,,,,,
player,201711270rav,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201711270rav,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201711270rav,htx,JohnKe04,fumbles_forced,0,,,,,
player,201711270rav,htx,McKiBe00,def_int,0,,,,,
player,201711270rav,htx,McKiBe00,def_int_yds,0,,,,,
player,201711270rav,htx,McKiBe00,def_int_td,0,,,,,
player,201711270rav,htx,McKiBe00,def_int_long,0,,,,,
player,201711270rav,htx,McKiBe00,pass_defended,0,,,,,
player,201711270rav,htx,McKiBe00,sacks,0.0,,,,,
player,201711270rav,htx,McKiBe00,tackles_combined,5,,,,,
player,201711270rav,htx,McKiBe00,tackles_solo,4,,,,,
player,201711270rav,htx,McKiBe00,tackles_assists,1,,,,,
player,201711270rav,htx,McKiBe00,tackles_loss,1,,,,,
player,201711270rav,htx,McKiBe00,qb_hits,0,,,,,
player,201711270rav,htx,McKiBe00,fumbles_rec,0,,,,,
player,201711270rav,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201711270rav,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201711270rav,htx,McKiBe00,fumbles_forced,0,,,,,
player,201711270rav,htx,ReadD.00,def_int,0,,,,,
player,201711270rav,htx,ReadD.00,def_int_yds,0,,,,,
player,201711270rav,htx,ReadD.00,def_int_td,0,,,,,
