game,2011,14,20111211,201112110det,min,"Minnesota Vikings",28,det,"Detroit Lions",34
player,201112110det,min,RaymMi00,fumbles_rec_td,0,,,,,
player,201112110det,min,RaymMi00,fumbles_forced,0,,,,,
player,201112110det,min,CamaGr00,def_int,0,,,,,
player,201112110det,min,CamaGr00,def_int_yds,0,,,,,
player,201112110det,min,CamaGr00,def_int_td,0,,,,,
player,201112110det,min,CamaGr00,def_int_long,0,,,,,
player,201112110det,min,CamaGr00,pass_defended,0,,,,,
player,201112110det,min,CamaGr00,sacks,0.0,,,,,
player,201112110det,min,CamaGr00,tackles_combined,1,,,,,
player,201112110det,min,CamaGr00,tackles_solo,1,,,,,
player,201112110det,min,CamaGr00,tackles_assists,0,,,,,
player,201112110det,min,CamaGr00,tackles_loss,0,,,,,
player,201112110det,min,CamaGr00,qb_hits,0,,,,,
player,201112110det,min,CamaGr00,fumbles_rec,0,,,,,
player,201112110det,min,CamaGr00,fumbles_rec_yds,0,,,,,
player,201112110det,min,CamaGr00,fumbles_rec_td,0,,,,,
player,201112110det,min,CamaGr00,fumbles_forced,0,,,,,
player,201112110det,min,DeanLa00,def_int,0,,,,,
player,201112110det,min,DeanLa00,def_int_yds,0,,,,,
player,201112110det,min,DeanLa00,def_int_td,0,,,,,
player,201112110det,min,DeanLa00,def_int_long,0,,,,,
player,201112110det,min,DeanLa00,pass_defended,0,,,,,
player,201112110det,min,DeanLa00,sacks,0.0,,,,,
player,201112110det,min,DeanLa00,tackles_combined,1,,,,,
player,201112110det,min,DeanLa00,tackles_solo,1,,,,,
player,201112110det,min,DeanLa00,tackles_assists,0,,,,,
player,201112110det,min,DeanLa00,tackles_loss,0,,,,,
player,201112110det,min,DeanLa00,qb_hits,0,,,,,
player,201112110det,min,DeanLa00,fumbles_rec,0,,,,,
player,201112110det,min,DeanLa00,fumbles_rec_yds,0,,,,,
player,201112110det,min,DeanLa00,fumbles_rec_td,0,,,,,
player,201112110det,min,DeanLa00,fumbles_forced,0,,,,,
player,201112110det,min,GrifCe20,def_int,0,,,,,
player,201112110det,min,GrifCe20,def_int_yds,0,,,,,
player,201112110det,min,GrifCe20,def_int_td,0,,,,,
player,201112110det,min,GrifCe20,def_int_long,0,,,,,
player,201112110det,min,GrifCe20,pass_defended,0,,,,,
