game,2011,6,20111016,201110160nwe,dal,"Dallas Cowboys",16,nwe,"New England Patriots",20
player,201110160nwe,nwe,HernAa00,pass_rating,,,,,,
player,201110160nwe,nwe,HernAa00,rush_att,0,,,,,
player,201110160nwe,nwe,HernAa00,rush_yds,0,,,,,
player,201110160nwe,nwe,HernAa00,rush_td,0,,,,,
player,201110160nwe,nwe,HernAa00,rush_long,0,,,,,
player,201110160nwe,nwe,HernAa00,targets,14,,,,,
player,201110160nwe,nwe,HernAa00,rec,8,,,,,
player,201110160nwe,nwe,HernAa00,rec_yds,68,,,,,
player,201110160nwe,nwe,HernAa00,rec_td,1,,,,,
player,201110160nwe,nwe,HernAa00,rec_long,16,,,,,
player,201110160nwe,nwe,HernAa00,fumbles,1,,,,,
player,201110160nwe,nwe,HernAa00,fumbles_lost,1,,,,,
player,201110160nwe,nwe,WelkWe00,pass_cmp,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_att,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_yds,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_td,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_int,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_sacked,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_long,0,,,,,
player,201110160nwe,nwe,WelkWe00,pass_rating,,,,,,
player,201110160nwe,nwe,WelkWe00,rush_att,0,,,,,
player,201110160nwe,nwe,WelkWe00,rush_yds,0,,,,,
player,201110160nwe,nwe,WelkWe00,rush_td,0,,,,,
player,201110160nwe,nwe,WelkWe00,rush_long,0,,,,,
player,201110160nwe,nwe,WelkWe00,targets,10,,,,,
player,201110160nwe,nwe,WelkWe00,rec,6,,,,,
player,201110160nwe,nwe,WelkWe00,rec_yds,45,,,,,
player,201110160nwe,nwe,WelkWe00,rec_td,1,,,,,
player,201110160nwe,nwe,WelkWe00,rec_long,13,,,,,
player,201110160nwe,nwe,WelkWe00,fumbles,0,,,,,
player,201110160nwe,nwe,WelkWe00,fumbles_lost,,,,,,
player,201110160nwe,nwe,JohnCh01,pass_cmp,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_att,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_yds,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_td,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_int,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_sacked,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_sacked_yds,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_long,0,,,,,
player,201110160nwe,nwe,JohnCh01,pass_rating,,,,,,
player,201110160nwe,nwe,JohnCh01,rush_att,0,,,,,
player,201110160nwe,nwe,JohnCh01,rush_yds,0,,,,,
player,201110160nwe,nwe,JohnCh01,rush_td,0,,,,,
player,201110160nwe,nwe,JohnCh01,rush_long,0,,,,,
player,201110160nwe,nwe,JohnCh01,targets,1,,,,,
player,201110160nwe,nwe,JohnCh01,rec,0,,,,,
player,201110160nwe,nwe,JohnCh01,rec_yds,0,,,,,
player,201110160nwe,nwe,JohnCh01,rec_td,0,,,,,
player,201110160nwe,nwe,JohnCh01,rec_long,0,,,,,
player,201110160nwe,nwe,JohnCh01,fumbles,0,,,,,
player,201110160nwe,nwe,JohnCh01,fumbles_lost,,,,,,
player,201110160nwe,dal,LeexSe99,def_int,1,,,,,
player,201110160nwe,dal,LeexSe99,def_int_yds,6,,,,,
player,201110160nwe,dal,LeexSe99,def_int_td,0,,,,,
player,201110160nwe,dal,LeexSe99,def_int_long,6,,,,,
player,201110160nwe,dal,LeexSe99,pass_defended,1,,,,,
player,201110160nwe,dal,LeexSe99,sacks,0.0,,,,,
player,201110160nwe,dal,LeexSe99,tackles_combined,12,,,,,
player,201110160nwe,dal,LeexSe99,tackles_solo,6,,,,,
player,201110160nwe,dal,LeexSe99,tackles_assists,6,,,,,
player,201110160nwe,dal,LeexSe99,tackles_loss,2,,,,,
