game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,sfo,DixoAn00,rec_td,0,,,,,
player,201112190sfo,sfo,DixoAn00,rec_long,0,,,,,
player,201112190sfo,sfo,DixoAn00,fumbles,0,,,,,
player,201112190sfo,sfo,DixoAn00,fumbles_lost,,,,,,
player,201112190sfo,sfo,GinnTe00,pass_cmp,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_att,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_yds,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_td,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_int,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_sacked,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_long,0,,,,,
player,201112190sfo,sfo,GinnTe00,pass_rating,,,,,,
player,201112190sfo,sfo,GinnTe00,rush_att,1,,,,,
player,201112190sfo,sfo,GinnTe00,rush_yds,6,,,,,
player,201112190sfo,sfo,GinnTe00,rush_td,0,,,,,
player,201112190sfo,sfo,GinnTe00,rush_long,6,,,,,
player,201112190sfo,sfo,GinnTe00,targets,1,,,,,
player,201112190sfo,sfo,GinnTe00,rec,1,,,,,
player,201112190sfo,sfo,GinnTe00,rec_yds,14,,,,,
player,201112190sfo,sfo,GinnTe00,rec_td,0,,,,,
player,201112190sfo,sfo,GinnTe00,rec_long,14,,,,,
player,201112190sfo,sfo,GinnTe00,fumbles,0,,,,,
player,201112190sfo,sfo,GinnTe00,fumbles_lost,,,,,,
player,201112190sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_att,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_td,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_int,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201112190sfo,sfo,MillBr02,pass_long,0,,,,,
