game,2011,8,20111030,201110300den,det,"Detroit Lions",45,den,"Denver Broncos",10
player,201110300den,den,ThomJu00,fumbles,0,,,,,
player,201110300den,den,ThomJu00,fumbles_lost,,,,,,
player,201110300den,det,HousCh99,def_int,1,,,,,
player,201110300den,det,HousCh99,def_int_yds,100,,,,,
player,201110300den,det,HousCh99,def_int_td,1,,,,,
player,201110300den,det,HousCh99,def_int_long,100,,,,,
player,201110300den,det,HousCh99,pass_defended,2,,,,,
player,201110300den,det,HousCh99,sacks,0.0,,,,,
player,201110300den,det,HousCh99,tackles_combined,6,,,,,
player,201110300den,det,HousCh99,tackles_solo,4,,,,,
player,201110300den,det,HousCh99,tackles_assists,2,,,,,
player,201110300den,det,HousCh99,tackles_loss,0,,,,,
player,201110300den,det,HousCh99,qb_hits,0,,,,,
player,201110300den,det,HousCh99,fumbles_rec,0,,,,,
player,201110300den,det,HousCh99,fumbles_rec_yds,0,,,,,
player,201110300den,det,HousCh99,fumbles_rec_td,0,,,,,
player,201110300den,det,HousCh99,fumbles_forced,0,,,,,
player,201110300den,det,JackLa98,def_int,0,,,,,
player,201110300den,det,JackLa98,def_int_yds,0,,,,,
player,201110300den,det,JackLa98,def_int_td,0,,,,,
player,201110300den,det,JackLa98,def_int_long,0,,,,,
player,201110300den,det,JackLa98,pass_defended,0,,,,,
player,201110300den,det,JackLa98,sacks,2.0,,,,,
player,201110300den,det,JackLa98,tackles_combined,4,,,,,
player,201110300den,det,JackLa98,tackles_solo,3,,,,,
player,201110300den,det,JackLa98,tackles_assists,1,,,,,
player,201110300den,det,JackLa98,tackles_loss,2,,,,,
player,201110300den,det,JackLa98,qb_hits,2,,,,,
