game,2011,10,20111113,201111130tam,htx,"Houston Texans",37,tam,"Tampa Bay Buccaneers",9
player,201111130tam,tam,LumpKr00,rec_yds,30,,,,,
player,201111130tam,tam,LumpKr00,rec_td,0,,,,,
player,201111130tam,tam,LumpKr00,rec_long,16,,,,,
player,201111130tam,tam,LumpKr00,fumbles,0,,,,,
player,201111130tam,tam,LumpKr00,fumbles_lost,,,,,,
player,201111130tam,tam,BennAr00,pass_cmp,0,,,,,
player,201111130tam,tam,BennAr00,pass_att,0,,,,,
player,201111130tam,tam,BennAr00,pass_yds,0,,,,,
player,201111130tam,tam,BennAr00,pass_td,0,,,,,
player,201111130tam,tam,BennAr00,pass_int,0,,,,,
player,201111130tam,tam,BennAr00,pass_sacked,0,,,,,
player,201111130tam,tam,BennAr00,pass_sacked_yds,0,,,,,
player,201111130tam,tam,BennAr00,pass_long,0,,,,,
player,201111130tam,tam,BennAr00,pass_rating,,,,,,
player,201111130tam,tam,BennAr00,rush_att,0,,,,,
player,201111130tam,tam,BennAr00,rush_yds,0,,,,,
player,201111130tam,tam,BennAr00,rush_td,0,,,,,
player,201111130tam,tam,BennAr00,rush_long,0,,,,,
player,201111130tam,tam,BennAr00,targets,6,,,,,
player,201111130tam,tam,BennAr00,rec,2,,,,,
player,201111130tam,tam,BennAr00,rec_yds,47,,,,,
player,201111130tam,tam,BennAr00,rec_td,0,,,,,
player,201111130tam,tam,BennAr00,rec_long,33,,,,,
player,201111130tam,tam,BennAr00,fumbles,0,,,,,
player,201111130tam,tam,BennAr00,fumbles_lost,,,,,,
player,201111130tam,tam,WillMi04,pass_cmp,0,,,,,
player,201111130tam,tam,WillMi04,pass_att,0,,,,,
player,201111130tam,tam,WillMi04,pass_yds,0,,,,,
player,201111130tam,tam,WillMi04,pass_td,0,,,,,
player,201111130tam,tam,WillMi04,pass_int,0,,,,,
player,201111130tam,tam,WillMi04,pass_sacked,0,,,,,
player,201111130tam,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201111130tam,tam,WillMi04,pass_long,0,,,,,
player,201111130tam,tam,WillMi04,pass_rating,,,,,,
player,201111130tam,tam,WillMi04,rush_att,0,,,,,
player,201111130tam,tam,WillMi04,rush_yds,0,,,,,
player,201111130tam,tam,WillMi04,rush_td,0,,,,,
player,201111130tam,tam,WillMi04,rush_long,0,,,,,
player,201111130tam,tam,WillMi04,targets,5,,,,,
player,201111130tam,tam,WillMi04,rec,2,,,,,
player,201111130tam,tam,WillMi04,rec_yds,43,,,,,
player,201111130tam,tam,WillMi04,rec_td,0,,,,,
player,201111130tam,tam,WillMi04,rec_long,23,,,,,
player,201111130tam,tam,WillMi04,fumbles,0,,,,,
player,201111130tam,tam,WillMi04,fumbles_lost,,,,,,
player,201111130tam,tam,WinsKe01,pass_cmp,0,,,,,
player,201111130tam,tam,WinsKe01,pass_att,0,,,,,
player,201111130tam,tam,WinsKe01,pass_yds,0,,,,,
