game,2011,13,20111204,201112040min,den,"Denver Broncos",35,min,"Minnesota Vikings",32
player,201112040min,den,WoodWe20,tackles_assists,2,,,,,
player,201112040min,den,WoodWe20,tackles_loss,0,,,,,
player,201112040min,den,WoodWe20,qb_hits,0,,,,,
player,201112040min,den,WoodWe20,fumbles_rec,0,,,,,
player,201112040min,den,WoodWe20,fumbles_rec_yds,0,,,,,
player,201112040min,den,WoodWe20,fumbles_rec_td,0,,,,,
player,201112040min,den,WoodWe20,fumbles_forced,0,,,,,
player,201112040min,den,HarrCh01,def_int,0,,,,,
player,201112040min,den,HarrCh01,def_int_yds,0,,,,,
player,201112040min,den,HarrCh01,def_int_td,0,,,,,
player,201112040min,den,HarrCh01,def_int_long,0,,,,,
player,201112040min,den,HarrCh01,pass_defended,0,,,,,
player,201112040min,den,HarrCh01,sacks,0.0,,,,,
player,201112040min,den,HarrCh01,tackles_combined,4,,,,,
player,201112040min,den,HarrCh01,tackles_solo,4,,,,,
player,201112040min,den,HarrCh01,tackles_assists,0,,,,,
player,201112040min,den,HarrCh01,tackles_loss,0,,,,,
