game,2011,4,20111003,201110030tam,clt,"Indianapolis Colts",17,tam,"Tampa Bay Buccaneers",24
player,201110030tam,tam,LumpKr00,pass_yds,0,,,,,
player,201110030tam,tam,LumpKr00,pass_td,0,,,,,
player,201110030tam,tam,LumpKr00,pass_int,0,,,,,
player,201110030tam,tam,LumpKr00,pass_sacked,0,,,,,
player,201110030tam,tam,LumpKr00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,LumpKr00,pass_long,0,,,,,
player,201110030tam,tam,LumpKr00,pass_rating,,,,,,
player,201110030tam,tam,LumpKr00,rush_att,0,,,,,
player,201110030tam,tam,LumpKr00,rush_yds,0,,,,,
player,201110030tam,tam,LumpKr00,rush_td,0,,,,,
player,201110030tam,tam,LumpKr00,rush_long,0,,,,,
player,201110030tam,tam,LumpKr00,targets,3,,,,,
player,201110030tam,tam,LumpKr00,rec,3,,,,,
player,201110030tam,tam,LumpKr00,rec_yds,25,,,,,
player,201110030tam,tam,LumpKr00,rec_td,0,,,,,
player,201110030tam,tam,LumpKr00,rec_long,10,,,,,
player,201110030tam,tam,LumpKr00,fumbles,0,,,,,
player,201110030tam,tam,LumpKr00,fumbles_lost,,,,,,
player,201110030tam,tam,StocLu00,pass_cmp,0,,,,,
player,201110030tam,tam,StocLu00,pass_att,0,,,,,
player,201110030tam,tam,StocLu00,pass_yds,0,,,,,
player,201110030tam,tam,StocLu00,pass_td,0,,,,,
player,201110030tam,tam,StocLu00,pass_int,0,,,,,
player,201110030tam,tam,StocLu00,pass_sacked,0,,,,,
player,201110030tam,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201110030tam,tam,StocLu00,pass_long,0,,,,,
player,201110030tam,tam,StocLu00,pass_rating,,,,,,
player,201110030tam,tam,StocLu00,rush_att,0,,,,,
player,201110030tam,tam,StocLu00,rush_yds,0,,,,,
player,201110030tam,tam,StocLu00,rush_td,0,,,,,
player,201110030tam,tam,StocLu00,rush_long,0,,,,,
player,201110030tam,tam,StocLu00,targets,4,,,,,
player,201110030tam,tam,StocLu00,rec,2,,,,,
player,201110030tam,tam,StocLu00,rec_yds,9,,,,,
player,201110030tam,tam,StocLu00,rec_td,0,,,,,
player,201110030tam,tam,StocLu00,rec_long,5,,,,,
player,201110030tam,tam,StocLu00,fumbles,0,,,,,
player,201110030tam,tam,StocLu00,fumbles_lost,,,,,,
player,201110030tam,tam,LoriEr99,pass_cmp,0,,,,,
player,201110030tam,tam,LoriEr99,pass_att,0,,,,,
player,201110030tam,tam,LoriEr99,pass_yds,0,,,,,
player,201110030tam,tam,LoriEr99,pass_td,0,,,,,
player,201110030tam,tam,LoriEr99,pass_int,0,,,,,
player,201110030tam,tam,LoriEr99,pass_sacked,0,,,,,
player,201110030tam,tam,LoriEr99,pass_sacked_yds,0,,,,,
player,201110030tam,tam,LoriEr99,pass_long,0,,,,,
player,201110030tam,tam,LoriEr99,pass_rating,,,,,,
player,201110030tam,tam,LoriEr99,rush_att,0,,,,,
player,201110030tam,tam,LoriEr99,rush_yds,0,,,,,
player,201110030tam,tam,LoriEr99,rush_td,0,,,,,
player,201110030tam,tam,LoriEr99,rush_long,0,,,,,
player,201110030tam,tam,LoriEr99,targets,1,,,,,
player,201110030tam,tam,LoriEr99,rec,0,,,,,
player,201110030tam,tam,LoriEr99,rec_yds,0,,,,,
player,201110030tam,tam,LoriEr99,rec_td,0,,,,,
player,201110030tam,tam,LoriEr99,rec_long,0,,,,,
player,201110030tam,tam,LoriEr99,fumbles,0,,,,,
player,201110030tam,tam,LoriEr99,fumbles_lost,,,,,,
player,201110030tam,clt,MathRo20,def_int,0,,,,,
player,201110030tam,clt,MathRo20,def_int_yds,0,,,,,
player,201110030tam,clt,MathRo20,def_int_td,0,,,,,
player,201110030tam,clt,MathRo20,def_int_long,0,,,,,
player,201110030tam,clt,MathRo20,pass_defended,0,,,,,
player,201110030tam,clt,MathRo20,sacks,1.0,,,,,
player,201110030tam,clt,MathRo20,tackles_combined,4,,,,,
player,201110030tam,clt,MathRo20,tackles_solo,4,,,,,
player,201110030tam,clt,MathRo20,tackles_assists,0,,,,,
player,201110030tam,clt,MathRo20,tackles_loss,2,,,,,
player,201110030tam,clt,MathRo20,qb_hits,2,,,,,
player,201110030tam,clt,MathRo20,fumbles_rec,0,,,,,
player,201110030tam,clt,MathRo20,fumbles_rec_yds,0,,,,,
player,201110030tam,clt,MathRo20,fumbles_rec_td,0,,,,,
player,201110030tam,clt,MathRo20,fumbles_forced,0,,,,,
player,201110030tam,clt,HughJe99,def_int,0,,,,,
player,201110030tam,clt,HughJe99,def_int_yds,0,,,,,
player,201110030tam,clt,HughJe99,def_int_td,0,,,,,
player,201110030tam,clt,HughJe99,def_int_long,0,,,,,
player,201110030tam,clt,HughJe99,pass_defended,0,,,,,
player,201110030tam,clt,HughJe99,sacks,1.0,,,,,
player,201110030tam,clt,HughJe99,tackles_combined,1,,,,,
player,201110030tam,clt,HughJe99,tackles_solo,1,,,,,
player,201110030tam,clt,HughJe99,tackles_assists,0,,,,,
player,201110030tam,clt,HughJe99,tackles_loss,0,,,,,
player,201110030tam,clt,HughJe99,qb_hits,1,,,,,
player,201110030tam,clt,HughJe99,fumbles_rec,0,,,,,
player,201110030tam,clt,HughJe99,fumbles_rec_yds,0,,,,,
player,201110030tam,clt,HughJe99,fumbles_rec_td,0,,,,,
player,201110030tam,clt,HughJe99,fumbles_forced,0,,,,,
player,201110030tam,clt,ConnKa99,def_int,0,,,,,
