game,2011,15,20111215,201112150atl,jax,"Jacksonville Jaguars",14,atl,"Atlanta Falcons",41
player,201112150atl,jax,PoluPa99,pass_defended,0,,,,,
player,201112150atl,jax,PoluPa99,sacks,0.0,,,,,
player,201112150atl,jax,PoluPa99,tackles_combined,8,,,,,
player,201112150atl,jax,PoluPa99,tackles_solo,3,,,,,
player,201112150atl,jax,PoluPa99,tackles_assists,5,,,,,
player,201112150atl,jax,PoluPa99,tackles_loss,0,,,,,
player,201112150atl,jax,PoluPa99,qb_hits,0,,,,,
player,201112150atl,jax,PoluPa99,fumbles_rec,0,,,,,
player,201112150atl,jax,PoluPa99,fumbles_rec_yds,0,,,,,
player,201112150atl,jax,PoluPa99,fumbles_rec_td,0,,,,,
player,201112150atl,jax,PoluPa99,fumbles_forced,0,,,,,
player,201112150atl,jax,YoubAs20,def_int,0,,,,,
player,201112150atl,jax,YoubAs20,def_int_yds,0,,,,,
player,201112150atl,jax,YoubAs20,def_int_td,0,,,,,
player,201112150atl,jax,YoubAs20,def_int_long,0,,,,,
player,201112150atl,jax,YoubAs20,pass_defended,1,,,,,
player,201112150atl,jax,YoubAs20,sacks,0.0,,,,,
player,201112150atl,jax,YoubAs20,tackles_combined,8,,,,,
player,201112150atl,jax,YoubAs20,tackles_solo,7,,,,,
player,201112150atl,jax,YoubAs20,tackles_assists,1,,,,,
player,201112150atl,jax,YoubAs20,tackles_loss,1,,,,,
player,201112150atl,jax,YoubAs20,qb_hits,0,,,,,
player,201112150atl,jax,YoubAs20,fumbles_rec,0,,,,,
player,201112150atl,jax,YoubAs20,fumbles_rec_yds,0,,,,,
player,201112150atl,jax,YoubAs20,fumbles_rec_td,0,,,,,
player,201112150atl,jax,YoubAs20,fumbles_forced,0,,,,,
player,201112150atl,jax,OwusAk99,def_int,0,,,,,
player,201112150atl,jax,OwusAk99,def_int_yds,0,,,,,
player,201112150atl,jax,OwusAk99,def_int_td,0,,,,,
player,201112150atl,jax,OwusAk99,def_int_long,0,,,,,
player,201112150atl,jax,OwusAk99,pass_defended,0,,,,,
player,201112150atl,jax,OwusAk99,sacks,0.0,,,,,
player,201112150atl,jax,OwusAk99,tackles_combined,7,,,,,
player,201112150atl,jax,OwusAk99,tackles_solo,3,,,,,
player,201112150atl,jax,OwusAk99,tackles_assists,4,,,,,
player,201112150atl,jax,OwusAk99,tackles_loss,0,,,,,
