game,2011,4,20111002,201110020cle,oti,"Tennessee Titans",31,cle,"Cleveland Browns",13
player,201110020cle,cle,WatsBe00,pass_long,0,,,,,
player,201110020cle,cle,WatsBe00,pass_rating,,,,,,
player,201110020cle,cle,WatsBe00,rush_att,0,,,,,
player,201110020cle,cle,WatsBe00,rush_yds,0,,,,,
player,201110020cle,cle,WatsBe00,rush_td,0,,,,,
player,201110020cle,cle,WatsBe00,rush_long,0,,,,,
player,201110020cle,cle,WatsBe00,targets,9,,,,,
player,201110020cle,cle,WatsBe00,rec,6,,,,,
player,201110020cle,cle,WatsBe00,rec_yds,48,,,,,
player,201110020cle,cle,WatsBe00,rec_td,1,,,,,
player,201110020cle,cle,WatsBe00,rec_long,18,,,,,
player,201110020cle,cle,WatsBe00,fumbles,0,,,,,
player,201110020cle,cle,WatsBe00,fumbles_lost,,,,,,
player,201110020cle,cle,MassMo00,pass_cmp,0,,,,,
player,201110020cle,cle,MassMo00,pass_att,0,,,,,
player,201110020cle,cle,MassMo00,pass_yds,0,,,,,
player,201110020cle,cle,MassMo00,pass_td,0,,,,,
player,201110020cle,cle,MassMo00,pass_int,0,,,,,
player,201110020cle,cle,MassMo00,pass_sacked,0,,,,,
player,201110020cle,cle,MassMo00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,MassMo00,pass_long,0,,,,,
player,201110020cle,cle,MassMo00,pass_rating,,,,,,
player,201110020cle,cle,MassMo00,rush_att,0,,,,,
player,201110020cle,cle,MassMo00,rush_yds,0,,,,,
player,201110020cle,cle,MassMo00,rush_td,0,,,,,
player,201110020cle,cle,MassMo00,rush_long,0,,,,,
player,201110020cle,cle,MassMo00,targets,9,,,,,
player,201110020cle,cle,MassMo00,rec,6,,,,,
player,201110020cle,cle,MassMo00,rec_yds,46,,,,,
player,201110020cle,cle,MassMo00,rec_td,0,,,,,
player,201110020cle,cle,MassMo00,rec_long,13,,,,,
player,201110020cle,cle,MassMo00,fumbles,0,,,,,
player,201110020cle,cle,MassMo00,fumbles_lost,,,,,,
player,201110020cle,cle,RobiBr00,pass_cmp,0,,,,,
player,201110020cle,cle,RobiBr00,pass_att,0,,,,,
player,201110020cle,cle,RobiBr00,pass_yds,0,,,,,
player,201110020cle,cle,RobiBr00,pass_td,0,,,,,
player,201110020cle,cle,RobiBr00,pass_int,0,,,,,
player,201110020cle,cle,RobiBr00,pass_sacked,0,,,,,
player,201110020cle,cle,RobiBr00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,RobiBr00,pass_long,0,,,,,
player,201110020cle,cle,RobiBr00,pass_rating,,,,,,
player,201110020cle,cle,RobiBr00,rush_att,0,,,,,
player,201110020cle,cle,RobiBr00,rush_yds,0,,,,,
player,201110020cle,cle,RobiBr00,rush_td,0,,,,,
player,201110020cle,cle,RobiBr00,rush_long,0,,,,,
player,201110020cle,cle,RobiBr00,targets,3,,,,,
player,201110020cle,cle,RobiBr00,rec,3,,,,,
player,201110020cle,cle,RobiBr00,rec_yds,25,,,,,
player,201110020cle,cle,RobiBr00,rec_td,0,,,,,
player,201110020cle,cle,RobiBr00,rec_long,14,,,,,
player,201110020cle,cle,RobiBr00,fumbles,0,,,,,
player,201110020cle,cle,RobiBr00,fumbles_lost,,,,,,
player,201110020cle,cle,NorwJo00,pass_cmp,0,,,,,
player,201110020cle,cle,NorwJo00,pass_att,0,,,,,
player,201110020cle,cle,NorwJo00,pass_yds,0,,,,,
player,201110020cle,cle,NorwJo00,pass_td,0,,,,,
player,201110020cle,cle,NorwJo00,pass_int,0,,,,,
player,201110020cle,cle,NorwJo00,pass_sacked,0,,,,,
player,201110020cle,cle,NorwJo00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,NorwJo00,pass_long,0,,,,,
player,201110020cle,cle,NorwJo00,pass_rating,,,,,,
player,201110020cle,cle,NorwJo00,rush_att,0,,,,,
player,201110020cle,cle,NorwJo00,rush_yds,0,,,,,
player,201110020cle,cle,NorwJo00,rush_td,0,,,,,
player,201110020cle,cle,NorwJo00,rush_long,0,,,,,
player,201110020cle,cle,NorwJo00,targets,1,,,,,
player,201110020cle,cle,NorwJo00,rec,1,,,,,
player,201110020cle,cle,NorwJo00,rec_yds,19,,,,,
player,201110020cle,cle,NorwJo00,rec_td,0,,,,,
player,201110020cle,cle,NorwJo00,rec_long,19,,,,,
player,201110020cle,cle,NorwJo00,fumbles,0,,,,,
player,201110020cle,cle,NorwJo00,fumbles_lost,,,,,,
player,201110020cle,cle,MoorEv00,pass_cmp,0,,,,,
player,201110020cle,cle,MoorEv00,pass_att,0,,,,,
player,201110020cle,cle,MoorEv00,pass_yds,0,,,,,
player,201110020cle,cle,MoorEv00,pass_td,0,,,,,
player,201110020cle,cle,MoorEv00,pass_int,0,,,,,
player,201110020cle,cle,MoorEv00,pass_sacked,0,,,,,
player,201110020cle,cle,MoorEv00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,MoorEv00,pass_long,0,,,,,
player,201110020cle,cle,MoorEv00,pass_rating,,,,,,
player,201110020cle,cle,MoorEv00,rush_att,0,,,,,
player,201110020cle,cle,MoorEv00,rush_yds,0,,,,,
player,201110020cle,cle,MoorEv00,rush_td,0,,,,,
player,201110020cle,cle,MoorEv00,rush_long,0,,,,,
player,201110020cle,cle,MoorEv00,targets,2,,,,,
player,201110020cle,cle,MoorEv00,rec,1,,,,,
player,201110020cle,cle,MoorEv00,rec_yds,15,,,,,
player,201110020cle,cle,MoorEv00,rec_td,0,,,,,
player,201110020cle,cle,MoorEv00,rec_long,15,,,,,
player,201110020cle,cle,MoorEv00,fumbles,0,,,,,
player,201110020cle,cle,MoorEv00,fumbles_lost,,,,,,
player,201110020cle,cle,SmitAl02,pass_cmp,0,,,,,
player,201110020cle,cle,SmitAl02,pass_att,0,,,,,
player,201110020cle,cle,SmitAl02,pass_yds,0,,,,,
player,201110020cle,cle,SmitAl02,pass_td,0,,,,,
player,201110020cle,cle,SmitAl02,pass_int,0,,,,,
player,201110020cle,cle,SmitAl02,pass_sacked,0,,,,,
player,201110020cle,cle,SmitAl02,pass_sacked_yds,0,,,,,
player,201110020cle,cle,SmitAl02,pass_long,0,,,,,
player,201110020cle,cle,SmitAl02,pass_rating,,,,,,
player,201110020cle,cle,SmitAl02,rush_att,0,,,,,
player,201110020cle,cle,SmitAl02,rush_yds,0,,,,,
player,201110020cle,cle,SmitAl02,rush_td,0,,,,,
player,201110020cle,cle,SmitAl02,rush_long,0,,,,,
player,201110020cle,cle,SmitAl02,targets,2,,,,,
player,201110020cle,cle,SmitAl02,rec,1,,,,,
player,201110020cle,cle,SmitAl02,rec_yds,13,,,,,
player,201110020cle,cle,SmitAl02,rec_td,0,,,,,
player,201110020cle,cle,SmitAl02,rec_long,13,,,,,
player,201110020cle,cle,SmitAl02,fumbles,0,,,,,
player,201110020cle,cle,SmitAl02,fumbles_lost,,,,,,
player,201110020cle,cle,MareOw00,pass_cmp,0,,,,,
player,201110020cle,cle,MareOw00,pass_att,0,,,,,
player,201110020cle,cle,MareOw00,pass_yds,0,,,,,
player,201110020cle,cle,MareOw00,pass_td,0,,,,,
player,201110020cle,cle,MareOw00,pass_int,0,,,,,
player,201110020cle,cle,MareOw00,pass_sacked,0,,,,,
player,201110020cle,cle,MareOw00,pass_sacked_yds,0,,,,,
player,201110020cle,cle,MareOw00,pass_long,0,,,,,
player,201110020cle,cle,MareOw00,pass_rating,,,,,,
player,201110020cle,cle,MareOw00,rush_att,0,,,,,
player,201110020cle,cle,MareOw00,rush_yds,0,,,,,
player,201110020cle,cle,MareOw00,rush_td,0,,,,,
player,201110020cle,cle,MareOw00,rush_long,0,,,,,
player,201110020cle,cle,MareOw00,targets,1,,,,,
player,201110020cle,cle,MareOw00,rec,1,,,,,
