game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
player,201111200cle,jax,PoluPa99,def_int_yds,0,,,,,
player,201111200cle,jax,PoluPa99,def_int_td,0,,,,,
player,201111200cle,jax,PoluPa99,def_int_long,0,,,,,
player,201111200cle,jax,PoluPa99,pass_defended,0,,,,,
player,201111200cle,jax,PoluPa99,sacks,0.5,,,,,
player,201111200cle,jax,PoluPa99,tackles_combined,5,,,,,
player,201111200cle,jax,PoluPa99,tackles_solo,2,,,,,
player,201111200cle,jax,PoluPa99,tackles_assists,3,,,,,
player,201111200cle,jax,PoluPa99,tackles_loss,0,,,,,
player,201111200cle,jax,PoluPa99,qb_hits,1,,,,,
player,201111200cle,jax,PoluPa99,fumbles_rec,0,,,,,
player,201111200cle,jax,PoluPa99,fumbles_rec_yds,0,,,,,
player,201111200cle,jax,PoluPa99,fumbles_rec_td,0,,,,,
player,201111200cle,jax,PoluPa99,fumbles_forced,0,,,,,
player,201111200cle,jax,AluaTy99,def_int,0,,,,,
player,201111200cle,jax,AluaTy99,def_int_yds,0,,,,,
player,201111200cle,jax,AluaTy99,def_int_td,0,,,,,
player,201111200cle,jax,AluaTy99,def_int_long,0,,,,,
player,201111200cle,jax,AluaTy99,pass_defended,0,,,,,
player,201111200cle,jax,AluaTy99,sacks,0.5,,,,,
player,201111200cle,jax,AluaTy99,tackles_combined,3,,,,,
player,201111200cle,jax,AluaTy99,tackles_solo,1,,,,,
player,201111200cle,jax,AluaTy99,tackles_assists,2,,,,,
player,201111200cle,jax,AluaTy99,tackles_loss,0,,,,,
player,201111200cle,jax,AluaTy99,qb_hits,1,,,,,
player,201111200cle,jax,AluaTy99,fumbles_rec,0,,,,,
player,201111200cle,jax,AluaTy99,fumbles_rec_yds,0,,,,,
player,201111200cle,jax,AluaTy99,fumbles_rec_td,0,,,,,
player,201111200cle,jax,AluaTy99,fumbles_forced,0,,,,,
player,201111200cle,jax,RothMa20,def_int,0,,,,,
player,201111200cle,jax,RothMa20,def_int_yds,0,,,,,
player,201111200cle,jax,RothMa20,def_int_td,0,,,,,
player,201111200cle,jax,RothMa20,def_int_long,0,,,,,
player,201111200cle,jax,RothMa20,pass_defended,0,,,,,
player,201111200cle,jax,RothMa20,sacks,0.5,,,,,
player,201111200cle,jax,RothMa20,tackles_combined,3,,,,,
player,201111200cle,jax,RothMa20,tackles_solo,2,,,,,
player,201111200cle,jax,RothMa20,tackles_assists,1,,,,,
player,201111200cle,jax,RothMa20,tackles_loss,0,,,,,
player,201111200cle,jax,RothMa20,qb_hits,2,,,,,
player,201111200cle,jax,RothMa20,fumbles_rec,0,,,,,
player,201111200cle,jax,RothMa20,fumbles_rec_yds,0,,,,,
