game,2011,3,20110925,201109250ram,rav,"Baltimore Ravens",37,ram,"St. Louis Rams",7
player,201109250ram,ram,WalkMi01,rec_td,0,,,,,
player,201109250ram,ram,WalkMi01,rec_long,14,,,,,
player,201109250ram,ram,WalkMi01,fumbles,0,,,,,
player,201109250ram,ram,WalkMi01,fumbles_lost,,,,,,
player,201109250ram,ram,AlexDa00,pass_cmp,0,,,,,
player,201109250ram,ram,AlexDa00,pass_att,0,,,,,
player,201109250ram,ram,AlexDa00,pass_yds,0,,,,,
player,201109250ram,ram,AlexDa00,pass_td,0,,,,,
player,201109250ram,ram,AlexDa00,pass_int,0,,,,,
player,201109250ram,ram,AlexDa00,pass_sacked,0,,,,,
player,201109250ram,ram,AlexDa00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,AlexDa00,pass_long,0,,,,,
player,201109250ram,ram,AlexDa00,pass_rating,,,,,,
player,201109250ram,ram,AlexDa00,rush_att,0,,,,,
player,201109250ram,ram,AlexDa00,rush_yds,0,,,,,
player,201109250ram,ram,AlexDa00,rush_td,0,,,,,
player,201109250ram,ram,AlexDa00,rush_long,0,,,,,
player,201109250ram,ram,AlexDa00,targets,8,,,,,
player,201109250ram,ram,AlexDa00,rec,2,,,,,
player,201109250ram,ram,AlexDa00,rec_yds,28,,,,,
player,201109250ram,ram,AlexDa00,rec_td,0,,,,,
player,201109250ram,ram,AlexDa00,rec_long,15,,,,,
player,201109250ram,ram,AlexDa00,fumbles,0,,,,,
player,201109250ram,ram,AlexDa00,fumbles_lost,,,,,,
player,201109250ram,ram,HoomMi00,pass_cmp,0,,,,,
player,201109250ram,ram,HoomMi00,pass_att,0,,,,,
player,201109250ram,ram,HoomMi00,pass_yds,0,,,,,
player,201109250ram,ram,HoomMi00,pass_td,0,,,,,
player,201109250ram,ram,HoomMi00,pass_int,0,,,,,
player,201109250ram,ram,HoomMi00,pass_sacked,0,,,,,
player,201109250ram,ram,HoomMi00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,HoomMi00,pass_long,0,,,,,
player,201109250ram,ram,HoomMi00,pass_rating,,,,,,
player,201109250ram,ram,HoomMi00,rush_att,0,,,,,
player,201109250ram,ram,HoomMi00,rush_yds,0,,,,,
player,201109250ram,ram,HoomMi00,rush_td,0,,,,,
player,201109250ram,ram,HoomMi00,rush_long,0,,,,,
player,201109250ram,ram,HoomMi00,targets,3,,,,,
player,201109250ram,ram,HoomMi00,rec,1,,,,,
player,201109250ram,ram,HoomMi00,rec_yds,10,,,,,
player,201109250ram,ram,HoomMi00,rec_td,0,,,,,
player,201109250ram,ram,HoomMi00,rec_long,10,,,,,
player,201109250ram,ram,HoomMi00,fumbles,0,,,,,
player,201109250ram,ram,HoomMi00,fumbles_lost,,,,,,
player,201109250ram,ram,PettAu00,pass_cmp,0,,,,,
player,201109250ram,ram,PettAu00,pass_att,0,,,,,
player,201109250ram,ram,PettAu00,pass_yds,0,,,,,
player,201109250ram,ram,PettAu00,pass_td,0,,,,,
player,201109250ram,ram,PettAu00,pass_int,0,,,,,
player,201109250ram,ram,PettAu00,pass_sacked,0,,,,,
player,201109250ram,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201109250ram,ram,PettAu00,pass_long,0,,,,,
player,201109250ram,ram,PettAu00,pass_rating,,,,,,
player,201109250ram,ram,PettAu00,rush_att,0,,,,,
player,201109250ram,ram,PettAu00,rush_yds,0,,,,,
player,201109250ram,ram,PettAu00,rush_td,0,,,,,
player,201109250ram,ram,PettAu00,rush_long,0,,,,,
player,201109250ram,ram,PettAu00,targets,2,,,,,
player,201109250ram,ram,PettAu00,rec,2,,,,,
player,201109250ram,ram,PettAu00,rec_yds,8,,,,,
player,201109250ram,ram,PettAu00,rec_td,0,,,,,
player,201109250ram,ram,PettAu00,rec_long,5,,,,,
player,201109250ram,ram,PettAu00,fumbles,0,,,,,
player,201109250ram,ram,PettAu00,fumbles_lost,,,,,,
player,201109250ram,ram,KendLa00,pass_cmp,0,,,,,
player,201109250ram,ram,KendLa00,pass_att,0,,,,,
player,201109250ram,ram,KendLa00,pass_yds,0,,,,,
player,201109250ram,ram,KendLa00,pass_td,0,,,,,
player,201109250ram,ram,KendLa00,pass_int,0,,,,,
