game,2011,11,20111120,201111200atl,oti,"Tennessee Titans",17,atl,"Atlanta Falcons",23
player,201111200atl,atl,DougHa00,rush_att,0,,,,,
player,201111200atl,atl,DougHa00,rush_yds,0,,,,,
player,201111200atl,atl,DougHa00,rush_td,0,,,,,
player,201111200atl,atl,DougHa00,rush_long,0,,,,,
player,201111200atl,atl,DougHa00,targets,4,,,,,
player,201111200atl,atl,DougHa00,rec,4,,,,,
player,201111200atl,atl,DougHa00,rec_yds,51,,,,,
player,201111200atl,atl,DougHa00,rec_td,0,,,,,
player,201111200atl,atl,DougHa00,rec_long,21,,,,,
player,201111200atl,atl,DougHa00,fumbles,0,,,,,
player,201111200atl,atl,DougHa00,fumbles_lost,,,,,,
player,201111200atl,atl,WeemEr00,pass_cmp,0,,,,,
player,201111200atl,atl,WeemEr00,pass_att,0,,,,,
player,201111200atl,atl,WeemEr00,pass_yds,0,,,,,
player,201111200atl,atl,WeemEr00,pass_td,0,,,,,
player,201111200atl,atl,WeemEr00,pass_int,0,,,,,
player,201111200atl,atl,WeemEr00,pass_sacked,0,,,,,
player,201111200atl,atl,WeemEr00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,WeemEr00,pass_long,0,,,,,
player,201111200atl,atl,WeemEr00,pass_rating,,,,,,
player,201111200atl,atl,WeemEr00,rush_att,0,,,,,
player,201111200atl,atl,WeemEr00,rush_yds,0,,,,,
player,201111200atl,atl,WeemEr00,rush_td,0,,,,,
player,201111200atl,atl,WeemEr00,rush_long,0,,,,,
player,201111200atl,atl,WeemEr00,targets,3,,,,,
player,201111200atl,atl,WeemEr00,rec,3,,,,,
player,201111200atl,atl,WeemEr00,rec_yds,20,,,,,
player,201111200atl,atl,WeemEr00,rec_td,0,,,,,
player,201111200atl,atl,WeemEr00,rec_long,8,,,,,
player,201111200atl,atl,WeemEr00,fumbles,0,,,,,
player,201111200atl,atl,WeemEr00,fumbles_lost,,,,,,
player,201111200atl,atl,PalmMi00,pass_cmp,0,,,,,
player,201111200atl,atl,PalmMi00,pass_att,0,,,,,
player,201111200atl,atl,PalmMi00,pass_yds,0,,,,,
player,201111200atl,atl,PalmMi00,pass_td,0,,,,,
player,201111200atl,atl,PalmMi00,pass_int,0,,,,,
player,201111200atl,atl,PalmMi00,pass_sacked,0,,,,,
player,201111200atl,atl,PalmMi00,pass_sacked_yds,0,,,,,
player,201111200atl,atl,PalmMi00,pass_long,0,,,,,
player,201111200atl,atl,PalmMi00,pass_rating,,,,,,
player,201111200atl,atl,PalmMi00,rush_att,0,,,,,
player,201111200atl,atl,PalmMi00,rush_yds,0,,,,,
player,201111200atl,atl,PalmMi00,rush_td,0,,,,,
player,201111200atl,atl,PalmMi00,rush_long,0,,,,,
player,201111200atl,atl,PalmMi00,targets,1,,,,,
player,201111200atl,atl,PalmMi00,rec,1,,,,,
player,201111200atl,atl,PalmMi00,rec_yds,11,,,,,
player,201111200atl,atl,PalmMi00,rec_td,0,,,,,
player,201111200atl,atl,PalmMi00,rec_long,11,,,,,
player,201111200atl,atl,PalmMi00,fumbles,0,,,,,
player,201111200atl,atl,PalmMi00,fumbles_lost,,,,,,
player,201111200atl,oti,McCaCo00,def_int,0,,,,,
player,201111200atl,oti,McCaCo00,def_int_yds,0,,,,,
player,201111200atl,oti,McCaCo00,def_int_td,0,,,,,
player,201111200atl,oti,McCaCo00,def_int_long,0,,,,,
player,201111200atl,oti,McCaCo00,pass_defended,0,,,,,
player,201111200atl,oti,McCaCo00,sacks,0.0,,,,,
player,201111200atl,oti,McCaCo00,tackles_combined,10,,,,,
player,201111200atl,oti,McCaCo00,tackles_solo,10,,,,,
player,201111200atl,oti,McCaCo00,tackles_assists,0,,,,,
player,201111200atl,oti,McCaCo00,tackles_loss,3,,,,,
player,201111200atl,oti,McCaCo00,qb_hits,0,,,,,
player,201111200atl,oti,McCaCo00,fumbles_rec,0,,,,,
player,201111200atl,oti,McCaCo00,fumbles_rec_yds,0,,,,,
player,201111200atl,oti,McCaCo00,fumbles_rec_td,0,,,,,
player,201111200atl,oti,McCaCo00,fumbles_forced,1,,,,,
player,201111200atl,oti,McCoJa99,def_int,0,,,,,
player,201111200atl,oti,McCoJa99,def_int_yds,0,,,,,
player,201111200atl,oti,McCoJa99,def_int_td,0,,,,,
player,201111200atl,oti,McCoJa99,def_int_long,0,,,,,
player,201111200atl,oti,McCoJa99,pass_defended,0,,,,,
player,201111200atl,oti,McCoJa99,sacks,0.0,,,,,
player,201111200atl,oti,McCoJa99,tackles_combined,7,,,,,
player,201111200atl,oti,McCoJa99,tackles_solo,6,,,,,
player,201111200atl,oti,McCoJa99,tackles_assists,1,,,,,
player,201111200atl,oti,McCoJa99,tackles_loss,0,,,,,
player,201111200atl,oti,McCoJa99,qb_hits,0,,,,,
player,201111200atl,oti,McCoJa99,fumbles_rec,0,,,,,
player,201111200atl,oti,McCoJa99,fumbles_rec_yds,0,,,,,
player,201111200atl,oti,McCoJa99,fumbles_rec_td,0,,,,,
player,201111200atl,oti,McCoJa99,fumbles_forced,0,,,,,
player,201111200atl,oti,BabiJo21,def_int,0,,,,,
player,201111200atl,oti,BabiJo21,def_int_yds,0,,,,,
player,201111200atl,oti,BabiJo21,def_int_td,0,,,,,
player,201111200atl,oti,BabiJo21,def_int_long,0,,,,,
player,201111200atl,oti,BabiJo21,pass_defended,1,,,,,
player,201111200atl,oti,BabiJo21,sacks,0.0,,,,,
player,201111200atl,oti,BabiJo21,tackles_combined,6,,,,,
player,201111200atl,oti,BabiJo21,tackles_solo,6,,,,,
player,201111200atl,oti,BabiJo21,tackles_assists,0,,,,,
player,201111200atl,oti,BabiJo21,tackles_loss,0,,,,,
player,201111200atl,oti,BabiJo21,qb_hits,0,,,,,
player,201111200atl,oti,BabiJo21,fumbles_rec,0,,,,,
player,201111200atl,oti,BabiJo21,fumbles_rec_yds,0,,,,,
player,201111200atl,oti,BabiJo21,fumbles_rec_td,0,,,,,
player,201111200atl,oti,BabiJo21,fumbles_forced,0,,,,,
player,201111200atl,oti,FinnCo20,def_int,0,,,,,
player,201111200atl,oti,FinnCo20,def_int_yds,0,,,,,
player,201111200atl,oti,FinnCo20,def_int_td,0,,,,,
player,201111200atl,oti,FinnCo20,def_int_long,0,,,,,
player,201111200atl,oti,FinnCo20,pass_defended,0,,,,,
