game,2011,10,20111113,201111130sfo,nyg,"New York Giants",20,sfo,"San Francisco 49ers",27
player,201111130sfo,nyg,MartDe22,sacks,0.0,,,,,
player,201111130sfo,nyg,MartDe22,tackles_combined,1,,,,,
player,201111130sfo,nyg,MartDe22,tackles_solo,1,,,,,
player,201111130sfo,nyg,MartDe22,tackles_assists,0,,,,,
player,201111130sfo,nyg,MartDe22,tackles_loss,0,,,,,
player,201111130sfo,nyg,MartDe22,qb_hits,0,,,,,
player,201111130sfo,nyg,MartDe22,fumbles_rec,0,,,,,
player,201111130sfo,nyg,MartDe22,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,MartDe22,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,MartDe22,fumbles_forced,0,,,,,
player,201111130sfo,nyg,SashTy00,def_int,0,,,,,
player,201111130sfo,nyg,SashTy00,def_int_yds,0,,,,,
player,201111130sfo,nyg,SashTy00,def_int_td,0,,,,,
player,201111130sfo,nyg,SashTy00,def_int_long,0,,,,,
player,201111130sfo,nyg,SashTy00,pass_defended,0,,,,,
player,201111130sfo,nyg,SashTy00,sacks,0.0,,,,,
player,201111130sfo,nyg,SashTy00,tackles_combined,1,,,,,
player,201111130sfo,nyg,SashTy00,tackles_solo,1,,,,,
player,201111130sfo,nyg,SashTy00,tackles_assists,0,,,,,
player,201111130sfo,nyg,SashTy00,tackles_loss,0,,,,,
player,201111130sfo,nyg,SashTy00,qb_hits,0,,,,,
player,201111130sfo,nyg,SashTy00,fumbles_rec,0,,,,,
player,201111130sfo,nyg,SashTy00,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,SashTy00,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,SashTy00,fumbles_forced,0,,,,,
player,201111130sfo,nyg,TuckJu20,def_int,0,,,,,
player,201111130sfo,nyg,TuckJu20,def_int_yds,0,,,,,
player,201111130sfo,nyg,TuckJu20,def_int_td,0,,,,,
player,201111130sfo,nyg,TuckJu20,def_int_long,0,,,,,
player,201111130sfo,nyg,TuckJu20,pass_defended,0,,,,,
player,201111130sfo,nyg,TuckJu20,sacks,0.0,,,,,
player,201111130sfo,nyg,TuckJu20,tackles_combined,0,,,,,
player,201111130sfo,nyg,TuckJu20,tackles_solo,0,,,,,
player,201111130sfo,nyg,TuckJu20,tackles_assists,0,,,,,
player,201111130sfo,nyg,TuckJu20,tackles_loss,0,,,,,
player,201111130sfo,nyg,TuckJu20,qb_hits,1,,,,,
player,201111130sfo,nyg,TuckJu20,fumbles_rec,0,,,,,
player,201111130sfo,nyg,TuckJu20,fumbles_rec_yds,0,,,,,
player,201111130sfo,nyg,TuckJu20,fumbles_rec_td,0,,,,,
player,201111130sfo,nyg,TuckJu20,fumbles_forced,0,,,,,
player,201111130sfo,nyg,BernRo20,def_int,,,,,,
