game,2010,14,20101212,201012120jax,rai,"Oakland Raiders",31,jax,"Jacksonville Jaguars",38
player,201012120jax,jax,MillZa02,rush_yds,0,,,,,
player,201012120jax,jax,MillZa02,rush_td,0,,,,,
player,201012120jax,jax,MillZa02,rush_long,0,,,,,
player,201012120jax,jax,MillZa02,targets,1,,,,,
player,201012120jax,jax,MillZa02,rec,0,,,,,
player,201012120jax,jax,MillZa02,rec_yds,0,,,,,
player,201012120jax,jax,MillZa02,rec_td,0,,,,,
player,201012120jax,jax,MillZa02,rec_long,0,,,,,
player,201012120jax,jax,MillZa02,fumbles,0,,,,,
player,201012120jax,jax,MillZa02,fumbles_lost,,,,,,
player,201012120jax,jax,ThomMi01,pass_cmp,0,,,,,
player,201012120jax,jax,ThomMi01,pass_att,0,,,,,
player,201012120jax,jax,ThomMi01,pass_yds,0,,,,,
player,201012120jax,jax,ThomMi01,pass_td,0,,,,,
player,201012120jax,jax,ThomMi01,pass_int,0,,,,,
player,201012120jax,jax,ThomMi01,pass_sacked,,,,,,
player,201012120jax,jax,ThomMi01,pass_sacked_yds,,,,,,
player,201012120jax,jax,ThomMi01,pass_long,0,,,,,
player,201012120jax,jax,ThomMi01,pass_rating,,,,,,
player,201012120jax,jax,ThomMi01,rush_att,1,,,,,
player,201012120jax,jax,ThomMi01,rush_yds,-8,,,,,
player,201012120jax,jax,ThomMi01,rush_td,0,,,,,
player,201012120jax,jax,ThomMi01,rush_long,-8,,,,,
player,201012120jax,jax,ThomMi01,targets,3,,,,,
player,201012120jax,jax,ThomMi01,rec,0,,,,,
player,201012120jax,jax,ThomMi01,rec_yds,0,,,,,
player,201012120jax,jax,ThomMi01,rec_td,0,,,,,
player,201012120jax,jax,ThomMi01,rec_long,0,,,,,
player,201012120jax,jax,ThomMi01,fumbles,0,,,,,
player,201012120jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201012120jax,rai,MitcMi99,def_int,1,,,,,
player,201012120jax,rai,MitcMi99,def_int_yds,0,,,,,
player,201012120jax,rai,MitcMi99,def_int_td,0,,,,,
player,201012120jax,rai,MitcMi99,def_int_long,0,,,,,
player,201012120jax,rai,MitcMi99,pass_defended,1,,,,,
player,201012120jax,rai,MitcMi99,sacks,0.0,,,,,
player,201012120jax,rai,MitcMi99,tackles_combined,2,,,,,
player,201012120jax,rai,MitcMi99,tackles_solo,2,,,,,
player,201012120jax,rai,MitcMi99,tackles_assists,0,,,,,
player,201012120jax,rai,MitcMi99,tackles_loss,0,,,,,
player,201012120jax,rai,MitcMi99,qb_hits,0,,,,,
player,201012120jax,rai,MitcMi99,fumbles_rec,0,,,,,
player,201012120jax,rai,MitcMi99,fumbles_rec_yds,0,,,,,
player,201012120jax,rai,MitcMi99,fumbles_rec_td,0,,,,,
player,201012120jax,rai,MitcMi99,fumbles_forced,0,,,,,
player,201012120jax,rai,SeymRi00,def_int,0,,,,,
player,201012120jax,rai,SeymRi00,def_int_yds,0,,,,,
player,201012120jax,rai,SeymRi00,def_int_td,0,,,,,
player,201012120jax,rai,SeymRi00,def_int_long,0,,,,,
player,201012120jax,rai,SeymRi00,pass_defended,0,,,,,
player,201012120jax,rai,SeymRi00,sacks,1.0,,,,,
player,201012120jax,rai,SeymRi00,tackles_combined,2,,,,,
player,201012120jax,rai,SeymRi00,tackles_solo,2,,,,,
player,201012120jax,rai,SeymRi00,tackles_assists,0,,,,,
player,201012120jax,rai,SeymRi00,tackles_loss,1,,,,,
player,201012120jax,rai,SeymRi00,qb_hits,2,,,,,
player,201012120jax,rai,SeymRi00,fumbles_rec,0,,,,,
player,201012120jax,rai,SeymRi00,fumbles_rec_yds,0,,,,,
player,201012120jax,rai,SeymRi00,fumbles_rec_td,0,,,,,
player,201012120jax,rai,SeymRi00,fumbles_forced,0,,,,,
player,201012120jax,rai,WimbKa20,def_int,0,,,,,
