game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
player,201011140sfo,sfo,CrabMi00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201011140sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201011140sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201011140sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201011140sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201011140sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201011140sfo,sfo,CrabMi00,targets,5,,,,,
player,201011140sfo,sfo,CrabMi00,rec,4,,,,,
player,201011140sfo,sfo,CrabMi00,rec_yds,61,,,,,
player,201011140sfo,sfo,CrabMi00,rec_td,1,,,,,
player,201011140sfo,sfo,CrabMi00,rec_long,21,,,,,
player,201011140sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201011140sfo,sfo,CrabMi00,fumbles_lost,,,,,,
player,201011140sfo,sfo,WestBr00,pass_cmp,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_att,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_yds,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_td,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_int,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_sacked,,,,,,
player,201011140sfo,sfo,WestBr00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,WestBr00,pass_long,0,,,,,
player,201011140sfo,sfo,WestBr00,pass_rating,,,,,,
player,201011140sfo,sfo,WestBr00,rush_att,0,,,,,
player,201011140sfo,sfo,WestBr00,rush_yds,0,,,,,
player,201011140sfo,sfo,WestBr00,rush_td,0,,,,,
player,201011140sfo,sfo,WestBr00,rush_long,0,,,,,
player,201011140sfo,sfo,WestBr00,targets,1,,,,,
player,201011140sfo,sfo,WestBr00,rec,1,,,,,
player,201011140sfo,sfo,WestBr00,rec_yds,4,,,,,
player,201011140sfo,sfo,WestBr00,rec_td,0,,,,,
player,201011140sfo,sfo,WestBr00,rec_long,4,,,,,
player,201011140sfo,sfo,WestBr00,fumbles,0,,,,,
player,201011140sfo,sfo,WestBr00,fumbles_lost,,,,,,
player,201011140sfo,sfo,GinnTe00,pass_cmp,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_att,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_yds,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_td,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_int,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_sacked,,,,,,
player,201011140sfo,sfo,GinnTe00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,GinnTe00,pass_long,0,,,,,
player,201011140sfo,sfo,GinnTe00,pass_rating,,,,,,
player,201011140sfo,sfo,GinnTe00,rush_att,0,,,,,
player,201011140sfo,sfo,GinnTe00,rush_yds,0,,,,,
player,201011140sfo,sfo,GinnTe00,rush_td,0,,,,,
player,201011140sfo,sfo,GinnTe00,rush_long,0,,,,,
player,201011140sfo,sfo,GinnTe00,targets,2,,,,,
player,201011140sfo,sfo,GinnTe00,rec,0,,,,,
player,201011140sfo,sfo,GinnTe00,rec_yds,0,,,,,
player,201011140sfo,sfo,GinnTe00,rec_td,0,,,,,
player,201011140sfo,sfo,GinnTe00,rec_long,0,,,,,
player,201011140sfo,sfo,GinnTe00,fumbles,0,,,,,
player,201011140sfo,sfo,GinnTe00,fumbles_lost,,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_cmp,0,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_att,0,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_yds,0,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_td,0,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_int,0,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_sacked,,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,ZiegDo00,pass_long,0,,,,,
