game,2010,12,20101128,201011280den,ram,"St. Louis Rams",36,den,"Denver Broncos",33
player,201011280den,den,BallLa00,rush_long,17,,,,,
player,201011280den,den,BallLa00,targets,0,,,,,
player,201011280den,den,BallLa00,rec,0,,,,,
player,201011280den,den,BallLa00,rec_yds,0,,,,,
player,201011280den,den,BallLa00,rec_td,0,,,,,
player,201011280den,den,BallLa00,rec_long,0,,,,,
player,201011280den,den,BallLa00,fumbles,0,,,,,
player,201011280den,den,BallLa00,fumbles_lost,,,,,,
player,201011280den,den,RoyaEd00,pass_cmp,0,,,,,
player,201011280den,den,RoyaEd00,pass_att,0,,,,,
player,201011280den,den,RoyaEd00,pass_yds,0,,,,,
player,201011280den,den,RoyaEd00,pass_td,0,,,,,
player,201011280den,den,RoyaEd00,pass_int,0,,,,,
player,201011280den,den,RoyaEd00,pass_sacked,,,,,,
player,201011280den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201011280den,den,RoyaEd00,pass_long,0,,,,,
player,201011280den,den,RoyaEd00,pass_rating,,,,,,
player,201011280den,den,RoyaEd00,rush_att,1,,,,,
player,201011280den,den,RoyaEd00,rush_yds,20,,,,,
player,201011280den,den,RoyaEd00,rush_td,0,,,,,
player,201011280den,den,RoyaEd00,rush_long,20,,,,,
player,201011280den,den,RoyaEd00,targets,9,,,,,
player,201011280den,den,RoyaEd00,rec,6,,,,,
player,201011280den,den,RoyaEd00,rec_yds,74,,,,,
player,201011280den,den,RoyaEd00,rec_td,1,,,,,
player,201011280den,den,RoyaEd00,rec_long,24,,,,,
player,201011280den,den,RoyaEd00,fumbles,1,,,,,
player,201011280den,den,RoyaEd00,fumbles_lost,1,,,,,
player,201011280den,den,BuckCo00,pass_cmp,0,,,,,
player,201011280den,den,BuckCo00,pass_att,0,,,,,
player,201011280den,den,BuckCo00,pass_yds,0,,,,,
player,201011280den,den,BuckCo00,pass_td,0,,,,,
player,201011280den,den,BuckCo00,pass_int,0,,,,,
player,201011280den,den,BuckCo00,pass_sacked,,,,,,
player,201011280den,den,BuckCo00,pass_sacked_yds,,,,,,
player,201011280den,den,BuckCo00,pass_long,0,,,,,
player,201011280den,den,BuckCo00,pass_rating,,,,,,
player,201011280den,den,BuckCo00,rush_att,1,,,,,
player,201011280den,den,BuckCo00,rush_yds,12,,,,,
player,201011280den,den,BuckCo00,rush_td,0,,,,,
player,201011280den,den,BuckCo00,rush_long,12,,,,,
player,201011280den,den,BuckCo00,targets,1,,,,,
player,201011280den,den,BuckCo00,rec,0,,,,,
player,201011280den,den,BuckCo00,rec_yds,0,,,,,
player,201011280den,den,BuckCo00,rec_td,0,,,,,
player,201011280den,den,BuckCo00,rec_long,0,,,,,
player,201011280den,den,BuckCo00,fumbles,0,,,,,
player,201011280den,den,BuckCo00,fumbles_lost,,,,,,
player,201011280den,den,LloyBr00,pass_cmp,0,,,,,
player,201011280den,den,LloyBr00,pass_att,0,,,,,
player,201011280den,den,LloyBr00,pass_yds,0,,,,,
player,201011280den,den,LloyBr00,pass_td,0,,,,,
player,201011280den,den,LloyBr00,pass_int,0,,,,,
player,201011280den,den,LloyBr00,pass_sacked,,,,,,
player,201011280den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201011280den,den,LloyBr00,pass_long,0,,,,,
player,201011280den,den,LloyBr00,pass_rating,,,,,,
player,201011280den,den,LloyBr00,rush_att,0,,,,,
player,201011280den,den,LloyBr00,rush_yds,0,,,,,
player,201011280den,den,LloyBr00,rush_td,0,,,,,
player,201011280den,den,LloyBr00,rush_long,0,,,,,
player,201011280den,den,LloyBr00,targets,10,,,,,
player,201011280den,den,LloyBr00,rec,4,,,,,
player,201011280den,den,LloyBr00,rec_yds,76,,,,,
player,201011280den,den,LloyBr00,rec_td,2,,,,,
player,201011280den,den,LloyBr00,rec_long,41,,,,,
player,201011280den,den,LloyBr00,fumbles,0,,,,,
player,201011280den,den,LloyBr00,fumbles_lost,,,,,,
player,201011280den,den,GaffJa00,pass_cmp,0,,,,,
player,201011280den,den,GaffJa00,pass_att,0,,,,,
player,201011280den,den,GaffJa00,pass_yds,0,,,,,
player,201011280den,den,GaffJa00,pass_td,0,,,,,
player,201011280den,den,GaffJa00,pass_int,0,,,,,
player,201011280den,den,GaffJa00,pass_sacked,,,,,,
player,201011280den,den,GaffJa00,pass_sacked_yds,,,,,,
player,201011280den,den,GaffJa00,pass_long,0,,,,,
player,201011280den,den,GaffJa00,pass_rating,,,,,,
player,201011280den,den,GaffJa00,rush_att,0,,,,,
player,201011280den,den,GaffJa00,rush_yds,0,,,,,
player,201011280den,den,GaffJa00,rush_td,0,,,,,
player,201011280den,den,GaffJa00,rush_long,0,,,,,
player,201011280den,den,GaffJa00,targets,6,,,,,
player,201011280den,den,GaffJa00,rec,3,,,,,
player,201011280den,den,GaffJa00,rec_yds,59,,,,,
player,201011280den,den,GaffJa00,rec_td,0,,,,,
player,201011280den,den,GaffJa00,rec_long,28,,,,,
player,201011280den,den,GaffJa00,fumbles,0,,,,,
player,201011280den,den,GaffJa00,fumbles_lost,,,,,,
player,201011280den,den,DeckEr00,pass_cmp,0,,,,,
player,201011280den,den,DeckEr00,pass_att,0,,,,,
player,201011280den,den,DeckEr00,pass_yds,0,,,,,
player,201011280den,den,DeckEr00,pass_td,0,,,,,
player,201011280den,den,DeckEr00,pass_int,0,,,,,
player,201011280den,den,DeckEr00,pass_sacked,,,,,,
player,201011280den,den,DeckEr00,pass_sacked_yds,,,,,,
player,201011280den,den,DeckEr00,pass_long,0,,,,,
player,201011280den,den,DeckEr00,pass_rating,,,,,,
player,201011280den,den,DeckEr00,rush_att,0,,,,,
player,201011280den,den,DeckEr00,rush_yds,0,,,,,
player,201011280den,den,DeckEr00,rush_td,0,,,,,
player,201011280den,den,DeckEr00,rush_long,0,,,,,
player,201011280den,den,DeckEr00,targets,2,,,,,
player,201011280den,den,DeckEr00,rec,2,,,,,
player,201011280den,den,DeckEr00,rec_yds,48,,,,,
player,201011280den,den,DeckEr00,rec_td,0,,,,,
player,201011280den,den,DeckEr00,rec_long,38,,,,,
player,201011280den,den,DeckEr00,fumbles,0,,,,,
player,201011280den,den,DeckEr00,fumbles_lost,,,,,,
player,201011280den,den,GronDa00,pass_cmp,0,,,,,
player,201011280den,den,GronDa00,pass_att,0,,,,,
player,201011280den,den,GronDa00,pass_yds,0,,,,,
player,201011280den,den,GronDa00,pass_td,0,,,,,
player,201011280den,den,GronDa00,pass_int,0,,,,,
player,201011280den,den,GronDa00,pass_sacked,,,,,,
player,201011280den,den,GronDa00,pass_sacked_yds,,,,,,
player,201011280den,den,GronDa00,pass_long,0,,,,,
player,201011280den,den,GronDa00,pass_rating,,,,,,
player,201011280den,den,GronDa00,rush_att,0,,,,,
player,201011280den,den,GronDa00,rush_yds,0,,,,,
player,201011280den,den,GronDa00,rush_td,0,,,,,
player,201011280den,den,GronDa00,rush_long,0,,,,,
player,201011280den,den,GronDa00,targets,1,,,,,
player,201011280den,den,GronDa00,rec,1,,,,,
player,201011280den,den,GronDa00,rec_yds,13,,,,,
player,201011280den,den,GronDa00,rec_td,0,,,,,
player,201011280den,den,GronDa00,rec_long,13,,,,,
player,201011280den,den,GronDa00,fumbles,0,,,,,
player,201011280den,den,GronDa00,fumbles_lost,,,,,,
player,201011280den,den,LarsSp99,pass_cmp,0,,,,,
player,201011280den,den,LarsSp99,pass_att,0,,,,,
player,201011280den,den,LarsSp99,pass_yds,0,,,,,
player,201011280den,den,LarsSp99,pass_td,0,,,,,
player,201011280den,den,LarsSp99,pass_int,0,,,,,
player,201011280den,den,LarsSp99,pass_sacked,,,,,,
player,201011280den,den,LarsSp99,pass_sacked_yds,,,,,,
player,201011280den,den,LarsSp99,pass_long,0,,,,,
player,201011280den,den,LarsSp99,pass_rating,,,,,,
player,201011280den,den,LarsSp99,rush_att,0,,,,,
player,201011280den,den,LarsSp99,rush_yds,0,,,,,
player,201011280den,den,LarsSp99,rush_td,0,,,,,
player,201011280den,den,LarsSp99,rush_long,0,,,,,
player,201011280den,den,LarsSp99,targets,1,,,,,
player,201011280den,den,LarsSp99,rec,1,,,,,
player,201011280den,den,LarsSp99,rec_yds,11,,,,,
player,201011280den,den,LarsSp99,rec_td,0,,,,,
player,201011280den,den,LarsSp99,rec_long,11,,,,,
player,201011280den,den,LarsSp99,fumbles,0,,,,,
player,201011280den,den,LarsSp99,fumbles_lost,,,,,,
player,201011280den,den,GrahDa00,pass_cmp,0,,,,,
player,201011280den,den,GrahDa00,pass_att,0,,,,,
player,201011280den,den,GrahDa00,pass_yds,0,,,,,
player,201011280den,den,GrahDa00,pass_td,0,,,,,
player,201011280den,den,GrahDa00,pass_int,0,,,,,
player,201011280den,den,GrahDa00,pass_sacked,,,,,,
player,201011280den,den,GrahDa00,pass_sacked_yds,,,,,,
player,201011280den,den,GrahDa00,pass_long,0,,,,,
player,201011280den,den,GrahDa00,pass_rating,,,,,,
player,201011280den,den,GrahDa00,rush_att,0,,,,,
player,201011280den,den,GrahDa00,rush_yds,0,,,,,
player,201011280den,den,GrahDa00,rush_td,0,,,,,
player,201011280den,den,GrahDa00,rush_long,0,,,,,
player,201011280den,den,GrahDa00,targets,2,,,,,
player,201011280den,den,GrahDa00,rec,1,,,,,
player,201011280den,den,GrahDa00,rec_yds,4,,,,,
player,201011280den,den,GrahDa00,rec_td,0,,,,,
player,201011280den,den,GrahDa00,rec_long,4,,,,,
player,201011280den,den,GrahDa00,fumbles,0,,,,,
player,201011280den,den,GrahDa00,fumbles_lost,,,,,,
player,201011280den,ram,AhYoC.00,def_int,0,,,,,
player,201011280den,ram,AhYoC.00,def_int_yds,0,,,,,
player,201011280den,ram,AhYoC.00,def_int_td,0,,,,,
player,201011280den,ram,AhYoC.00,def_int_long,0,,,,,
player,201011280den,ram,AhYoC.00,pass_defended,0,,,,,
player,201011280den,ram,AhYoC.00,sacks,1.0,,,,,
player,201011280den,ram,AhYoC.00,tackles_combined,2,,,,,
player,201011280den,ram,AhYoC.00,tackles_solo,2,,,,,
player,201011280den,ram,AhYoC.00,tackles_assists,0,,,,,
player,201011280den,ram,AhYoC.00,tackles_loss,1,,,,,
player,201011280den,ram,AhYoC.00,qb_hits,1,,,,,
player,201011280den,ram,AhYoC.00,fumbles_rec,0,,,,,
player,201011280den,ram,AhYoC.00,fumbles_rec_yds,0,,,,,
player,201011280den,ram,AhYoC.00,fumbles_rec_td,0,,,,,
player,201011280den,ram,AhYoC.00,fumbles_forced,0,,,,,
player,201011280den,ram,LongCh99,def_int,0,,,,,
player,201011280den,ram,LongCh99,def_int_yds,0,,,,,
player,201011280den,ram,LongCh99,def_int_td,0,,,,,
player,201011280den,ram,LongCh99,def_int_long,0,,,,,
player,201011280den,ram,LongCh99,pass_defended,1,,,,,
player,201011280den,ram,LongCh99,sacks,1.0,,,,,
player,201011280den,ram,LongCh99,tackles_combined,2,,,,,
player,201011280den,ram,LongCh99,tackles_solo,2,,,,,
player,201011280den,ram,LongCh99,tackles_assists,0,,,,,
player,201011280den,ram,LongCh99,tackles_loss,1,,,,,
player,201011280den,ram,LongCh99,qb_hits,2,,,,,
player,201011280den,ram,LongCh99,fumbles_rec,0,,,,,
player,201011280den,ram,LongCh99,fumbles_rec_yds,0,,,,,
player,201011280den,ram,LongCh99,fumbles_rec_td,0,,,,,
player,201011280den,ram,LongCh99,fumbles_forced,0,,,,,
player,201011280den,ram,RobbFr20,def_int,0,,,,,
player,201011280den,ram,RobbFr20,def_int_yds,0,,,,,
