game,2010,2,20100919,201009190rai,ram,"St. Louis Rams",14,rai,"Oakland Raiders",16
player,201009190rai,rai,ScotTr99,def_int_td,0,,,,,
player,201009190rai,rai,ScotTr99,def_int_long,0,,,,,
player,201009190rai,rai,ScotTr99,pass_defended,0,,,,,
player,201009190rai,rai,ScotTr99,sacks,0.0,,,,,
player,201009190rai,rai,ScotTr99,tackles_combined,1,,,,,
player,201009190rai,rai,ScotTr99,tackles_solo,1,,,,,
player,201009190rai,rai,ScotTr99,tackles_assists,0,,,,,
player,201009190rai,rai,ScotTr99,tackles_loss,0,,,,,
player,201009190rai,rai,ScotTr99,qb_hits,1,,,,,
player,201009190rai,rai,ScotTr99,fumbles_rec,0,,,,,
player,201009190rai,rai,ScotTr99,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,ScotTr99,fumbles_rec_td,0,,,,,
player,201009190rai,rai,ScotTr99,fumbles_forced,0,,,,,
player,201009190rai,rai,HiggJo00,def_int,0,,,,,
player,201009190rai,rai,HiggJo00,def_int_yds,0,,,,,
player,201009190rai,rai,HiggJo00,def_int_td,0,,,,,
player,201009190rai,rai,HiggJo00,def_int_long,0,,,,,
player,201009190rai,rai,HiggJo00,pass_defended,0,,,,,
player,201009190rai,rai,HiggJo00,sacks,0.0,,,,,
player,201009190rai,rai,HiggJo00,tackles_combined,0,,,,,
player,201009190rai,rai,HiggJo00,tackles_solo,0,,,,,
player,201009190rai,rai,HiggJo00,tackles_assists,0,,,,,
player,201009190rai,rai,HiggJo00,tackles_loss,,,,,,
player,201009190rai,rai,HiggJo00,qb_hits,,,,,,
player,201009190rai,rai,HiggJo00,fumbles_rec,1,,,,,
player,201009190rai,rai,HiggJo00,fumbles_rec_yds,0,,,,,
player,201009190rai,rai,HiggJo00,fumbles_rec_td,0,,,,,
player,201009190rai,rai,HiggJo00,fumbles_forced,0,,,,,
player,201009190rai,ram,AmenDa00,kick_ret,0,,,,,
player,201009190rai,ram,AmenDa00,kick_ret_yds,0,,,,,
player,201009190rai,ram,AmenDa00,kick_ret_yds_per_ret,,,,,,
player,201009190rai,ram,AmenDa00,kick_ret_td,0,,,,,
player,201009190rai,ram,AmenDa00,kick_ret_long,0,,,,,
player,201009190rai,ram,AmenDa00,punt_ret,1,,,,,
player,201009190rai,ram,AmenDa00,punt_ret_yds,0,,,,,
player,201009190rai,ram,AmenDa00,punt_ret_yds_per_ret,0.0,,,,,
player,201009190rai,ram,AmenDa00,punt_ret_td,0,,,,,
player,201009190rai,ram,AmenDa00,punt_ret_long,0,,,,,
player,201009190rai,ram,GilyMa00,kick_ret,5,,,,,
player,201009190rai,ram,GilyMa00,kick_ret_yds,118,,,,,
player,201009190rai,ram,GilyMa00,kick_ret_yds_per_ret,23.6,,,,,
player,201009190rai,ram,GilyMa00,kick_ret_td,0,,,,,
player,201009190rai,ram,GilyMa00,kick_ret_long,30,,,,,
player,201009190rai,ram,GilyMa00,punt_ret,0,,,,,
player,201009190rai,ram,GilyMa00,punt_ret_yds,0,,,,,
player,201009190rai,ram,GilyMa00,punt_ret_yds_per_ret,,,,,,
player,201009190rai,ram,GilyMa00,punt_ret_td,0,,,,,
player,201009190rai,ram,GilyMa00,punt_ret_long,0,,,,,
player,201009190rai,rai,HiggJo00,kick_ret,0,,,,,
player,201009190rai,rai,HiggJo00,kick_ret_yds,0,,,,,
player,201009190rai,rai,HiggJo00,kick_ret_yds_per_ret,,,,,,
player,201009190rai,rai,HiggJo00,kick_ret_td,0,,,,,
player,201009190rai,rai,HiggJo00,kick_ret_long,0,,,,,
player,201009190rai,rai,HiggJo00,punt_ret,2,,,,,
player,201009190rai,rai,HiggJo00,punt_ret_yds,54,,,,,
player,201009190rai,rai,HiggJo00,punt_ret_yds_per_ret,27.0,,,,,
player,201009190rai,rai,HiggJo00,punt_ret_td,0,,,,,
player,201009190rai,rai,HiggJo00,punt_ret_long,53,,,,,
player,201009190rai,rai,MyerBr00,kick_ret,0,,,,,
player,201009190rai,rai,MyerBr00,kick_ret_yds,0,,,,,
player,201009190rai,rai,MyerBr00,kick_ret_yds_per_ret,,,,,,
player,201009190rai,rai,MyerBr00,kick_ret_td,0,,,,,
player,201009190rai,rai,MyerBr00,kick_ret_long,0,,,,,
player,201009190rai,rai,MyerBr00,punt_ret,1,,,,,
player,201009190rai,rai,MyerBr00,punt_ret_yds,0,,,,,
player,201009190rai,rai,MyerBr00,punt_ret_yds_per_ret,0.0,,,,,
player,201009190rai,rai,MyerBr00,punt_ret_td,0,,,,,
player,201009190rai,rai,MyerBr00,punt_ret_long,0,,,,,
player,201009190rai,rai,FordJa01,kick_ret,3,,,,,
player,201009190rai,rai,FordJa01,kick_ret_yds,61,,,,,
player,201009190rai,rai,FordJa01,kick_ret_yds_per_ret,20.3,,,,,
player,201009190rai,rai,FordJa01,kick_ret_td,0,,,,,
player,201009190rai,rai,FordJa01,kick_ret_long,21,,,,,
player,201009190rai,rai,FordJa01,punt_ret,0,,,,,
player,201009190rai,rai,FordJa01,punt_ret_yds,0,,,,,
player,201009190rai,rai,FordJa01,punt_ret_yds_per_ret,,,,,,
player,201009190rai,rai,FordJa01,punt_ret_td,0,,,,,
player,201009190rai,rai,FordJa01,punt_ret_long,0,,,,,
player,201009190rai,ram,brownjos01,xpm,2,,,,,
player,201009190rai,ram,brownjos01,xpa,2,,,,,
player,201009190rai,ram,brownjos01,fgm,,,,,,
player,201009190rai,ram,brownjos01,fga,1,,,,,
player,201009190rai,ram,brownjos01,punt,0,,,,,
player,201009190rai,ram,brownjos01,punt_yds,0,,,,,
player,201009190rai,ram,brownjos01,punt_yds_per_punt,,,,,,
player,201009190rai,ram,brownjos01,punt_long,0,,,,,
player,201009190rai,ram,JoneDo21,xpm,,,,,,
player,201009190rai,ram,JoneDo21,xpa,,,,,,
player,201009190rai,ram,JoneDo21,fgm,,,,,,
player,201009190rai,ram,JoneDo21,fga,,,,,,
player,201009190rai,ram,JoneDo21,punt,7,,,,,
player,201009190rai,ram,JoneDo21,punt_yds,319,,,,,
player,201009190rai,ram,JoneDo21,punt_yds_per_punt,45.6,,,,,
player,201009190rai,ram,JoneDo21,punt_long,54,,,,,
player,201009190rai,rai,janikseb01,xpm,1,,,,,
player,201009190rai,rai,janikseb01,xpa,1,,,,,
player,201009190rai,rai,janikseb01,fgm,3,,,,,
player,201009190rai,rai,janikseb01,fga,4,,,,,
player,201009190rai,rai,janikseb01,punt,0,,,,,
player,201009190rai,rai,janikseb01,punt_yds,0,,,,,
player,201009190rai,rai,janikseb01,punt_yds_per_punt,,,,,,
player,201009190rai,rai,janikseb01,punt_long,0,,,,,
player,201009190rai,rai,LechSh20,xpm,,,,,,
player,201009190rai,rai,LechSh20,xpa,,,,,,
player,201009190rai,rai,LechSh20,fgm,,,,,,
player,201009190rai,rai,LechSh20,fga,,,,,,
player,201009190rai,rai,LechSh20,punt,3,,,,,
player,201009190rai,rai,LechSh20,punt_yds,129,,,,,
player,201009190rai,rai,LechSh20,punt_yds_per_punt,43.0,,,,,
player,201009190rai,rai,LechSh20,punt_long,47,,,,,
