game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,den,GaffJa00,rush_yds,0,,,,,
player,201010240den,den,GaffJa00,rush_td,0,,,,,
player,201010240den,den,GaffJa00,rush_long,0,,,,,
player,201010240den,den,GaffJa00,targets,9,,,,,
player,201010240den,den,GaffJa00,rec,4,,,,,
player,201010240den,den,GaffJa00,rec_yds,54,,,,,
player,201010240den,den,GaffJa00,rec_td,0,,,,,
player,201010240den,den,GaffJa00,rec_long,22,,,,,
player,201010240den,den,GaffJa00,fumbles,0,,,,,
player,201010240den,den,GaffJa00,fumbles_lost,,,,,,
player,201010240den,den,LloyBr00,pass_cmp,0,,,,,
player,201010240den,den,LloyBr00,pass_att,0,,,,,
player,201010240den,den,LloyBr00,pass_yds,0,,,,,
player,201010240den,den,LloyBr00,pass_td,0,,,,,
player,201010240den,den,LloyBr00,pass_int,0,,,,,
player,201010240den,den,LloyBr00,pass_sacked,,,,,,
player,201010240den,den,LloyBr00,pass_sacked_yds,,,,,,
player,201010240den,den,LloyBr00,pass_long,0,,,,,
player,201010240den,den,LloyBr00,pass_rating,,,,,,
player,201010240den,den,LloyBr00,rush_att,0,,,,,
player,201010240den,den,LloyBr00,rush_yds,0,,,,,
player,201010240den,den,LloyBr00,rush_td,0,,,,,
player,201010240den,den,LloyBr00,rush_long,0,,,,,
player,201010240den,den,LloyBr00,targets,3,,,,,
player,201010240den,den,LloyBr00,rec,1,,,,,
player,201010240den,den,LloyBr00,rec_yds,46,,,,,
player,201010240den,den,LloyBr00,rec_td,0,,,,,
player,201010240den,den,LloyBr00,rec_long,46,,,,,
player,201010240den,den,LloyBr00,fumbles,0,,,,,
player,201010240den,den,LloyBr00,fumbles_lost,,,,,,
player,201010240den,den,LarsSp99,pass_cmp,0,,,,,
player,201010240den,den,LarsSp99,pass_att,0,,,,,
player,201010240den,den,LarsSp99,pass_yds,0,,,,,
player,201010240den,den,LarsSp99,pass_td,0,,,,,
player,201010240den,den,LarsSp99,pass_int,0,,,,,
player,201010240den,den,LarsSp99,pass_sacked,,,,,,
player,201010240den,den,LarsSp99,pass_sacked_yds,,,,,,
player,201010240den,den,LarsSp99,pass_long,0,,,,,
player,201010240den,den,LarsSp99,pass_rating,,,,,,
player,201010240den,den,LarsSp99,rush_att,0,,,,,
player,201010240den,den,LarsSp99,rush_yds,0,,,,,
player,201010240den,den,LarsSp99,rush_td,0,,,,,
player,201010240den,den,LarsSp99,rush_long,0,,,,,
player,201010240den,den,LarsSp99,targets,1,,,,,
player,201010240den,den,LarsSp99,rec,1,,,,,
player,201010240den,den,LarsSp99,rec_yds,29,,,,,
player,201010240den,den,LarsSp99,rec_td,0,,,,,
player,201010240den,den,LarsSp99,rec_long,29,,,,,
player,201010240den,den,LarsSp99,fumbles,0,,,,,
player,201010240den,den,LarsSp99,fumbles_lost,,,,,,
player,201010240den,den,RoyaEd00,pass_cmp,0,,,,,
player,201010240den,den,RoyaEd00,pass_att,0,,,,,
player,201010240den,den,RoyaEd00,pass_yds,0,,,,,
player,201010240den,den,RoyaEd00,pass_td,0,,,,,
player,201010240den,den,RoyaEd00,pass_int,0,,,,,
player,201010240den,den,RoyaEd00,pass_sacked,,,,,,
player,201010240den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201010240den,den,RoyaEd00,pass_long,0,,,,,
player,201010240den,den,RoyaEd00,pass_rating,,,,,,
player,201010240den,den,RoyaEd00,rush_att,0,,,,,
player,201010240den,den,RoyaEd00,rush_yds,0,,,,,
