game,2010,16,20101226,201012260gnb,nyg,"New York Giants",17,gnb,"Green Bay Packers",45
player,201012260gnb,gnb,DrivDo00,pass_long,0,,,,,
player,201012260gnb,gnb,DrivDo00,pass_rating,,,,,,
player,201012260gnb,gnb,DrivDo00,rush_att,0,,,,,
player,201012260gnb,gnb,DrivDo00,rush_yds,0,,,,,
player,201012260gnb,gnb,DrivDo00,rush_td,0,,,,,
player,201012260gnb,gnb,DrivDo00,rush_long,0,,,,,
player,201012260gnb,gnb,DrivDo00,targets,5,,,,,
player,201012260gnb,gnb,DrivDo00,rec,3,,,,,
player,201012260gnb,gnb,DrivDo00,rec_yds,44,,,,,
player,201012260gnb,gnb,DrivDo00,rec_td,0,,,,,
player,201012260gnb,gnb,DrivDo00,rec_long,33,,,,,
player,201012260gnb,gnb,DrivDo00,fumbles,0,,,,,
player,201012260gnb,gnb,DrivDo00,fumbles_lost,,,,,,
player,201012260gnb,gnb,JoneJa04,pass_cmp,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_att,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_yds,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_td,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_int,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_sacked,,,,,,
player,201012260gnb,gnb,JoneJa04,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,JoneJa04,pass_long,0,,,,,
player,201012260gnb,gnb,JoneJa04,pass_rating,,,,,,
player,201012260gnb,gnb,JoneJa04,rush_att,0,,,,,
player,201012260gnb,gnb,JoneJa04,rush_yds,0,,,,,
player,201012260gnb,gnb,JoneJa04,rush_td,0,,,,,
player,201012260gnb,gnb,JoneJa04,rush_long,0,,,,,
player,201012260gnb,gnb,JoneJa04,targets,7,,,,,
player,201012260gnb,gnb,JoneJa04,rec,4,,,,,
player,201012260gnb,gnb,JoneJa04,rec_yds,36,,,,,
player,201012260gnb,gnb,JoneJa04,rec_td,1,,,,,
player,201012260gnb,gnb,JoneJa04,rec_long,13,,,,,
