game,2010,17,20110102,201101020phi,dal,"Dallas Cowboys",14,phi,"Philadelphia Eagles",13
player,201101020phi,phi,MaclJe00,pass_sacked_yds,,,,,,
player,201101020phi,phi,MaclJe00,pass_long,,,,,,
player,201101020phi,phi,MaclJe00,pass_rating,,,,,,
player,201101020phi,phi,MaclJe00,rush_att,,,,,,
player,201101020phi,phi,MaclJe00,rush_yds,,,,,,
player,201101020phi,phi,MaclJe00,rush_td,,,,,,
player,201101020phi,phi,MaclJe00,rush_long,,,,,,
player,201101020phi,phi,MaclJe00,targets,1,,,,,
player,201101020phi,phi,MaclJe00,rec,0,,,,,
player,201101020phi,phi,MaclJe00,rec_yds,0,,,,,
player,201101020phi,phi,MaclJe00,rec_td,0,,,,,
player,201101020phi,phi,MaclJe00,rec_long,,,,,,
player,201101020phi,phi,MaclJe00,fumbles,,,,,,
player,201101020phi,phi,MaclJe00,fumbles_lost,,,,,,
player,201101020phi,dal,NewmTe20,def_int,2,,,,,
player,201101020phi,dal,NewmTe20,def_int_yds,4,,,,,
player,201101020phi,dal,NewmTe20,def_int_td,0,,,,,
player,201101020phi,dal,NewmTe20,def_int_long,4,,,,,
player,201101020phi,dal,NewmTe20,pass_defended,2,,,,,
player,201101020phi,dal,NewmTe20,sacks,0.0,,,,,
player,201101020phi,dal,NewmTe20,tackles_combined,6,,,,,
player,201101020phi,dal,NewmTe20,tackles_solo,6,,,,,
player,201101020phi,dal,NewmTe20,tackles_assists,0,,,,,
player,201101020phi,dal,NewmTe20,tackles_loss,0,,,,,
player,201101020phi,dal,NewmTe20,qb_hits,0,,,,,
player,201101020phi,dal,NewmTe20,fumbles_rec,0,,,,,
player,201101020phi,dal,NewmTe20,fumbles_rec_yds,0,,,,,
player,201101020phi,dal,NewmTe20,fumbles_rec_td,0,,,,,
player,201101020phi,dal,NewmTe20,fumbles_forced,0,,,,,
player,201101020phi,dal,SensGe20,def_int,1,,,,,
player,201101020phi,dal,SensGe20,def_int_yds,0,,,,,
player,201101020phi,dal,SensGe20,def_int_td,0,,,,,
player,201101020phi,dal,SensGe20,def_int_long,0,,,,,
player,201101020phi,dal,SensGe20,pass_defended,1,,,,,
player,201101020phi,dal,SensGe20,sacks,0.0,,,,,
player,201101020phi,dal,SensGe20,tackles_combined,2,,,,,
player,201101020phi,dal,SensGe20,tackles_solo,2,,,,,
player,201101020phi,dal,SensGe20,tackles_assists,0,,,,,
player,201101020phi,dal,SensGe20,tackles_loss,0,,,,,
player,201101020phi,dal,SensGe20,qb_hits,0,,,,,
player,201101020phi,dal,SensGe20,fumbles_rec,0,,,,,
player,201101020phi,dal,SensGe20,fumbles_rec_yds,0,,,,,
player,201101020phi,dal,SensGe20,fumbles_rec_td,0,,,,,
player,201101020phi,dal,SensGe20,fumbles_forced,0,,,,,
player,201101020phi,dal,WareDe99,def_int,0,,,,,
player,201101020phi,dal,WareDe99,def_int_yds,0,,,,,
player,201101020phi,dal,WareDe99,def_int_td,0,,,,,
player,201101020phi,dal,WareDe99,def_int_long,0,,,,,
player,201101020phi,dal,WareDe99,pass_defended,0,,,,,
player,201101020phi,dal,WareDe99,sacks,3.0,,,,,
player,201101020phi,dal,WareDe99,tackles_combined,5,,,,,
player,201101020phi,dal,WareDe99,tackles_solo,4,,,,,
player,201101020phi,dal,WareDe99,tackles_assists,1,,,,,
player,201101020phi,dal,WareDe99,tackles_loss,3,,,,,
player,201101020phi,dal,WareDe99,qb_hits,3,,,,,
player,201101020phi,dal,WareDe99,fumbles_rec,1,,,,,
player,201101020phi,dal,WareDe99,fumbles_rec_yds,17,,,,,
player,201101020phi,dal,WareDe99,fumbles_rec_td,1,,,,,
player,201101020phi,dal,WareDe99,fumbles_forced,0,,,,,
player,201101020phi,dal,SpenAn99,def_int,0,,,,,
player,201101020phi,dal,SpenAn99,def_int_yds,0,,,,,
player,201101020phi,dal,SpenAn99,def_int_td,0,,,,,
player,201101020phi,dal,SpenAn99,def_int_long,0,,,,,
