game,2010,16,20101226,201012260tam,sea,"Seattle Seahawks",15,tam,"Tampa Bay Buccaneers",38
player,201012260tam,tam,BennAr00,rush_long,0,,,,,
player,201012260tam,tam,BennAr00,targets,1,,,,,
player,201012260tam,tam,BennAr00,rec,1,,,,,
player,201012260tam,tam,BennAr00,rec_yds,16,,,,,
player,201012260tam,tam,BennAr00,rec_td,0,,,,,
player,201012260tam,tam,BennAr00,rec_long,16,,,,,
player,201012260tam,tam,BennAr00,fumbles,0,,,,,
player,201012260tam,tam,BennAr00,fumbles_lost,,,,,,
player,201012260tam,tam,StovMa00,pass_cmp,0,,,,,
player,201012260tam,tam,StovMa00,pass_att,0,,,,,
player,201012260tam,tam,StovMa00,pass_yds,0,,,,,
player,201012260tam,tam,StovMa00,pass_td,0,,,,,
player,201012260tam,tam,StovMa00,pass_int,0,,,,,
player,201012260tam,tam,StovMa00,pass_sacked,,,,,,
player,201012260tam,tam,StovMa00,pass_sacked_yds,,,,,,
player,201012260tam,tam,StovMa00,pass_long,0,,,,,
player,201012260tam,tam,StovMa00,pass_rating,,,,,,
player,201012260tam,tam,StovMa00,rush_att,0,,,,,
player,201012260tam,tam,StovMa00,rush_yds,0,,,,,
player,201012260tam,tam,StovMa00,rush_td,0,,,,,
