game,2010,12,20101128,201011280was,min,"Minnesota Vikings",17,was,"Washington Redskins",13
player,201011280was,min,AlleJa22,sacks,1.0,,,,,
player,201011280was,min,AlleJa22,tackles_combined,6,,,,,
player,201011280was,min,AlleJa22,tackles_solo,4,,,,,
player,201011280was,min,AlleJa22,tackles_assists,2,,,,,
player,201011280was,min,AlleJa22,tackles_loss,3,,,,,
player,201011280was,min,AlleJa22,qb_hits,1,,,,,
player,201011280was,min,AlleJa22,fumbles_rec,0,,,,,
player,201011280was,min,AlleJa22,fumbles_rec_yds,0,,,,,
player,201011280was,min,AlleJa22,fumbles_rec_td,0,,,,,
player,201011280was,min,AlleJa22,fumbles_forced,0,,,,,
player,201011280was,min,GuioLe99,def_int,0,,,,,
player,201011280was,min,GuioLe99,def_int_yds,0,,,,,
player,201011280was,min,GuioLe99,def_int_td,0,,,,,
player,201011280was,min,GuioLe99,def_int_long,0,,,,,
player,201011280was,min,GuioLe99,pass_defended,0,,,,,
player,201011280was,min,GuioLe99,sacks,1.0,,,,,
player,201011280was,min,GuioLe99,tackles_combined,4,,,,,
player,201011280was,min,GuioLe99,tackles_solo,3,,,,,
player,201011280was,min,GuioLe99,tackles_assists,1,,,,,
player,201011280was,min,GuioLe99,tackles_loss,0,,,,,
player,201011280was,min,GuioLe99,qb_hits,1,,,,,
player,201011280was,min,GuioLe99,fumbles_rec,0,,,,,
player,201011280was,min,GuioLe99,fumbles_rec_yds,0,,,,,
player,201011280was,min,GuioLe99,fumbles_rec_td,0,,,,,
player,201011280was,min,GuioLe99,fumbles_forced,1,,,,,
player,201011280was,min,RobiBr98,def_int,0,,,,,
player,201011280was,min,RobiBr98,def_int_yds,0,,,,,
player,201011280was,min,RobiBr98,def_int_td,0,,,,,
player,201011280was,min,RobiBr98,def_int_long,0,,,,,
player,201011280was,min,RobiBr98,pass_defended,0,,,,,
player,201011280was,min,RobiBr98,sacks,1.0,,,,,
player,201011280was,min,RobiBr98,tackles_combined,1,,,,,
player,201011280was,min,RobiBr98,tackles_solo,1,,,,,
player,201011280was,min,RobiBr98,tackles_assists,0,,,,,
player,201011280was,min,RobiBr98,tackles_loss,1,,,,,
player,201011280was,min,RobiBr98,qb_hits,2,,,,,
player,201011280was,min,RobiBr98,fumbles_rec,0,,,,,
player,201011280was,min,RobiBr98,fumbles_rec_yds,0,,,,,
player,201011280was,min,RobiBr98,fumbles_rec_td,0,,,,,
player,201011280was,min,RobiBr98,fumbles_forced,0,,,,,
player,201011280was,min,GreeCh99,def_int,0,,,,,
player,201011280was,min,GreeCh99,def_int_yds,0,,,,,
player,201011280was,min,GreeCh99,def_int_td,0,,,,,
player,201011280was,min,GreeCh99,def_int_long,0,,,,,
player,201011280was,min,GreeCh99,pass_defended,0,,,,,
player,201011280was,min,GreeCh99,sacks,0.0,,,,,
player,201011280was,min,GreeCh99,tackles_combined,9,,,,,
player,201011280was,min,GreeCh99,tackles_solo,6,,,,,
player,201011280was,min,GreeCh99,tackles_assists,3,,,,,
player,201011280was,min,GreeCh99,tackles_loss,0,,,,,
player,201011280was,min,GreeCh99,qb_hits,0,,,,,
player,201011280was,min,GreeCh99,fumbles_rec,0,,,,,
player,201011280was,min,GreeCh99,fumbles_rec_yds,0,,,,,
player,201011280was,min,GreeCh99,fumbles_rec_td,0,,,,,
player,201011280was,min,GreeCh99,fumbles_forced,0,,,,,
player,201011280was,min,AbduHu99,def_int,0,,,,,
player,201011280was,min,AbduHu99,def_int_yds,0,,,,,
player,201011280was,min,AbduHu99,def_int_td,0,,,,,
